Date,Busia,Soroti
2016-01-01,5.36207779532648,
2016-01-15,5.28363414666162,
2016-02-01,5.405565575822368,
2016-02-15,5.385648973011552,
2016-03-01,5.463674226384866,
2016-03-15,5.477292535162619,
2016-04-01,5.460621755745066,
2016-04-15,5.532574725528885,
2016-05-01,5.50402977358301,
2016-05-15,5.534768200374164,
2016-06-01,5.637730380161156,
2016-06-15,5.616097471738887,
2016-07-01,5.6194157628448895,
2016-07-15,5.634434821290053,
2016-08-01,5.469654946532747,
2016-08-15,5.456208999440352,
2016-09-01,5.4980504777480865,
2016-09-15,5.6144753223593185,
2016-10-01,5.574993019280119,
2016-10-15,5.571987744855858,
2016-11-01,5.665746161968274,
2016-11-15,5.61794312996396,
2016-12-01,5.6592902186260625,
2016-12-15,5.657481000326382,
2017-01-01,5.732630316712065,
2017-01-15,5.756137415357606,
2017-02-01,5.714467684831294,
2017-02-15,5.727483129399476,5.722318971851242
2017-03-01,5.869151850657754,5.779300962010302
2017-03-15,5.998561595793225,5.934618135666965
2017-04-01,5.959988615736292,6.056455533668441
2017-04-15,6.002421144032829,6.052053768235239
2017-05-01,6.0187784503382575,6.044489561326891
2017-05-15,6.03479995022846,5.993799400221612
2017-06-01,6.074183924777686,6.00134660082542
2017-06-15,5.659705617436055,5.716820491491519
2017-07-01,5.528147641817006,5.53261792194791
2017-07-15,5.460618596056998,5.372561740665815
2017-08-01,5.439461623410591,5.422704208118649
2017-08-15,5.525192317310887,5.418839245740309
2017-09-01,5.5759271550088,5.520357303853989
2017-09-15,5.540051507507869,5.417449185415537
2017-10-01,5.377670905866268,5.354824637015098
2017-10-15,5.3681477670877875,5.342936347741292
2017-11-01,5.2868257212315735,5.157147897923041
2017-11-15,5.198209393888956,5.149173800831313
2017-12-01,5.28116832756406,5.146349104755109
2017-12-15,5.241253311880692,5.222295398136079
2018-01-01,5.240375499687569,5.144123700227983
2018-01-15,5.223738293486406,5.149262200584922
2018-02-01,5.209250741378117,5.149232731651864
2018-02-15,5.3214082808323,5.1722953950349995
2018-03-01,5.237904403694265,5.179917146043915
2018-03-15,5.161002682641719,5.178569006359618
2018-04-01,5.157121502388198,5.126191201696839
2018-04-15,5.17731166271308,5.047672013900172
2018-05-01,5.136990672738601,5.039616508713424
2018-05-15,5.163281848150364,5.111724038485514
2018-06-01,5.123095675022673,5.029877546190572
2018-06-15,5.136495948038006,4.998536503897752
2018-07-01,5.123953464458541,4.913103824050048
2018-07-15,4.710315988315033,4.666220668449808
2018-08-01,4.709989476606838,4.549307094916364
2018-08-15,4.674075600182032,4.649584580173736
2018-09-01,4.677959870541799,4.637137876021543
2018-09-15,4.630512510540956,4.514828111541494
2018-10-01,4.653049207349539,4.562665145881269
2018-10-15,4.897305151417043,4.705910298417414
2018-11-01,4.981561429792054,4.706655943919254
2018-11-15,5.031693897681903,4.723078615563656
2018-12-01,5.035434103522495,4.944059829839408
2018-12-15,5.042843827799949,4.949208222765956
2019-01-01,5.111948931298989,5.019239533194721
2019-01-15,5.131306897043219,5.029341970386531
2019-02-01,5.145237330006572,5.109427877309861
2019-02-15,5.326166783174299,5.270238230515075
2019-03-01,5.281200919368427,5.400438500735804
2019-03-15,5.315883093287069,5.223509773156054
2019-04-01,5.49049406921397,5.210398843775247
2019-04-15,5.6431166006786,5.528341086086172
2019-05-01,5.591947821337684,5.523180964090592
2019-05-15,5.533806208512949,6.016729375660117
2019-06-01,5.562437848935936,5.803827158986369
2019-06-15,5.638344808155095,5.532984292497268
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
