Date,Bujumbura,Ngozi
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,6.2113246611455635,
2016-03-01,6.2039673799017425,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,
2016-06-01,,
2016-06-15,,
2016-07-01,,
2016-07-15,,
2016-08-01,,
2016-08-15,,
2016-09-01,,
2016-09-15,,
2016-10-01,,
2016-10-15,,
2016-11-01,,
2016-11-15,,
2016-12-01,,
2016-12-15,,
2017-01-01,,
2017-01-15,,
2017-02-01,,
2017-02-15,,
2017-03-01,,
2017-03-15,,
2017-04-01,,
2017-04-15,,
2017-05-01,,
2017-05-15,,
2017-06-01,,
2017-06-15,,
2017-07-01,,
2017-07-15,,
2017-08-01,,
2017-08-15,,
2017-09-01,,
2017-09-15,,
2017-10-01,,
2017-10-15,,
2017-11-01,,
2017-11-15,,
2017-12-01,,
2017-12-15,,
2018-01-01,,
2018-01-15,5.800053222391385,5.800053222391385
2018-02-01,5.803574351104725,5.86990366183599
2018-02-15,5.805781369259504,5.8744416833772455
2018-03-01,5.807993269119418,5.875488760740866
2018-03-15,5.906761112525855,5.87355829151794
2018-04-01,5.932534200543064,5.869307728576876
2018-04-15,5.798297296527306,5.858775215490107
2018-05-01,5.855272586606483,5.9870418642376055
2018-05-15,6.049819425140857,6.049819425140857
2018-06-01,5.729389000907824,5.936272031350254
2018-06-15,5.656002995475424,6.114310584957968
2018-07-01,5.660892982603596,6.008515448312788
2018-07-15,5.5777379765123305,6.124114584542641
2018-08-01,5.956972801072308,6.016312240858618
2018-08-15,5.966014453878138,6.136254589697888
2018-09-01,5.972952811434609,6.14537874047434
2018-09-15,5.768670592030551,6.197289005113433
2018-10-01,5.980210865697407,6.20511498084665
2018-10-15,5.97198307253151,6.196450250776229
2018-11-01,6.082552299107358,6.192225701277987
2018-11-15,6.242858566362501,6.289454653656934
2018-12-01,6.098147157065265,6.289454653656934
2018-12-15,6.169882387092319,6.282474754276641
2019-01-01,6.177789186618846,6.273903548211585
2019-01-15,6.080391293075077,6.132909327358523
2019-02-01,6.075581406906211,6.056590331400893
2019-02-15,6.099257133675139,6.131487411580053
2019-03-01,6.2604292235729275,6.114685372918901
2019-03-15,6.251521140128388,6.153588867704077
2019-04-01,6.284402495559847,6.193954689071636
2019-04-15,6.362199526295839,6.403427824330405
2019-05-01,6.328189702174075,6.403968822122032
2019-05-15,6.2929823631602435,6.2471359750348245
2019-06-01,6.247408348826111,5.876888951456165
2019-06-15,,5.806235923633672
2019-07-01,,5.931384492792854
2019-07-15,,5.95849633237177
2019-08-01,6.040981947770994,5.98489248111995
2019-08-15,5.978234680275316,6.0364631851751085
2019-09-01,6.108738717870792,6.081235798981164
2019-09-15,6.128251917728524,6.127336585856836
2019-10-01,6.128310733121316,6.150864688685514
2019-10-15,6.212896902534637,6.167609368916407
2019-11-01,6.271687629049743,6.060055276934594
2019-11-15,6.1968524527192255,6.050514312628761
2019-12-01,6.276369751822743,6.016315846488436
2019-12-15,6.269927762622401,5.983273967896186
2020-01-01,6.2168868173266425,6.0267679500726565
2020-01-15,6.165747442820653,5.966016332131185
2020-02-01,6.137079912299283,6.158475679264323
2020-02-15,6.201094931424048,6.157195543156077
