Date,Masindi,Kampala
2016-01-01,,6.003333416449622
2016-01-15,,6.007031667686231
2016-02-01,,6.023765894143638
2016-02-15,,
2016-03-01,,6.056416972618743
2016-03-15,6.123251474202466,6.062626852386032
2016-04-01,6.060442530899319,6.09072285150714
2016-04-15,6.07692304133352,6.139226924669675
2016-05-01,6.077322641474356,6.144191047856933
2016-05-15,6.064285957152308,6.181575043675408
2016-06-01,6.070042738305509,6.134167266475048
2016-06-15,6.068293011053473,6.131081105653541
2016-07-01,6.054682991384673,6.085522439767753
2016-07-15,6.056735343862079,5.988219344105672
2016-08-01,6.052104707506678,6.011723901415866
2016-08-15,6.052130773563463,6.04544923422998
2016-09-01,6.1069795792240145,6.0455047006442335
2016-09-15,6.10306056731719,6.1061937291492265
2016-10-01,6.095489048077792,6.15657674005763
2016-10-15,6.077143615658899,6.135130873309249
2016-11-01,6.173519819667611,6.122531294927363
2016-11-15,6.142057985848633,6.140075824644642
2016-12-01,6.133074570711704,6.158082002828329
2016-12-15,6.141759257364711,6.19681024654512
2017-01-01,6.136612844860007,6.242566656293172
2017-01-15,6.135574564806038,6.336532113449884
2017-02-01,6.134535205606046,6.286929341858527
2017-02-15,6.127784079959406,6.233440409848054
2017-03-01,6.124489577113207,6.303271015773716
2017-03-15,6.121292687066978,6.367273182820459
2017-04-01,6.113643140753075,6.31628120553039
2017-04-15,6.161144161349006,
2017-05-01,6.202184605937016,
2017-05-15,6.354372984576003,
2017-06-01,6.361349334856827,
2017-06-15,6.124503715111705,
2017-07-01,6.122483898456167,5.939568693678022
2017-07-15,6.123622512423043,5.941103502770316
2017-08-01,6.118333395413176,5.934920514536505
2017-08-15,6.116939383429103,5.900443646822555
2017-09-01,6.1101261299601,5.930573014720752
2017-09-15,6.108122953880963,5.887946763794555
2017-10-01,6.104634076604516,5.840978656373405
2017-10-15,6.09294639019578,5.767369358556267
2017-11-01,6.096754435110813,5.771640296084297
2017-11-15,6.096423615231827,5.770193600100865
2017-12-01,6.093598919155624,5.7673689040246625
2017-12-15,5.913047367970069,5.771605357997039
2018-01-01,5.902456860672624,5.797635573930532
2018-01-15,5.842409381144868,5.76750807297175
2018-02-01,5.839799265618317,5.839799265618317
2018-02-15,5.839995909933781,5.837415263340288
2018-03-01,5.902478211810154,5.863064243269277
2018-03-15,5.828507432588327,5.898711691261576
2018-04-01,5.8876329296930106,6.011644827736443
2018-04-15,5.8852374373691445,6.039038772214684
2018-05-01,5.91239643131641,6.030339835370349
2018-05-15,,6.112200288881037
2018-06-01,,6.038338737864384
2018-06-15,,5.927760984556476
2018-07-01,,5.877725266834921
2018-07-15,,5.866086690823091
2018-08-01,,5.803379821293796
2018-08-15,,5.78338317796689
2018-09-01,,5.771224552883313
2018-09-15,,6.014703821464067
2018-10-01,,6.075711212640304
2018-10-15,,6.078438463773156
2018-11-01,,6.135021518959832
2018-11-15,,6.093868790147582
2018-12-01,,6.148032634165344
2018-12-15,,6.154407268815136
2019-01-01,,6.194812862998959
2019-01-15,6.287738756600155,6.246782991763333
2019-02-01,6.253849702009266,6.253849702009266
2019-02-15,6.379122069505014,6.297009093784002
2019-03-01,6.305033192846769,6.288425456447108
2019-03-15,6.343399460271448,6.323656981542247
2019-04-01,6.350019156170734,6.357432088559859
2019-04-15,6.386200734524484,6.463373999770067
2019-05-01,,6.545509948009071
2019-05-15,,6.559342516862992
2019-06-01,,6.558645794350314
2019-06-15,,6.546114490297316
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
