Date,Masindi,Mbale
2016-01-01,5.275479556124178,5.380096300829159
2016-01-15,5.112551408384965,5.315108037028888
2016-02-01,5.193232940612374,5.24560092612969
2016-02-15,5.262470614036932,5.28347200357132
2016-03-01,5.291061483717872,5.291061483717872
2016-03-15,5.3013633293406315,5.334696527843346
2016-04-01,5.360002190382771,
2016-04-15,5.384874158522637,
2016-05-01,5.385272553728783,
2016-05-15,5.488427863115462,5.492372641406479
2016-06-01,5.501279277433299,5.5871529054176285
2016-06-15,5.500265656213766,5.55801951760426
2016-07-01,5.485513885498625,5.518558680276081
2016-07-15,5.4884566541889885,5.458544154826388
2016-08-01,5.453558019490573,5.426834949349819
2016-08-15,5.35787309871949,5.404544618028637
2016-09-01,5.351244553914868,5.454821743197266
2016-09-15,5.47078410184427,5.529090150862232
2016-10-01,5.462935610364402,5.532587026491551
2016-10-15,5.445999762404194,5.554161960903257
2016-11-01,5.546659148996874,5.6617284787816615
2016-11-15,5.552289159742523,5.73312151298501
2016-12-01,5.544493151148241,5.757206829097955
2016-12-15,5.549632479119975,5.732843320098814
2017-01-01,5.54674686835175,5.704078414783624
2017-01-15,5.595701695395968,5.685238653062714
2017-02-01,5.642371381028475,5.687940930497865
2017-02-15,5.635845373847415,5.722318971851242
2017-03-01,5.675177687462979,5.874231226657774
2017-03-15,5.868849431235698,5.999119475863482
2017-04-01,5.897916187093915,5.996356259907167
2017-04-15,5.893859837756065,5.991297558814167
2017-05-01,5.886718728325191,5.983435180334269
2017-05-15,5.959743895809117,6.022404210803276
2017-06-01,6.00134660082542,5.938288464858283
2017-06-15,6.005981854153889,5.629472606775861
2017-07-01,5.535290529329386,5.373399411927151
2017-07-15,5.312198590938724,5.372561740665815
2017-08-01,5.368581761113166,5.368581761113166
2017-08-15,5.368956130992608,5.526976439104388
2017-09-01,5.41895718941226,5.567445339952891
2017-09-15,5.3563303703594904,5.467556005469715
2017-10-01,5.294200015198664,5.294200015198664
2017-10-15,5.280381673081202,5.399799209635835
2017-11-01,5.1520064984226215,5.221686419060612
2017-11-15,5.074272492658195,5.151747804826485
2017-12-01,5.074221723464717,5.147636934939538
2017-12-15,5.078458177437094,5.1529607047350146
2018-01-01,5.068819317163852,5.138928883350879
2018-01-15,5.074360892411804,5.149262200584922
2018-02-01,5.149232731651864,5.149232731651864
2018-02-15,5.146848729373835,5.144268082780344
2018-03-01,5.139302426889725,5.139302426889725
2018-03-15,5.132759470328324,5.132759470328324
2018-04-01,5.126191201696839,5.126191201696839
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.116156585835759,5.039616508713424
2018-05-15,5.111724038485514,5.106418986255821
2018-06-01,5.093877129023532,5.088471710456624
2018-06-15,5.072644476051474,5.072644476051474
2018-07-01,5.067713746135665,5.067713746135665
2018-07-15,4.544330850840772,4.852632210495289
2018-08-01,4.492688200916857,4.576458083982315
2018-08-15,4.478766847861266,4.603064564538843
2018-09-01,4.464766650080757,4.637137876021543
2018-09-15,4.491005807556552,4.630512510540956
2018-10-01,4.516574038681002,4.562665145881269
2018-10-15,4.641371777279842,4.74422916271955
2018-11-01,4.752465479950549,4.752465479950549
2018-11-15,4.760818943546503,4.943140500340458
2018-12-01,4.853675768371139,4.944059829839408
2018-12-15,4.86609331605545,4.949208222765956
2019-01-01,4.942049894503591,5.127453117834954
2019-01-15,4.946942438619464,5.131306897043219
2019-02-01,5.033716055574165,5.135136234020068
2019-02-15,5.23877496105929,5.279048860197229
2019-03-01,5.227376269354647,5.289896626335981
2019-03-15,5.223509773156054,5.286030130137388
2019-04-01,5.303592620673194,5.27784012457078
2019-04-15,5.5467516479293515,5.61253317730652
2019-05-01,5.564680694997345,5.609203151428446
2019-05-15,5.520292489346226,5.6081538451375605
2019-06-01,5.4791271644977835,
2019-06-15,5.539695727085255,
2019-07-01,5.4441263027399,
2019-07-15,,
2019-08-01,,
2019-08-15,5.086228299901257,
2019-09-01,5.075033286849828,
2019-09-15,5.223319935534699,
2019-10-01,5.393261828560937,
2019-10-15,5.387802892630971,
2019-11-01,5.481495533484364,
2019-11-15,5.527281855864189,
2019-12-01,5.531926066476241,
2019-12-15,5.534926599493717,
2020-01-01,5.613902240403721,
2020-01-15,5.133041133779092,
2020-02-01,5.207854515918085,
2020-02-15,5.269516812452338,
