Date,Kasese,Busia
2016-01-01,6.465979102746381,6.484273434130676
2016-01-15,6.364481043498774,6.5097193815338565
2016-02-01,6.455550730509163,6.487370746174096
2016-02-15,6.491592672816966,6.480575301000738
2016-03-01,6.500814650959307,6.54795668949815
2016-03-15,6.5661715702829815,6.549507351979704
2016-04-01,6.56363709979081,6.504827322206012
2016-04-15,6.628025456078266,6.544519930548691
2016-05-01,6.737551926612268,6.333078952381815
2016-05-15,6.493901525492754,6.351968029604088
2016-06-01,6.536175751715301,6.348159339610958
2016-06-15,6.5393086464576164,6.326456781179954
2016-07-01,6.5230073591106885,6.30475379309067
2016-07-15,6.525625387246635,6.336876534329248
2016-08-01,6.5629303312726694,6.333496132248131
2016-08-15,6.561512514144189,6.44080757466837
2016-09-01,6.555773996162218,6.459829224395914
2016-09-15,6.549849635989781,6.5521888183429535
2016-10-01,6.542930340016441,6.557256755296448
2016-10-15,6.5236865490992715,6.472967513574678
2016-11-01,6.533567448084982,6.362495507720011
2016-11-15,6.468579891616678,6.358446097206194
2016-12-01,6.462571193596491,6.477459806090242
2016-12-15,6.462358144829634,6.52600340998999
2017-01-01,6.462145141442885,6.527799111664322
2017-01-15,6.494460786202137,6.521873300117559
2017-02-01,,6.5682621866316495
2017-02-15,,6.755208606620563
2017-03-01,6.58557784270099,6.8144264820429035
2017-03-15,6.598182718342347,6.836408044213878
2017-04-01,6.4811770265378295,6.763172859837966
2017-04-15,6.438389706434408,6.755151279648352
2017-05-01,6.431272514122744,6.757273450876662
2017-05-15,6.515723917055652,6.5686053536510105
2017-06-01,6.52673237592274,6.45524907719179
2017-06-15,6.48892797440099,6.335859699897743
2017-07-01,6.491349319745419,6.39597073814894
2017-07-15,6.493243890620956,6.452166065288748
2017-08-01,6.486934950587513,6.478555173605915
2017-08-15,6.483668770360596,6.474503260213176
2017-09-01,,6.490188802656174
2017-09-15,6.477104230830453,6.587247809928879
2017-10-01,6.580822017459036,6.499956941318101
2017-10-15,6.552848923455012,6.395096163241861
2017-11-01,6.465480717573219,6.283574874774027
2017-11-15,6.3859779967870125,6.212372552833423
2017-12-01,6.37978061623217,6.209992795585473
2017-12-15,6.2735519001219,6.35076064995387
2018-01-01,6.373673346343568,6.306302535228485
2018-01-15,6.381191082177448,6.359145339474154
2018-02-01,6.3819132104237015,6.384164618504159
2018-02-15,6.3827299692105095,6.585852906913254
2018-03-01,,6.583474574587587
2018-03-15,,6.551717638267006
2018-04-01,,6.564760051068772
2018-04-15,,6.562364558744907
2018-05-01,6.3868037865875475,6.631283818798617
2018-05-15,6.366752013611734,6.258538428971502
2018-06-01,6.24072322980427,6.057030870876536
2018-06-15,6.128219253039601,6.0213704836787825
2018-07-01,5.964532374597,5.955502967877606
2018-07-15,5.935244157816957,5.960273905882792
2018-08-01,5.9935241037689595,5.956033494853461
2018-08-15,5.825055874367457,6.056329551764917
2018-09-01,5.965538258722532,6.05218165042742
2018-09-15,6.041704423282574,6.133655764325432
2018-10-01,6.048560223574353,6.126954902622973
2018-10-15,6.2689769936693915,6.132401458663641
2018-11-01,6.272174622418519,5.996663085586993
2018-11-15,6.120845377845783,5.94231889202038
2018-12-01,6.147106279305214,6.041642782338404
2018-12-15,6.0478205114340655,6.064048048055822
2019-01-01,6.040662183171701,6.19304763747439
2019-01-15,6.047597628917374,6.266651194980059
2019-02-01,5.996118139407725,6.4511225008960125
2019-02-15,5.993888865368435,6.477744607422322
2019-03-01,5.981960969757094,6.470879912437218
2019-03-15,6.187492853741926,6.490652074375765
2019-04-01,6.183641249773915,6.551501210703764
2019-04-15,6.387632373995921,6.604173346422462
2019-05-01,6.341989667879001,6.590809707238734
2019-05-15,6.343990434392556,6.5736796800094
2019-06-01,6.3825697538940895,6.473166649246316
2019-06-15,6.408733574108865,6.457991137211788
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
