Date,Meru,Makueni
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,
2016-06-01,,
2016-06-15,,
2016-07-01,,
2016-07-15,,
2016-08-01,,
2016-08-15,,
2016-09-01,,
2016-09-15,,
2016-10-01,,
2016-10-15,,
2016-11-01,,
2016-11-15,,
2016-12-01,,
2016-12-15,,
2017-01-01,,
2017-01-15,,
2017-02-01,,
2017-02-15,,
2017-03-01,,6.656551736270831
2017-03-15,,6.645415885178283
2017-04-01,,6.634353341135345
2017-04-15,,6.735312768732915
2017-05-01,,6.731601410229312
2017-05-15,,6.736595585847204
2017-06-01,,6.734485810897574
2017-06-15,6.2500935083678355,6.742384481917004
2017-07-01,6.236415078500186,6.7472407022661764
2017-07-15,6.369865907953743,6.7431674395719465
2017-08-01,6.332102394085951,6.7370553382904745
2017-08-15,6.256728992106149,6.745553560513844
2017-09-01,6.261275849837203,6.677380799888984
2017-09-15,6.245179263268,6.604218274501613
2017-10-01,6.400927788051529,6.65915264961788
2017-10-15,6.399175839756364,6.626096818197707
2017-11-01,6.355681932153066,6.520860943021803
2017-11-15,6.3545313693496155,6.529735458374706
2017-12-01,6.348822869095615,6.461852075765458
2017-12-15,6.23959488878029,6.454597282510799
2018-01-01,6.2228771503284825,6.4480663893659855
2018-01-15,6.22457698003964,6.448058883581744
2018-02-01,6.24946940107117,6.455416761446466
2018-02-15,6.2716100759226965,6.504262415205933
2018-03-01,6.264717380653063,6.501148061962706
2018-03-15,6.320506455025611,6.617864821807924
2018-04-01,6.358458331401633,6.597779332159993
2018-04-15,6.360052571078575,6.608599214586755
2018-05-01,6.38397634097975,6.425240226801937
2018-05-15,6.387055240313006,6.389127779914979
2018-06-01,6.137847983590425,6.169429555640725
2018-06-15,6.132470949190579,6.2880350568149845
2018-07-01,6.143247193346733,6.21402737540778
2018-07-15,6.144383863459561,6.34934345888069
2018-08-01,6.032614018881839,6.212608833725317
2018-08-15,6.171964065512139,6.207530896506882
2018-09-01,6.131820463708053,6.280856042868541
2018-09-15,6.13401030058486,6.282531112115966
2018-10-01,6.1380033289192415,
2018-10-15,6.1688617235895045,6.285872856467305
2018-11-01,6.181842267476668,6.353241036743845
2018-11-15,6.187962775629083,6.3811788911074805
2018-12-01,6.2352325424772115,6.408357388521492
2018-12-15,6.342078014909487,6.410684338266384
2019-01-01,6.275793882091732,6.380426543535858
2019-01-15,6.204802287462465,6.3492245716654345
2019-02-01,6.227651515984897,6.343018118729653
2019-02-15,6.1897514374836895,6.344612596914546
2019-03-01,6.183785628282967,6.406929179597177
2019-03-15,6.194637067368583,6.397677783196507
2019-04-01,6.218068109107476,6.391087273239116
2019-04-15,6.3416151525419036,6.384698738678216
2019-05-01,6.413917115603316,6.4394939573929655
2019-05-15,6.409321660193279,6.56421417981717
2019-06-01,6.411212771383217,6.564438980404133
2019-06-15,6.399320349866344,6.554031096916307
2019-07-01,6.390862541509705,6.575448427740122
2019-07-15,6.382332588007311,6.596416658228198
2019-08-01,6.398976955485573,6.621920866600269
2019-08-15,,6.646790754638274
2019-09-01,,6.633762145286237
2019-09-15,6.447309725500407,6.634672185926927
2019-10-01,6.407818263954988,6.633117094690096
2019-10-15,6.409951735509691,6.631559581377472
2019-11-01,6.406965932422443,
2019-11-15,6.416131213417825,
2019-12-01,6.408807269235256,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
