Date,Bujumbura,Ngozi
2016-01-01,,6.408598092521518
2016-01-15,6.60004825120631,6.17296067908498
2016-02-01,6.597767214342511,6.319639708521345
2016-02-15,6.582412948532878,6.5390410163793495
2016-03-01,6.564108554549303,6.428206556310445
2016-03-15,6.659235400459884,6.525570279259593
2016-04-01,6.657688778798149,6.32987460492005
2016-04-15,6.666089241493887,6.338539633279884
2016-05-01,6.662768616861289,6.3075833984752
2016-05-15,6.609217731160357,6.146254130990976
2016-06-01,6.575574138840242,5.992716020139272
2016-06-15,6.460579527431087,5.997327721868091
2016-07-01,6.349816409168869,6.056654870952463
2016-07-15,6.34726513261661,6.295020733579091
2016-08-01,6.4809637725885425,6.288037203515295
2016-08-15,6.526575831966613,6.286532413014185
2016-09-01,6.5598168015947,6.28546680291197
2016-09-15,6.56548547753061,6.291204488129656
2016-10-01,6.567866474121912,6.342498594337777
2016-10-15,6.557396984067386,6.334582976338297
2016-11-01,6.562401232135851,6.413760208119562
2016-11-15,6.6612639294265605,6.486386360958224
2016-12-01,6.696744509446637,6.553580195906542
2016-12-15,6.7801063467968765,6.6150971596926045
2017-01-01,6.798272240540615,6.566956417117085
2017-01-15,6.761338645635116,6.4155079536871895
2017-02-01,6.7832338893375255,6.458610785564427
2017-02-15,6.829274348582534,6.451861115047146
2017-03-01,6.667687517929822,6.384879124484967
2017-03-15,6.7040533018183055,6.278673953042564
2017-04-01,6.65343300464985,6.404985027843036
2017-04-15,6.71283219170475,6.277424726981507
2017-05-01,6.70109470733715,6.071988659195245
2017-05-15,6.592626818548583,6.081335537032618
2017-06-01,6.402324417872969,5.824231758316204
2017-06-15,6.364820103532932,5.959354995424768
2017-07-01,6.281010311329168,6.081842310265665
2017-07-15,6.276039711466149,6.074938260020598
2017-08-01,6.2726234905071925,6.06897448271076
2017-08-15,6.260097702004639,6.059859588631684
2017-09-01,6.3330119198705015,6.149972230191106
2017-09-15,6.325420906950073,6.1448220034675645
2017-10-01,6.317157126372986,6.230014936380357
2017-10-15,6.315421780838095,6.228869104423331
2017-11-01,6.314404220342962,6.313681937899138
2017-11-15,6.3242570027810965,6.23501626285908
2017-12-01,6.321867974543461,6.141727443695866
2017-12-15,6.330552384438835,6.095905008643141
2018-01-01,6.33491731345092,5.9316332312891165
2018-01-15,6.3289196171763376,5.800053222391385
2018-02-01,6.255332743183734,5.86990366183599
2018-02-15,6.2575397613385135,5.8744416833772455
2018-03-01,6.259751661198427,5.876653583237159
2018-03-15,6.255862403578032,5.9367134348092065
2018-04-01,6.2519820663493,5.869307728576876
2018-04-15,6.155221585935476,5.858775215490107
2018-05-01,6.151718957051852,5.9870418642376055
2018-05-15,6.49151347154548,6.049819425140857
2018-06-01,6.052718412089843,5.936272031350254
2018-06-15,5.995377991754598,6.114310584957968
2018-07-01,6.008515448312788,6.008515448312788
2018-07-15,5.952034521800883,6.124114584542641
2018-08-01,6.22703327217427,6.016312240858618
2018-08-15,6.159913564014535,6.082340825038057
2018-09-01,6.246032062060443,6.14537874047434
2018-09-15,6.224212038118892,6.197289005113433
2018-10-01,6.3513185989813765,6.20511498084665
2018-10-15,6.382585806619267,6.196450250776229
2018-11-01,6.378062200179386,6.192225701277987
2018-11-15,6.470177489087192,6.289454653656934
2018-12-01,6.367775555469111,6.289454653656934
2018-12-15,6.406554090607581,6.282474754276641
2019-01-01,6.586199804956768,6.273903548211585
2019-01-15,6.5380643098633335,6.13197866186557
2019-02-01,6.489590766797371,6.056590331400893
2019-02-15,6.446543246123182,6.131487411580053
2019-03-01,6.427106163219366,6.165364111776201
2019-03-15,6.455163164474013,6.157192475207375
2019-04-01,6.480129602232846,6.239378814185892
2019-04-15,6.493915047711387,6.403427824330405
2019-05-01,6.474082664085085,6.403968822122032
2019-05-15,6.453848984952939,6.2471359750348245
2019-06-01,6.39529549000291,5.876888951456165
2019-06-15,,5.806235923633672
2019-07-01,,5.931384492792854
2019-07-15,,5.95849633237177
2019-08-01,,5.98489248111995
2019-08-15,6.0364631851751085,6.0364631851751085
2019-09-01,6.133682274353707,6.133682274353707
2019-09-15,6.223312544647138,6.129166412533912
2019-10-01,6.175535543462111,6.178143106869191
2019-10-15,6.213731975652058,6.120173182809735
2019-11-01,6.252669623213981,6.1365851441931785
2019-11-15,6.285263410063279,6.101710326020077
2019-12-01,6.355641152092056,6.094202385145508
2019-12-15,6.348544953304716,6.087606205828446
2020-01-01,6.17221437727505,6.0267679500726565
2020-01-15,6.251630151518908,6.020301015618259
2020-02-01,6.2023750675322935,6.203185112129038
2020-02-15,6.284249610240393,6.202714364976352
