Date,Busia,Tororo
2016-01-01,5.36207779532648,5.366612950491872
2016-01-15,5.28363414666162,5.340941584956898
2016-02-01,5.405565575822368,5.3145937976166415
2016-02-15,5.385648973011552,5.295622821353832
2016-03-01,5.463674226384866,5.291061483717872
2016-03-15,5.477292535162619,5.348429982859414
2016-04-01,5.460621755745066,
2016-04-15,5.532574725528885,
2016-05-01,5.50402977358301,
2016-05-15,5.534768200374164,5.549749753989781
2016-06-01,5.637730380161156,5.610142423642327
2016-06-15,5.616097471738887,5.602991124233586
2016-07-01,5.6194157628448895,5.576141902958443
2016-07-15,5.634434821290053,5.4923782278421704
2016-08-01,5.469654946532747,5.423705056340891
2016-08-15,5.456208999440352,5.360092855457803
2016-09-01,5.4980504777480865,5.454821743197266
2016-09-15,5.6144753223593185,5.5281612144275725
2016-10-01,5.574993019280119,5.5139818386605155
2016-10-15,5.571987744855858,5.555958906579959
2016-11-01,5.665746161968274,5.635625854879024
2016-11-15,5.61794312996396,5.656488286964094
2016-12-01,5.6592902186260625,5.725621390378153
2016-12-15,5.657481000326382,5.695102992115967
2017-01-01,5.732630316712065,5.643596694341668
2017-01-15,5.756137415357606,5.687556151203077
2017-02-01,5.714467684831294,5.72931576756422
2017-02-15,5.727483129399476,5.722318971851242
2017-03-01,5.869151850657754,5.7813879192895
2017-03-15,5.998561595793225,5.969114394466924
2017-04-01,5.959988615736292,5.9628779560878975
2017-04-15,6.002421144032829,5.964084995289282
2017-05-01,6.0187784503382575,5.983435180334269
2017-05-15,6.03479995022846,6.007103365847976
2017-06-01,6.074183924777686,6.029826072147289
2017-06-15,5.659705617436055,5.797147848052577
2017-07-01,5.528147641817006,5.1801395887336295
2017-07-15,5.460618596056998,5.372561740665815
2017-08-01,5.439461623410591,5.366130350325041
2017-08-15,5.525192317310887,5.423792202869158
2017-09-01,5.5759271550088,5.527474771622853
2017-09-15,5.540051507507869,5.471308355088266
2017-10-01,5.377670905866268,5.342139477487782
2017-10-15,5.3681477670877875,5.342936347741292
2017-11-01,5.2868257212315735,5.154580502417795
2017-11-15,5.198209393888956,5.154315200331731
2017-12-01,5.28116832756406,5.075605806730655
2017-12-15,5.241253311880692,5.1529607047350146
2018-01-01,5.240375499687569,5.275061057675458
2018-01-15,5.223738293486406,5.133677469568224
2018-02-01,5.209250741378117,5.117816535418485
2018-02-15,5.3214082808323,5.211709363575876
2018-03-01,5.237904403694265,5.204488406774421
2018-03-15,5.161002682641719,5.054234707216013
2018-04-01,5.157121502388198,5.094273598728534
2018-04-15,5.17731166271308,5.123795709372973
2018-05-01,5.136990672738601,5.039616508713424
2018-05-15,5.163281848150364,5.073983710502667
2018-06-01,5.123095675022673,5.044143123349394
2018-06-15,5.136495948038006,5.072644476051474
2018-07-01,5.123953464458541,5.064955123696586
2018-07-15,4.710315988315033,4.53969047128427
2018-08-01,4.709989476606838,4.526104197836701
2018-08-15,4.674075600182032,4.526622869038901
2018-09-01,4.677959870541799,4.507543104770602
2018-09-15,4.630512510540956,
2018-10-01,4.653049207349539,4.468255461410195
2018-10-15,4.897305151417043,4.641371777279842
2018-11-01,4.981561429792054,4.8450582667783735
2018-11-15,5.031693897681903,4.943140500340458
2018-12-01,5.035434103522495,4.944059829839408
2018-12-15,5.042843827799949,4.8042179123373625
2019-01-01,5.111948931298989,5.019239533194721
2019-01-15,5.131306897043219,5.100216309973188
2019-02-01,5.145237330006572,5.033716055574165
2019-02-15,5.326166783174299,5.300741684808489
2019-03-01,5.281200919368427,5.227376269354647
2019-03-15,5.315883093287069,5.223509773156054
2019-04-01,5.49049406921397,5.367203805187378
2019-04-15,5.6431166006786,5.550062909233008
2019-05-01,5.591947821337684,5.563053355337969
2019-05-15,5.533806208512949,5.520292489346226
2019-06-01,5.562437848935936,5.500180573695616
2019-06-15,5.638344808155095,5.579045065873803
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
