Date,Meru,Eldoret
2016-01-01,,6.57967627648322
2016-01-15,,6.606251612436677
2016-02-01,,6.627769216141513
2016-02-15,,6.639896049740655
2016-03-01,,6.604735697345827
2016-03-15,,6.588176659080447
2016-04-01,,6.598493025723695
2016-04-15,,6.629327139644766
2016-05-01,,6.640637917252501
2016-05-15,,6.611207896231595
2016-06-01,,6.602477055831913
2016-06-15,,6.587438064189276
2016-07-01,,6.567683874723921
2016-07-15,,6.540699581236758
2016-08-01,,6.552923820509729
2016-08-15,,6.4846051673461975
2016-09-01,,6.538904747154852
2016-09-15,,6.556758243459415
2016-10-01,,6.478106288921558
2016-10-15,,6.4731300771899845
2016-11-01,,6.522906191055747
2016-11-15,,6.4896777054959705
2016-12-01,,6.589371344800405
2016-12-15,,6.582190495280729
2017-01-01,,6.639273233002824
2017-01-15,,6.620322433055505
2017-02-01,,6.547837167779981
2017-02-15,,6.646108286145729
2017-03-01,,6.605966239482725
2017-03-15,,6.645415885178283
2017-04-01,,6.610420574923716
2017-04-15,,6.6266789277301195
2017-05-01,,6.608447741182437
2017-05-15,6.480884268271894,6.736087842754295
2017-06-01,6.493788892002464,6.694282014881355
2017-06-15,6.493399699418907,6.7928738818393954
2017-07-01,6.422132224295279,6.819561363845803
2017-07-15,6.386054635303662,6.792978532875486
2017-08-01,6.380819408041386,6.739613538713513
2017-08-15,6.46176946774553,6.843500006673973
2017-09-01,6.466008839308232,6.7542819532767755
2017-09-15,6.4678155007977605,6.75718761928304
2017-10-01,6.433061934567777,6.807360014223469
2017-10-15,6.450250769692778,6.794399453812331
2017-11-01,6.467868412881293,6.756570373233819
2017-11-15,6.467235673926983,6.808931369900132
2017-12-01,6.461171108766042,6.821585645708063
2017-12-15,6.45425662503859,6.837558570700701
2018-01-01,6.511412101296781,6.82870263582028
2018-01-15,6.305790419554213,6.829327422039969
2018-02-01,6.303709170008167,6.846322311211043
2018-02-15,6.375855320215022,6.756627815732815
2018-03-01,6.369679727880385,6.776816079065852
2018-03-15,6.3644052371806294,6.700979728518431
2018-04-01,6.358458331401633,6.725026946562089
2018-04-15,6.388776086909848,6.69662633569622
2018-05-01,6.38397634097975,6.711927769087209
2018-05-15,6.385671157047068,6.713399299799052
2018-06-01,6.388072493507305,6.753178141793563
2018-06-15,6.391853552120995,6.7213571194261155
2018-07-01,6.39495907791268,6.694393791689062
2018-07-15,6.367348986724408,6.694910425407786
2018-08-01,6.325759228834837,6.7015664708547265
2018-08-15,6.35930175607721,6.66750099676304
2018-09-01,6.31116139236387,6.649763555242907
2018-09-15,6.356079930192133,6.607473947792195
2018-10-01,6.360072958526515,6.612580561987755
2018-10-15,6.317042236430258,6.650086877579204
2018-11-01,6.311937230602609,6.5821482927748045
2018-11-15,6.341992074136778,6.511731775587845
2018-12-01,6.339461562014965,6.472810987575024
2018-12-15,6.36924194385031,6.4608267676858295
2019-01-01,6.334911703363676,6.539428604387573
2019-01-15,6.299360870087479,6.458867749115261
2019-02-01,6.376847983248057,6.579972667671775
2019-02-15,6.344612596914546,6.573986697979392
2019-03-01,6.294924121220682,6.566928380953233
2019-03-15,6.352741700480596,6.571977906605886
2019-04-01,6.35090481604932,6.618228164985947
2019-04-15,6.345103122593622,6.699128319497024
2019-05-01,6.387003774771569,6.695427331530166
2019-05-15,6.372280388512929,6.710868213960518
2019-06-01,6.3796727063130145,6.763999181582257
2019-06-15,6.3714855508729,6.765686741736599
2019-07-01,6.3437086148384925,6.60826638295296
2019-07-15,6.315138022811624,6.421349240349763
2019-08-01,6.299618097727204,6.533570543765805
2019-08-15,6.283853502314525,6.5328114512211375
2019-09-01,6.222506821957268,6.47221103584949
2019-09-15,6.157149337034159,6.472364503845929
2019-10-01,5.93730036367709,6.468896434800287
2019-10-15,5.9394364664472175,6.468317150099675
2019-11-01,5.937473681352004,6.474935262366607
2019-11-15,5.9521698986280525,6.478536779605255
2019-12-01,5.940576465577304,6.477377575746555
2019-12-15,5.727947853693069,6.479293273496002
2020-01-01,,6.4781056980953995
2020-01-15,,6.476916710682427
2020-02-01,,6.474994443357775
2020-02-15,,6.471242363322776
