Date,Eldoret,Mbale
2016-01-01,7.2857998494089715,6.76639066194905
2016-01-15,7.283754175849106,6.734175636730581
2016-02-01,7.268272663216036,6.700888158736531
2016-02-15,7.234668422408563,6.696305919925822
2016-03-01,7.190784742349406,6.747314433444672
2016-03-15,7.3201385438559,6.749458388940976
2016-04-01,7.316380423942373,
2016-04-15,7.34732803813147,
2016-05-01,7.308340030983496,
2016-05-15,7.266137990754371,6.757988539003953
2016-06-01,7.190476283175049,6.762637890145943
2016-06-15,7.220061456829194,6.760519296438291
2016-07-01,7.236925534430312,6.746150910424898
2016-07-15,7.178430922655134,6.715923403879571
2016-08-01,7.1787560885656685,6.676617289707049
2016-08-15,7.17061455885785,6.676364356488018
2016-09-01,7.176751038369032,6.6686852320788965
2016-09-15,7.174175103668285,6.697623385329846
2016-10-01,7.142981126328327,6.692853496253145
2016-10-15,7.092497495215696,6.735580153255599
2016-11-01,7.123941040198397,6.717010709988137
2016-11-15,7.167429200577943,6.650901448410633
2016-12-01,7.149434299939093,6.642807243899425
2016-12-15,7.188697054769562,6.648837711772252
2017-01-01,7.226764956153801,6.711791512623095
2017-01-15,7.194643125527804,6.710872678054119
2017-02-01,7.133786765819096,6.709960773684591
2017-02-15,7.119817206790433,6.791406974447403
2017-03-01,7.135657592303314,6.791408202813523
2017-03-15,7.122766057873517,6.867779438137442
2017-04-01,7.129516404338379,6.861353697393771
2017-04-15,7.107086137384232,6.85805959884089
2017-05-01,7.10337477888063,6.899838328598852
2017-05-15,7.142399046183263,6.907855494294352
2017-06-01,7.133447387611423,6.9176373326995755
2017-06-15,7.143588825164313,6.92138527452351
2017-07-01,7.166051730228648,6.787544980142807
2017-07-15,7.122415109531602,6.787724085786558
2017-08-01,7.073966588601332,6.836934715764452
2017-08-15,7.1278277297889305,6.836416705240865
2017-09-01,7.128627152671136,6.774140160250103
2017-09-15,7.133004424352959,6.772632156253379
2017-10-01,7.134606645231592,6.7690856058741335
2017-10-15,7.104619739457457,6.757807827177755
2017-11-01,7.127817524031642,6.733214621992752
2017-11-15,7.1366826210159005,6.6702873847601545
2017-12-01,7.164484422289458,6.669712408417967
2017-12-15,7.163625857851087,6.673427278751277
2018-01-01,7.125421961298002,6.750447961988804
2018-01-15,7.097292353375164,6.813851933094103
2018-02-01,7.134793783196345,6.812846378187989
2018-02-15,7.098686659062667,6.808507341074157
2018-03-01,7.083402306156786,6.803189271207565
2018-03-15,7.037305883772062,6.800368015617292
2018-04-01,7.052320563833304,6.867850748873399
2018-04-15,7.070113474080583,6.864537404259304
2018-05-01,7.049110485312021,6.8575456956748635
2018-05-15,7.046443940947998,6.777732302408008
2018-06-01,7.039414082395344,6.754796997292776
2018-06-15,7.076632483010425,6.738691200772804
2018-07-01,7.080427337668469,6.710208041436984
2018-07-15,6.987595394574869,6.711795988525156
2018-08-01,6.887283616649819,6.657572333049655
2018-08-15,6.939034472097251,6.669982120033642
2018-09-01,6.9347825102752045,6.684830719386799
2018-09-15,6.954239228574494,6.622178441338406
2018-10-01,6.9570499907613135,6.62735883092655
2018-10-15,7.018760365676765,6.630387026869979
2018-11-01,7.0449420854537905,6.6356833059358165
2018-11-15,7.069501977025853,6.551343082166565
2018-12-01,7.09537167081274,6.553497742273509
2018-12-15,7.196801651993541,6.559872376923301
2019-01-01,7.194447111880922,6.708808061526229
2019-01-15,7.219553753093459,6.711231924548906
2019-02-01,7.213096007448676,6.71678028325294
2019-02-15,7.189065505169519,6.716636515704671
2019-03-01,7.185099005964277,6.73196556785697
2019-03-15,7.190242421622816,6.782866365657102
2019-04-01,7.175409380811987,6.772208707220093
2019-04-15,7.166807646515863,6.766029614012011
2019-05-01,7.17829990127378,6.760818003799332
2019-05-15,7.190075278754165,6.761816639324294
2019-06-01,7.20284045084742,
2019-06-15,7.212426845505268,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
