Date,Meru,Nakuru
2016-01-01,,6.269643121194631
2016-01-15,,6.271738240300797
2016-02-01,,6.1775682141919575
2016-02-15,,6.065022496009283
2016-03-01,,6.163987426248881
2016-03-15,,6.2555229799993395
2016-04-01,,6.164652539769697
2016-04-15,,6.266657541376189
2016-05-01,,6.269322468996456
2016-05-15,,6.260913208783499
2016-06-01,,6.255232722228788
2016-06-15,,6.338471865456233
2016-07-01,,6.33448335957486
2016-07-15,,6.408322700959061
2016-08-01,,6.411774645994671
2016-08-15,,6.346797217954415
2016-09-01,,6.409113110531074
2016-09-15,,6.406004268809988
2016-10-01,,6.402905062039947
2016-10-15,,6.39935031465575
2016-11-01,,6.225965838630675
2016-11-15,,6.220344771712386
2016-12-01,,6.45054822271013
2016-12-15,,6.4495104143997155
2017-01-01,,6.439159412503881
2017-01-15,,6.491377814802274
2017-02-01,,6.48015945940407
2017-02-15,,6.475256959020295
2017-03-01,,6.492448857128271
2017-03-15,,6.527492390219751
2017-04-01,,6.513609846560578
2017-04-15,,6.733790312209459
2017-05-01,,6.827280321601237
2017-05-15,6.480884268271894,6.832367126674707
2017-06-01,6.493788892002464,6.51886252955458
2017-06-15,6.493399699418907,6.523060158669789
2017-07-01,6.422132224295279,6.523459192397635
2017-07-15,6.386054635303662,6.51976849303224
2017-08-01,6.380819408041386,6.449373265838694
2017-08-15,6.46176946774553,6.588682253264534
2017-09-01,6.466008839308232,6.647203635419596
2017-09-15,6.4678155007977605,6.649234530454639
2017-10-01,6.433061934567777,6.530095537388278
2017-10-15,6.450250769692778,6.533480223211691
2017-11-01,6.467868412881293,6.651323114272416
2017-11-15,6.467235673926983,6.6509140830322275
2017-12-01,6.461171108766042,6.616683259191621
2017-12-15,6.45425662503859,6.636010161368536
2018-01-01,6.511412101296781,6.5428810290214185
2018-01-15,6.305790419554213,6.6260861632375025
2018-02-01,6.303709170008167,6.571196457534675
2018-02-15,6.375855320215022,6.5048931310893465
2018-03-01,6.369679727880385,6.47051388598808
2018-03-15,6.3644052371806294,6.49820502613868
2018-04-01,6.358458331401633,6.427546572685042
2018-04-15,6.388776086909848,6.430702443773156
2018-05-01,6.38397634097975,6.457837637091864
2018-05-15,6.385671157047068,6.493245287333208
2018-06-01,6.388072493507305,6.491488023834004
2018-06-15,6.391853552120995,6.465465369464242
2018-07-01,6.39495907791268,6.43717092672199
2018-07-15,6.367348986724408,6.436294272020863
2018-08-01,6.325759228834837,6.432990418353861
2018-08-15,6.35930175607721,6.429675613045191
2018-09-01,6.31116139236387,6.417267898358417
2018-09-15,6.356079930192133,6.41855687214752
2018-10-01,6.360072958526515,6.4225499004819016
2018-10-15,6.317042236430258,6.42881924802643
2018-11-01,6.311937230602609,6.424351125843935
2018-11-15,6.341992074136778,6.411615967657628
2018-12-01,6.339461562014965,6.4090365056953
2018-12-15,6.36924194385031,6.431649536576872
2019-01-01,6.334911703363676,
2019-01-15,6.299360870087479,6.475397051066472
2019-02-01,6.376847983248057,6.418251928983971
2019-02-15,6.344612596914546,6.41322660876446
2019-03-01,6.294924121220682,6.407591212060947
2019-03-15,6.352741700480596,6.395011114949591
2019-04-01,6.35090481604932,6.3234286247653015
2019-04-15,6.345103122593622,6.313983213879818
2019-05-01,6.387003774771569,6.387003774771569
2019-05-15,6.372280388512929,6.383004351875905
2019-06-01,6.3796727063130145,6.381673373869312
2019-06-15,6.3714855508729,6.366455302461724
2019-07-01,6.3437086148384925,6.351002057865671
2019-07-15,6.315138022811624,6.252205775936364
2019-08-01,6.299618097727204,6.282418809701479
2019-08-15,6.283853502314525,6.319020384118148
2019-09-01,6.222506821957268,6.2794359986692605
2019-09-15,6.157149337034159,6.296659512544104
2019-10-01,5.93730036367709,6.274654045926108
2019-10-15,5.9394364664472175,6.273126652807842
2019-11-01,5.937473681352004,6.12692720928323
2019-11-15,5.9521698986280525,6.130131227149029
2019-12-01,5.940576465577304,6.128281615454731
2019-12-15,5.727947853693069,6.1304956853001045
2020-01-01,,6.126025836353637
2020-01-15,,6.127925118388319
2020-02-01,,6.1264923411749175
2020-02-15,,6.121759889965547
