Date,Tororo,Busia
2016-01-01,5.698550031947693,5.764507999739491
2016-01-15,5.742498963288706,5.815850960408928
2016-02-01,5.784597426862376,5.8160903260941135
2016-02-15,5.780015188051667,5.806448445119823
2016-03-01,5.830460479927918,5.827639603586277
2016-03-15,5.823459135165726,5.839762280010722
2016-04-01,,5.852416110960883
2016-04-15,,5.891519818002157
2016-05-01,,5.8954400662502255
2016-05-15,5.7949530233687225,5.895209627108374
2016-06-01,5.847175087117204,5.890366685699979
2016-06-15,5.844781203428712,5.976584584563974
2016-07-01,5.831958815207664,6.07626059202922
2016-07-15,5.916583787478151,6.249023760571426
2016-08-01,6.052661965810316,6.131375313739207
2016-08-15,6.048795584257324,5.972457956776333
2016-09-01,6.044948372396227,5.994738168728259
2016-09-15,6.038243067240719,6.10306056731719
2016-10-01,6.03042545473073,6.127008061224102
2016-10-15,6.012178564337852,6.155051850803804
2016-11-01,6.052049976776908,6.174484605077709
2016-11-15,6.267075515405949,6.326028347632771
2016-12-01,6.287367104571401,6.329039800971969
2016-12-15,6.338979123669129,6.38362410428713
2017-01-01,6.422438596006496,6.375653110089442
2017-01-15,6.46359099156879,6.4748905468227225
2017-02-01,6.463255465422941,6.400107322621503
2017-02-15,6.456761407706958,6.373163772720497
2017-03-01,6.453111980278505,6.428312865744372
2017-03-15,6.449836239932684,6.48612773134108
2017-04-01,6.442643362535587,6.538927094258442
2017-04-15,6.469031300719109,6.637498511692277
2017-05-01,6.507661339637742,6.56646380708577
2017-05-15,6.477932645340147,6.499702212524387
2017-06-01,6.4453199176035705,6.5204710274061055
2017-06-15,6.278443357690105,6.45342128594408
2017-07-01,5.800934381322347,6.147875887665223
2017-07-15,5.873083414577452,6.134422813773812
2017-08-01,6.11402732714971,6.132119925935866
2017-08-15,6.116939383429103,6.190270656514652
2017-09-01,6.055178433176196,6.1470593850057815
2017-09-15,6.051051941168544,6.102659816379745
2017-10-01,6.018118854425363,6.017577582422973
2017-10-15,6.010220017711317,6.117761559315504
2017-11-01,5.913630953654796,6.161731236942874
2017-11-15,5.916797074292741,6.141852672078576
2017-12-01,5.9109774673226845,6.099578010211682
2017-12-15,6.039056534663201,6.064110037108751
2018-01-01,6.027762768991995,6.0960416097452885
2018-01-15,6.036262135538013,6.127510807003157
2018-02-01,6.091974649613189,6.113822589139058
2018-02-15,6.113401296028878,6.097590690002236
2018-03-01,6.123687526544533,6.058697144701472
2018-03-15,6.0788112493633095,6.0552807519531155
2018-04-01,5.983165356414574,6.014879331904102
2018-04-15,6.009249335412577,6.024254976030447
2018-05-01,6.002530556671921,5.993815904569477
2018-05-15,6.002289879121233,5.922066192350289
2018-06-01,5.745752977828073,5.812308424277783
2018-06-15,5.697583406584886,5.79556381494509
2018-07-01,5.683569252393964,5.766355446013251
2018-07-15,5.456911003318391,5.521681839476173
2018-08-01,5.359217423231947,5.584806960274418
2018-08-15,5.342731760733681,5.547526173379695
2018-09-01,5.330285056581489,5.60538834682641
2018-09-15,5.427338120575742,5.545121156232126
2018-10-01,5.432864770555157,5.576720046521316
2018-10-15,5.485091816319161,5.659015003414285
2018-11-01,5.538205447338319,5.671736839962841
2018-11-15,5.634743279049029,5.68742664239159
2018-12-01,5.6372070103993535,5.682463601987474
2018-12-15,5.642355403325902,5.672569181922398
2019-01-01,5.715239782737073,5.689264296333812
2019-01-15,5.7182428600650255,5.7503461054494425
2019-02-01,5.647990256047452,5.7572943533366505
2019-02-15,5.800345783830516,5.731631891282464
2019-03-01,5.713946972747484,5.702550838016614
2019-03-15,5.7100804765488915,5.695814899390069
2019-04-01,5.739658169230076,5.731405027473356
2019-04-15,5.770226819210122,5.906407220006222
2019-05-01,5.895328803332569,5.976090159977027
2019-05-15,5.895835917589341,5.916645917103135
2019-06-01,5.83863497152082,5.855813308055905
2019-06-15,5.825704158979006,5.867530673925267
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
