Date,Tororo,Busia
2016-01-01,6.191026517045488,6.318462984402514
2016-01-15,6.270550272921105,6.337440950762077
2016-02-01,6.344213214797799,6.316188099802063
2016-02-15,6.33963097598709,6.312043019468261
2016-03-01,6.3912827831916825,6.3872553915217
2016-03-15,6.3362568312128476,6.358921285335857
2016-04-01,,6.336599528487916
2016-04-15,,6.403138777787544
2016-05-01,,6.135943578426915
2016-05-15,6.079721765282146,6.318066477928407
2016-06-01,6.134167266475048,6.292744691025658
2016-06-15,6.290847287159116,6.364133904030523
2016-07-01,6.290276681284751,6.233923744733619
2016-07-15,6.294792179027007,6.283766709015299
2016-08-01,6.436160547191164,6.2642628327982495
2016-08-15,6.518242265563295,6.279482992071245
2016-09-01,6.514882438844119,6.318338482369976
2016-09-15,6.547504969030527,6.419610623769823
2016-10-01,6.541587156469973,6.4160879355427145
2016-10-15,6.441994004612874,6.319295131018286
2016-11-01,6.374409866289913,6.168196797178696
2016-11-15,6.245436340302469,6.188487988431572
2016-12-01,6.238087458923326,6.261066817385763
2016-12-15,6.297315023835952,6.318982538170334
2017-01-01,6.380702644998204,6.34400489913866
2017-01-15,6.423005711453711,6.426697114685671
2017-02-01,6.463255465422941,6.4436084680391446
2017-02-15,6.456406483124705,6.5005031950970995
2017-03-01,6.455593811015265,6.536507788619762
2017-03-15,6.558496210449027,6.542105035181455
2017-04-01,6.555653119439313,6.573984859087074
2017-04-15,6.586390305376328,6.566451950177369
2017-05-01,6.645468105605275,6.626442213394548
2017-05-15,6.477932645340147,6.320739745217466
2017-06-01,6.223600867954746,6.2572799749626205
2017-06-15,6.124503715111705,6.1697472348898375
2017-07-01,6.126432570911583,6.304228302247334
2017-07-15,6.22804477957373,6.324607257103773
2017-08-01,6.270286038406951,6.366576585153397
2017-08-15,6.316891171599328,6.384156553993323
2017-09-01,6.356367204467341,6.391725383085202
2017-09-15,6.396547692538435,6.376299531708487
2017-10-01,6.392812303866773,6.340108240376205
2017-10-15,6.294347746024714,6.173066404506129
2017-11-01,5.978282284313611,6.055848936770209
2017-11-15,5.9514758358243025,6.0010634591662155
2017-12-01,6.036528692625579,5.998788364642731
2017-12-15,6.097564753573258,6.138586130010234
2018-01-01,6.139101099205735,6.13140875358258
2018-01-15,6.199470848312016,6.139071629404233
2018-02-01,5.9749443426336715,5.902397921938062
2018-02-15,5.970300452388205,5.972560340355643
2018-03-01,6.025080533902487,5.971310039734474
2018-03-15,5.960901815425774,5.929703444569913
2018-04-01,5.9515600169992435,5.982053627561884
2018-04-15,5.9491645246753775,5.944566815426748
2018-05-01,5.939870241677762,6.015461771344169
2018-05-15,5.938402611669982,5.970295975445936
2018-06-01,5.636013349760887,5.730182953450687
2018-06-15,5.696111735973429,5.732268964572776
2018-07-01,5.683569252393964,5.701268829493364
2018-07-15,5.601992535895786,5.735724872959848
2018-08-01,5.800758587813922,5.732889943539251
2018-08-15,5.788688230196583,5.756427367978361
2018-09-01,5.9064301464681215,5.752279466640863
2018-09-15,5.896394331465438,5.835325298116617
2018-10-01,5.902868399800893,5.843348709775264
2018-10-15,5.701762853127754,5.717511210095894
2018-11-01,5.6229466757934095,5.6865081572831535
2018-11-15,5.634743279049029,5.760906013162644
2018-12-01,5.6372070103993535,5.856639982317028
2018-12-15,5.642355403325902,5.844419438849057
2019-01-01,5.863266744713802,5.912407847648022
2019-01-15,5.871785452308936,5.9005644168589795
2019-02-01,5.870525719778315,5.95560904299699
2019-02-15,6.050212405285479,6.019313963734245
2019-03-01,6.039841405289059,6.039841405289059
2019-03-15,6.1388784210552405,6.08777932027933
2019-04-01,6.133180094494065,6.103159078239208
2019-04-15,6.266086904446707,6.345259344147123
2019-05-01,6.378677568257577,6.316250169677425
2019-05-15,6.261581745912932,6.258334989814062
2019-06-01,6.262089117465058,6.12786287825786
2019-06-15,6.242826351629383,6.065788822982034
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
