Date,Kasese,Owino
2016-01-01,6.465979102746381,6.549089386259068
2016-01-15,6.364481043498774,6.577317384946351
2016-02-01,6.455550730509163,6.518566601942577
2016-02-15,6.491592672816966,6.535536160018683
2016-03-01,6.500814650959307,6.677355844837763
2016-03-15,6.5661715702829815,6.605846195190644
2016-04-01,6.56363709979081,6.540388189406946
2016-04-15,6.628025456078266,6.552406136343881
2016-05-01,6.737551926612268,6.591873480460989
2016-05-15,6.493901525492754,6.615933575438553
2016-06-01,6.536175751715301,6.449038453929686
2016-06-15,6.5393086464576164,6.477066337580395
2016-07-01,6.5230073591106885,6.437522699974859
2016-07-15,6.525625387246635,6.44215294216079
2016-08-01,6.5629303312726694,6.436160547191164
2016-08-15,6.561512514144189,6.5423232365565624
2016-09-01,6.555773996162218,6.556107830249778
2016-09-15,6.549849635989781,6.589533478879123
2016-10-01,6.542930340016441,6.5743119407576085
2016-10-15,6.5236865490992715,6.398114045424532
2016-11-01,6.533567448084982,6.381882860752917
2016-11-15,6.468579891616678,6.43848880487973
2016-12-01,6.462571193596491,6.500073397992073
2016-12-15,6.462358144829634,6.509105407369265
2017-01-01,6.462145141442885,6.6114883655834955
2017-01-15,6.494460786202137,6.61245173027075
2017-02-01,,6.607299149439882
2017-02-15,,6.749134376931457
2017-03-01,6.58557784270099,6.788620214694112
2017-03-15,6.598182718342347,6.867545437902375
2017-04-01,6.48117702653783,6.861353697393771
2017-04-15,6.438389706434408,6.856648166002482
2017-05-01,6.431272514122744,6.848876293235224
2017-05-15,6.515723917055652,6.515723917055652
2017-06-01,6.52673237592274,6.443179353104459
2017-06-15,6.48892797440099,6.369176518407709
2017-07-01,6.491349319745419,6.451225325979993
2017-07-15,6.493243890620956,6.491195409194483
2017-08-01,6.4869349505875125,6.4869349505875125
2017-08-15,6.483668770360596,6.484474118132993
2017-09-01,,6.516910499473327
2017-09-15,6.477104230830453,6.618651356660965
2017-10-01,6.580822017459036,6.615360439861219
2017-10-15,6.552848923455012,6.39917401875369
2017-11-01,6.465480717573219,6.382430488835728
2017-11-15,6.3859779967870125,6.299680577704196
2017-12-01,6.37978061623217,6.35930208488863
2017-12-15,6.2735519001219,6.424592157534765
2018-01-01,6.373673346343568,6.413767803545446
2018-01-15,6.381191082177448,6.459265399242641
2018-02-01,6.3819132104237015,6.460625784598636
2018-02-15,6.3827299692105095,6.566099178177021
2018-03-01,,6.602245940175688
2018-03-15,,6.620500447784904
2018-04-01,,6.734581445098495
2018-04-15,,6.745720776779637
2018-05-01,6.3868037865875475,6.722959450631854
2018-05-15,6.366752013611734,6.386170099468836
2018-06-01,6.24072322980427,6.1455842682179815
2018-06-15,6.128219253039601,6.172172096591272
2018-07-01,5.964532374597,6.157100877128949
2018-07-15,5.935244157816957,6.153768763274872
2018-08-01,5.9935241037689595,6.156908459543163
2018-08-15,5.825055874367457,6.140722794578813
2018-09-01,5.965538258722532,6.223818801333028
2018-09-15,6.041704423282574,6.216999989388145
2018-10-01,6.048560223574353,6.309119362566396
2018-10-15,6.2689769936693915,6.223781017326023
2018-11-01,6.272174622418519,6.137826569887441
2018-11-15,6.120845377845783,6.1471133046663935
2018-12-01,6.147106279305214,6.148032634165344
2018-12-15,6.0478205114340655,6.154407268815136
2019-01-01,6.040662183171701,6.2906039276406345
2019-01-15,6.047597628917374,6.373813365371398
2019-02-01,5.996118139407725,6.418604935085321
2019-02-15,5.993888865368435,6.455001152190991
2019-03-01,5.981960969757094,6.445987944428703
2019-03-15,6.187492853741926,6.546800532856458
2019-04-01,6.183641249773915,6.602490322579463
2019-04-15,6.387632373995921,6.626953374754281
2019-05-01,6.341989667879001,6.680488463777335
2019-05-15,6.343990434392556,6.671897308154846
2019-06-01,6.3825697538940895,6.492660443927318
2019-06-15,6.408733574108865,6.558265308079828
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
