Date,Lira,Mbale
2016-01-01,6.436148975078473,6.345177196872746
2016-01-15,6.478206631457466,6.368214610247294
2016-02-01,6.518566601942577,6.3907332304326925
2016-02-15,6.513984363131868,6.408623847474042
2016-03-01,6.564992876650718,6.523607660487864
2016-03-15,6.566218004111513,6.517100976959076
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.571103559520759,6.490642424291848
2016-06-01,6.4973427750168735,6.454689250657641
2016-06-15,6.497048837167734,6.4774332427395285
2016-07-01,6.394664563239303,6.482272895773473
2016-07-15,6.417630640577653,6.39527238426644
2016-08-01,6.435400957333145,6.388736192476026
2016-08-15,6.48135865213274,6.474834526055797
2016-09-01,6.426573778057876,6.512793301594033
2016-09-15,6.527179066016488,6.509919403873958
2016-10-01,6.413799605024702,6.541251078496721
2016-10-15,6.346535775359762,6.441994004612874
2016-11-01,6.278349306323603,6.327946247462975
2016-11-15,6.251666890053104,6.306900945368628
2016-12-01,6.286941482092109,6.419141635669155
2016-12-15,6.385939813542728,6.468766141124965
2017-01-01,6.4632159964443785,6.503766816133705
2017-01-15,6.503275976301969,6.503275976301969
2017-02-01,6.535238790885069,6.541146258015762
2017-02-15,6.569405482771316,6.76255386524853
2017-03-01,6.700593093584647,6.816896839030441
2017-03-15,6.564534684224114,6.867779438137442
2017-04-01,6.55597204784259,6.861353697393771
2017-04-15,6.6167693122360465,6.856648166002482
2017-05-01,6.661574292137125,6.845083920830362
2017-05-15,6.516054988073409,6.745994329735111
2017-06-01,6.321415188976355,6.627582076102239
2017-06-15,6.278021149535216,6.529804686986427
2017-07-01,6.323424317453331,6.527619245638013
2017-07-15,6.367155657177179,6.528099966129934
2017-08-01,6.363348068111329,6.523633227923906
2017-08-15,6.361975912353549,6.55863096255904
2017-09-01,6.35791399518564,6.620159360657688
2017-09-15,6.395805026332744,6.437993100713827
2017-10-01,6.392812303866773,6.259280911242251
2017-10-15,6.293525715563299,6.199612585745824
2017-11-01,6.295145251786876,6.42589957911418
2017-11-15,6.203880881695268,6.425946653131482
2017-12-01,6.223249728579018,6.4220430143143945
2017-12-15,6.296693428683594,6.424951546577268
2018-01-01,6.286661969353938,6.413767803545446
2018-01-15,6.338173697093758,6.420989997139264
2018-02-01,6.338144228160699,6.420960528206205
2018-02-15,6.455460139358731,6.416406543159853
2018-03-01,6.487981003885049,6.411853508998498
2018-03-15,6.483939259878529,6.406870323508568
2018-04-01,6.644707197559188,6.397480079799721
2018-04-15,6.60739326454471,6.395084587475855
2018-05-01,6.5686328538369505,6.3868037865875475
2018-05-15,6.30130810535935,6.386170099468836
2018-06-01,6.038338737864384,6.363062081996514
2018-06-15,6.017106084892325,6.122466600550152
2018-07-01,6.010643726556405,6.126039556495682
2018-07-15,5.996681677659458,6.151915194625549
2018-08-01,6.051343674657786,6.156908459543163
2018-08-15,6.038973322308375,6.13979212908586
2018-09-01,6.128167557405342,6.124408154481436
2018-09-15,6.121431822739718,6.123322182470887
2018-10-01,6.175700184496219,6.020651435457276
2018-10-15,6.0276661383997325,6.129583232279798
2018-11-01,5.972722878040985,6.135021518959832
2018-11-15,5.9813210498236495,6.145259736017071
2018-12-01,6.148032634165344,6.148032634165344
2018-12-15,6.154407268815136,6.154407268815136
2019-01-01,6.242174275402044,6.148796625712253
2019-01-15,6.290943887549104,6.152141484668644
2019-02-01,6.297652324667658,6.158207792230096
2019-02-15,6.337387249727399,6.155978518190804
2019-03-01,6.366626203754582,6.144588235748122
2019-03-15,6.403227657108837,6.14072173954953
2019-04-01,6.470444201289956,6.135026817087231
2019-04-15,6.463373999770067,6.529444834379141
2019-05-01,6.5282893502574,6.676752137039459
2019-05-15,6.493439246185936,6.527554999426108
2019-06-01,6.403189041096826,
2019-06-15,6.468615407132018,
2019-07-01,6.473899710465941,
2019-07-15,6.479156236656692,
2019-08-01,6.363039004991827,
2019-08-15,6.398515368454724,
2019-09-01,6.51024344817173,
2019-09-15,6.545075775517018,
2019-10-01,6.471228222605499,
2019-10-15,6.466997095441979,
2019-11-01,6.532366059267258,
2019-11-15,6.531583465061057,
2019-12-01,6.564379684893274,
2019-12-15,6.467584308832078,
2020-01-01,6.495450023834003,
2020-01-15,6.532791355414375,
2020-02-01,6.685716070563467,
2020-02-15,6.68645276785693,
