Date,Busia,Kisumu
2016-01-01,5.764507999739491,6.512857864329261
2016-01-15,5.815850960408928,6.512443571830001
2016-02-01,5.8160903260941135,6.47761694228095
2016-02-15,5.806448445119823,6.506454783744106
2016-03-01,5.827639603586277,6.496550014102062
2016-03-15,5.839762280010722,6.493097323341981
2016-04-01,5.852416110960883,6.559350383693245
2016-04-15,5.891519818002157,6.508077896011896
2016-05-01,5.8954400662502255,6.510998268439593
2016-05-15,5.895209627108374,6.503620562411661
2016-06-01,5.890366685699979,6.496974806774373
2016-06-15,5.976584584563974,6.492385998860153
2016-07-01,6.07626059202922,6.489935121849543
2016-07-15,6.249023760571426,6.485283742095189
2016-08-01,6.131375313739207,6.485608908005724
2016-08-15,5.972457956776333,6.483181679561344
2016-09-01,5.994738168728259,6.483248428624609
2016-09-15,6.10306056731719,6.480495016088001
2016-10-01,6.127008061224102,6.440475220703911
2016-10-15,6.155051850803804,6.319690382106504
2016-11-01,6.174484605077709,6.3144884747865815
2016-11-15,6.326028347632771,6.461863907626087
2016-12-01,6.329039800971969,6.456287119379148
2016-12-15,6.38362410428713,6.4491520556788045
2017-01-01,6.375653110089442,7.057921482089496
2017-01-15,6.4748905468227225,6.957985855046871
2017-02-01,6.400107322621503,6.86247167083152
2017-02-15,6.373163772720497,6.85787959382625
2017-03-01,6.428312865744372,6.945844058659234
2017-03-15,6.48612773134108,6.846520602884505
2017-04-01,6.538927094258442,6.834486422821635
2017-04-15,6.637498511692277,6.91407831466765
2017-05-01,6.56646380708577,6.9093061732068275
2017-05-15,6.499702212524387,6.832597727390591
2017-06-01,6.5204710274061055,6.8365656182612184
2017-06-15,6.45342128594408,6.840011086199327
2017-07-01,6.147875887665223,6.843478095859694
2017-07-15,6.134422813773812,6.7431674395719465
2017-08-01,6.132119925935866,6.736286600264148
2017-08-15,6.190270656514652,6.749113187969417
2017-09-01,6.1470593850057815,6.7532685252701015
2017-09-15,6.102659816379745,6.754905381700573
2017-10-01,6.017577582422973,6.595510587527346
2017-10-15,6.117761559315504,6.650166748137974
2017-11-01,6.161731236942874,6.6524549763061
2017-11-15,6.141852672078576,6.648651638628258
2017-12-01,6.099578010211682,6.528345797933935
2017-12-15,6.064110037108751,6.636578181832545
2018-01-01,6.0960416097452885,6.628342258436647
2018-01-15,6.127510807003157,6.628348607641472
2018-02-01,6.113822589139058,6.636180512206013
2018-02-15,6.097590690002236,6.569589269060722
2018-03-01,6.058697144701472,6.50303189297508
2018-03-15,6.0552807519531155,6.615640126785813
2018-04-01,6.014879331904102,6.610090623639443
2018-04-15,6.024254976030447,6.613575724719038
2018-05-01,5.993815904569477,6.806785562545887
2018-05-15,5.922066192350289,6.659581548406583
2018-06-01,5.812308424277783,6.5545392066411035
2018-06-15,5.79556381494509,6.498463287179254
2018-07-01,5.766355446013251,6.618380754663254
2018-07-15,5.521681839476173,6.618504785563357
2018-08-01,5.584806960274418,6.501122507056624
2018-08-15,5.547526173379695,6.493547689639602
2018-09-01,5.60538834682641,6.42328999752151
2018-09-15,5.545121156232126,6.358941162473165
2018-10-01,5.576720046521316,6.3615045979979525
2018-10-15,5.659015003414285,6.491724910671454
2018-11-01,5.671736839962841,6.479338798908584
2018-11-15,5.68742664239159,6.47479486927916
2018-12-01,5.682463601987474,6.473447727488291
2018-12-15,5.672569181922398,6.473614665735585
2019-01-01,5.689264296333812,6.4769465579129
2019-01-15,5.7503461054494425,6.343485674996416
2019-02-01,5.7572943533366505,6.352293961192174
2019-02-15,5.731631891282464,6.344612596914546
2019-03-01,5.702550838016614,6.338409233160421
2019-03-15,5.695814899390069,6.325922873666182
2019-04-01,5.731405027473356,6.456960017389824
2019-04-15,5.906407220006222,6.565177903191533
2019-05-01,5.976090159977027,6.676181733814932
2019-05-15,5.916645917103135,6.671186299369337
2019-06-01,5.855813308055905,6.669688502111016
2019-06-15,5.867530673925267,6.66017518008498
2019-07-01,,6.6766683126349715
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,6.740048158465007
2019-09-15,,6.73838948461852
2019-10-01,,6.735808059894862
2019-10-15,,6.720543114095185
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,6.606618978052101
2020-02-15,,6.600062322025979
