Date,Mbale,Kisumu
2016-01-01,5.380096300829159,5.663050592336632
2016-01-15,5.315108037028888,5.658422997047921
2016-02-01,5.24560092612969,5.603264899627125
2016-02-15,5.28347200357132,5.658435682791919
2016-03-01,5.291061483717872,5.649614801044308
2016-03-15,5.334696527843346,5.6453157285155475
2016-04-01,,5.644411917069104
2016-04-15,,5.661726557228723
2016-05-01,,5.662286980255242
2016-05-15,5.492372641406479,5.656204742720281
2016-06-01,5.5871529054176285,5.802409186260294
2016-06-15,5.55801951760426,5.798528843119516
2016-07-01,5.518558680276081,5.795368494635372
2016-07-15,5.458544154826388,5.792136561535243
2016-08-01,5.426834949349819,5.791749730263689
2016-08-15,5.404544618028637,5.790034499001399
2016-09-01,5.454821743197266,5.79116715685274
2016-09-15,5.529090150862232,5.788058315131654
2016-10-01,5.532587026491551,5.784959108361613
2016-10-15,5.554161960903257,5.779982896630039
2016-11-01,5.6617284787816615,5.77430474846033
2016-11-15,5.73312151298501,5.768359647969329
2016-12-01,5.757206829097955,5.763139938819203
2016-12-15,5.732843320098814,5.756721464185711
2017-01-01,5.704078414783624,5.747452117001923
2017-01-15,5.685238653062714,5.852975591899102
2017-02-01,5.687940930497865,5.852145456585041
2017-02-15,5.722318971851242,5.964318411082766
2017-03-01,5.874231226657774,6.070165435692222
2017-03-15,5.999119475863482,6.057741573514864
2017-04-01,5.996356259907167,6.045890772185865
2017-04-15,5.991297558814167,6.1341510512095425
2017-05-01,5.983435180334269,6.2214516905106825
2017-05-15,6.022404210803276,6.219830190693429
2017-06-01,5.938288464858283,6.230121695754557
2017-06-15,5.629472606775861,6.234106630229812
2017-07-01,5.373399411927151,6.236415078500186
2017-07-15,5.372561740665815,6.0489982865163086
2017-08-01,5.368581761113166,5.938092164952554
2017-08-15,5.526976439104388,5.832822456095262
2017-09-01,5.567445339952891,5.838244418011139
2017-09-15,5.467556005469715,5.838868489147492
2017-10-01,5.294200015198664,5.789942314452403
2017-10-15,5.399799209635835,5.838103387324477
2017-11-01,5.221686419060612,5.7086395710418545
2017-11-15,5.151747804826485,5.705968095397696
2017-12-01,5.147636934939538,5.700392527317466
2017-12-15,5.1529607047350146,5.690898990958889
2018-01-01,5.138928883350879,5.68728780791741
2018-01-15,5.149262200584922,5.595333601459176
2018-02-01,5.149232731651864,5.691082366106241
2018-02-15,5.144268082780344,5.6812723892289725
2018-03-01,5.139302426889725,5.7570714098044515
2018-03-15,5.132759470328324,5.67054198068604
2018-04-01,5.126191201696839,5.748978841888254
2018-04-15,5.123795709372973,5.670452751457429
2018-05-01,5.039616508713424,5.741984323720734
2018-05-15,5.106418986255821,5.575087141284258
2018-06-01,5.088471710456624,5.54308517019238
2018-06-15,5.072644476051474,5.516384814767096
2018-07-01,5.067713746135665,5.51754129358232
2018-07-15,4.852632210495289,5.521002374922609
2018-08-01,4.576458083982315,5.339466838321893
2018-08-15,4.603064564538843,5.330396879833921
2018-09-01,4.637137876021543,5.507666154635059
2018-09-15,4.630512510540956,5.44265043059901
2018-10-01,4.562665145881269,5.512297429154828
2018-10-15,4.74422916271955,5.513197636284299
2018-11-01,4.752465479950549,5.5107485676315795
2018-11-15,4.943140500340458,5.527413550334973
2018-12-01,4.944059829839408,5.4941026261324355
2018-12-15,4.949208222765956,5.5611286309050945
2019-01-01,5.127453117834954,5.65008736520297
2019-01-15,5.131306897043219,5.493305968234323
2019-02-01,5.135136234020068,5.437422675972245
2019-02-15,5.279048860197229,5.427966688336249
2019-03-01,5.289896626335981,5.422118501286266
2019-03-15,5.286030130137388,5.476715704823058
2019-04-01,5.27784012457078,5.476130764378098
2019-04-15,5.61253317730652,5.620836033319873
2019-05-01,5.609203151428446,5.878614745410771
2019-05-15,5.6081538451375605,5.874398484848228
2019-06-01,,5.872401062298474
2019-06-15,,5.743380796726998
2019-07-01,,5.841434452492073
2019-07-15,,5.930726323901292
2019-08-01,,5.864716772249512
2019-08-15,,
2019-09-01,,5.717985684444245
2019-09-15,,5.718253174917198
2019-10-01,,5.714671083395043
2019-10-15,,5.740418591141374
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,5.904179009916696
2020-02-15,,5.896530832160317
