Date,Kigali,Ngozi
2016-01-01,6.846945219870934,6.86381684883164
2016-01-15,6.842570399600188,6.797188170491792
2016-02-01,6.8437122584612915,6.84643618772067
2016-02-15,6.8007769508038365,6.846212776052781
2016-03-01,6.820810357484784,6.833407916560032
2016-03-15,6.82736972891808,6.836865783677958
2016-04-01,6.814019102862512,6.836380567541525
2016-04-15,6.826507321767071,6.782985177566352
2016-05-01,6.84191811374304,6.702189999306349
2016-05-15,6.8202575541329695,6.692368099492527
2016-06-01,6.833728877493803,6.685568171931773
2016-06-15,6.800279744726102,6.619871606758764
2016-07-01,6.793554642890417,6.679827536675793
2016-07-15,6.7719535922922365,6.684206412398392
2016-08-01,6.758000564266977,6.682710315384156
2016-08-15,6.7212658919704715,6.734557135541145
2016-09-01,6.703479117785936,6.7082937073360505
2016-09-15,6.785334422519099,6.6789081743070815
2016-10-01,6.755766141787966,6.682205652188828
2016-10-15,6.7172483028013215,6.738949183236975
2016-11-01,6.664910991817286,6.723537991406674
2016-11-15,6.707201397306945,6.710702043271596
2016-12-01,6.697095349804479,6.760664027159924
2016-12-15,6.733867281623032,6.806036926717879
2017-01-01,6.700814450558537,6.797299950721675
2017-01-15,6.689723586846337,6.763044091291506
2017-02-01,6.6743567134837765,6.84046930029012
2017-02-15,6.665923941155781,6.881489888923772
2017-03-01,6.672779681960333,6.898158235476392
2017-03-15,6.655045597540877,6.822056771731066
2017-04-01,6.71684369048589,6.824953573129102
2017-04-15,6.708700849526039,6.820402653013379
2017-05-01,6.729047404872518,6.819595756887571
2017-05-15,6.740156270879217,6.827985957630916
2017-06-01,6.736950255393017,6.715064557494847
2017-06-15,6.762441001500652,6.824576372000877
2017-07-01,6.738670896924738,6.7731000240376895
2017-07-15,6.740386751634418,6.769032858936583
2017-08-01,6.73126419226331,6.764496397229259
2017-08-15,6.726288454889494,6.752768872199904
2017-09-01,6.717691219819535,6.7904640276171575
2017-09-15,6.710844944243903,6.784953236328513
2017-10-01,6.700960386272553,6.776310739594655
2017-10-15,6.708831039316058,6.824876602470307
2017-11-01,6.711642296569674,6.825085429349514
2017-11-15,6.729792304244028,6.832341119888101
2017-12-01,6.733138989151593,6.7834666575443014
2017-12-15,6.746142628820267,6.789052189203087
2018-01-01,6.793398039925528,6.794679448644459
2018-01-15,6.733451860868217,6.798188222500705
2018-02-01,6.753683690801384,6.8007898109193645
2018-02-15,6.717750303619431,6.803916369368824
2018-03-01,6.735917475924561,6.805668604775688
2018-03-15,6.703561440821989,6.802573313056469
2018-04-01,6.689987454735453,6.799027696770069
2018-04-15,6.665763286031526,6.795512756341946
2018-05-01,6.6779209718187635,6.738147321560794
2018-05-15,6.684282006142507,6.74199526031117
2018-06-01,6.678394254959284,6.690879228820682
2018-06-15,6.693929633217189,6.695745420288031
2018-07-01,6.697714440667791,6.758535809247158
2018-07-15,6.69238226240041,6.7639346701980045
2018-08-01,6.686515476616472,6.708430085249448
2018-08-15,6.683849687622107,6.655333355220599
2018-09-01,6.679018664498173,6.6650053011353725
2018-09-15,6.687468087052061,6.6027541132215966
2018-10-01,6.692713863657936,6.611459209890555
2018-10-15,6.692168888666519,6.601327296532839
2018-11-01,6.6905378374704165,6.723268116769353
2018-11-15,6.69153143983644,6.663548882067731
2018-12-01,6.699595868752542,6.664098181724499
2018-12-15,6.695801192539341,6.658418422669185
2019-01-01,6.693082555814008,6.708937864442698
2019-01-15,6.693099850728996,6.714995018022411
2019-02-01,6.692571462208575,6.72055704379279
2019-02-15,6.680529095912827,6.713244325392688
2019-03-01,6.667509450724559,6.6959395101124795
2019-03-15,6.654462786874487,6.686550347102294
2019-04-01,6.646914586295526,6.674019411427988
2019-04-15,6.641623438772466,6.6717737344904435
2019-05-01,6.629659486627841,6.6114345607170115
2019-05-15,6.630052596320832,6.622240862457765
2019-06-01,6.628206218016323,6.571243132766146
2019-06-15,6.62539853644093,6.62886885654007
2019-07-01,6.638285027847643,6.593369313372226
2019-07-15,,6.59161724615024
2019-08-01,6.663570276675353,6.589862103800083
2019-08-15,6.654302151366751,6.608412414978601
2019-09-01,6.640288078433971,6.634789292241042
2019-09-15,6.632482985797308,6.657749342898131
2019-10-01,6.623647077140293,6.657220032320602
2019-10-15,6.602632666494492,6.648804509550161
2019-11-01,6.577633782360149,6.640378009732886
2019-11-15,6.5815348357162815,6.632664717216682
2019-12-01,6.5973111441995576,6.624993870421932
2019-12-15,6.576537734978925,6.619323188625813
2020-01-01,6.581270989480428,6.608228931323102
2020-01-15,6.569050750613709,6.601761996868704
2020-02-01,6.564022491575047,6.707511931543863
2020-02-15,6.560668443687492,6.742250094624773
