Date,Arusha,Mombasa
2016-01-01,5.3161332504449055,5.663050592336632
2016-01-15,5.313708138404248,5.665145711442798
2016-02-01,5.30891085511358,5.672257771114077
2016-02-15,5.731657082610951,5.651678900329039
2016-03-01,5.7245594047698205,5.616937775018008
2016-03-15,5.721962954176504,5.559612094317776
2016-04-01,5.617142605034944,5.508948156693528
2016-04-15,5.400440642658901,5.6263395456444005
2016-05-01,5.399964071637734,5.628726783762941
2016-05-15,5.39768511652383,5.623469969304146
2016-06-01,5.296231023149782,5.648495052856374
2016-06-15,5.291335463523213,5.645324684896288
2016-07-01,5.395121450512922,5.642164336412144
2016-07-15,5.3918837370684916,5.701232614430102
2016-08-01,5.357856917668446,5.7330818821748855
2016-08-15,5.39836341672408,5.75819389314574
2016-09-01,5.403761418458451,5.732670950171132
2016-09-15,5.43679595632625,5.6348541569084265
2016-10-01,5.44444472114339,5.726462901680004
2016-10-15,5.534579538846854,5.720646562679751
2016-11-01,5.649944168589701,5.715593832472825
2016-11-15,5.75282669928617,5.709519147946396
2016-12-01,5.794338779709701,5.7042127310879
2016-12-15,5.827777437084094,5.698466882606674
2017-01-01,5.869704669993074,5.828932639445087
2017-01-15,5.930973454855508,5.8083487644079135
2017-02-01,5.986426665467563,5.798502773635724
2017-02-15,6.031250271040776,5.894760727380856
2017-03-01,,5.893770863952085
2017-03-15,6.11528598802862,5.931263106852228
2017-04-01,6.111559480006191,6.044876058755317
2017-04-15,6.268523178429757,6.040135130622588
2017-05-01,6.261541545051247,6.08743755590237
2017-05-15,6.1877713548258875,6.156595783368672
2017-06-01,6.183889545754441,6.106228931967803
2017-06-15,6.006220888349961,6.10914137552613
2017-07-01,5.7846371836482176,6.0124208253056635
2017-07-15,5.497595701740491,6.0093684917455406
2017-08-01,5.514044262101511,5.798358695976124
2017-08-15,5.499299789558962,5.8025463916065
2017-09-01,5.4992076023025565,5.731476442585433
2017-09-15,5.412854321800954,5.615090218675191
2017-10-01,5.408898442850501,5.585998293645282
2017-10-15,,5.647585063326344
2017-11-01,,5.648741429460785
2017-11-15,,5.643752455676265
2017-12-01,,5.546241847490208
2017-12-15,,5.569821059405653
2018-01-01,,5.594161829927926
2018-01-15,5.380760254795821,5.625046498777687
2018-02-01,5.54110921613512,5.6259706148010675
2018-02-15,5.53579587677543,5.562411186352244
2018-03-01,5.4499121698897035,5.488603902297297
2018-03-15,5.259386746576515,5.481896746596045
2018-04-01,5.257175820927511,5.478688512148342
2018-04-15,5.25021947087972,5.442339363857878
2018-05-01,5.3430828702914175,5.404987014890031
2018-05-15,5.34498329758997,5.476969285325734
2018-06-01,5.391339105961063,5.51190955272393
2018-06-15,5.253218435175246,5.516384814767096
2018-07-01,5.031718853651894,5.451887323360883
2018-07-15,4.900092483650358,5.452128345910097
2018-08-01,4.902001142312378,5.298810832680764
2018-08-15,4.901519197262282,5.247015270894869
2018-09-01,4.739282205158855,5.197511226331219
2018-09-15,4.9023315780284715,5.288499750771752
2018-10-01,4.969585316326035,5.110171222312179
2018-10-15,5.029941707869589,5.106058887618105
2018-11-01,5.028424999593834,5.198150143915265
2018-11-15,5.025798518342362,5.274217653954362
2018-12-01,5.136507602734529,5.348390814951041
2018-12-15,5.188366307921746,5.3505638617977445
2019-01-01,5.218885617578165,5.352724675040466
2019-01-15,5.184950383554069,5.352533414353242
2019-02-01,5.114944618859133,5.360036012356825
2019-02-15,5.1628664932766215,5.313287179888288
2019-03-01,5.1313885312131235,5.344731837670846
2019-03-15,5.128853674501414,5.336953762447899
2019-04-01,5.141140312830274,5.476130764378098
2019-04-15,5.2216896097719925,5.755085558829836
2019-05-01,5.240051789536639,5.807565399260921
2019-05-15,5.213997725698514,5.729077884469241
2019-06-01,5.3096563986669185,5.7270804619194875
2019-06-15,,5.743380796726998
2019-07-01,,5.771672679766035
2019-07-15,,5.7694321342994135
2019-08-01,,5.747388497238671
2019-08-15,5.685438107137704,5.746629404694002
2019-09-01,5.746956373572211,5.743367757715662
2019-09-15,5.686171358715641,5.743795460590952
2019-10-01,5.807795590512352,5.74005315666646
2019-10-15,5.688434236107429,5.7270849619597355
2019-11-01,5.8231600757326785,
2019-11-15,5.766461912362339,
2019-12-01,5.777758201997086,
2019-12-15,5.792303295626933,
2020-01-01,5.871977938997037,
2020-01-15,5.808464115211822,5.645532246460546
2020-02-01,6.042551197210232,5.592702952799393
2020-02-15,5.823283862802259,5.6137081930822825
