Date,Masindi,Owino
2016-01-01,6.465225239159982,6.425219904546283
2016-01-15,6.455271570344619,6.55895576741423
2016-02-01,6.458589092132568,6.502364627366297
2016-02-15,6.494510253296489,6.494874353063846
2016-03-01,6.679165800083002,6.618277430407989
2016-03-15,6.682867262137889,6.605846195190644
2016-04-01,6.6772433500105635,6.4525903644475
2016-04-15,6.702156046269874,6.552406136343881
2016-05-01,6.701163274258705,6.583306706487137
2016-05-15,6.692598276373965,6.615933575438553
2016-06-01,6.689336626453335,6.254477586647204
2016-06-15,6.497768002966438,6.477066337580395
2016-07-01,6.482272895773473,6.436759632406356
2016-07-15,6.506644149537146,6.394081671682812
2016-08-01,6.523013723867226,6.457941355652555
2016-08-15,6.523105074728996,6.541643195727906
2016-09-01,6.592809197100206,6.556107830249778
2016-09-15,6.588568383098891,6.589533478879123
2016-10-01,6.501129119006803,6.5743119407576085
2016-10-15,6.47904873424721,6.398114045424532
2016-11-01,6.279218116108922,6.273557312836522
2016-11-15,6.260940526838434,6.300161239991715
2016-12-01,6.420259995524769,6.461141600786897
2016-12-15,6.429318290751434,6.506716735358224
2017-01-01,6.422438596006495,6.503766816133705
2017-01-15,6.502437728059688,6.540788747110095
2017-02-01,6.576508348170308,6.538853054717605
2017-02-15,6.569405482771316,6.638017812616077
2017-03-01,6.5664279873774465,6.6359067418606585
2017-03-15,6.59449947292605,6.751808050114444
2017-04-01,6.590755438475138,6.750390632850896
2017-04-15,6.586698709388025,6.798991123381322
2017-05-01,6.5783167218983065,6.795426603304579
2017-05-15,6.586040415473112,6.477932645340147
2017-06-01,6.591907192610265,6.275183266455148
2017-06-15,6.4118164431456215,6.277598763045304
2017-07-01,6.41053682201548,6.37044067943786
2017-07-15,6.527440987522891,6.451455080544969
2017-08-01,6.525614734516767,6.447769105613445
2017-08-15,6.592977142183737,6.4454039239282785
2017-09-01,6.586298810232551,6.479296931875494
2017-09-15,6.5810939443545005,6.513422950125465
2017-10-01,6.259280911242251,6.491903206511004
2017-10-15,6.247240634735078,6.246809878751679
2017-11-01,6.099256312823137,6.200410091507986
2017-11-15,6.096423615231827,6.097921742852849
2017-12-01,6.0930990441139725,6.222810650635631
2017-12-15,6.201628316886867,6.341429322524985
2018-01-01,6.193168320476011,6.286661969353938
2018-01-15,6.534267070874941,6.293222309231491
2018-02-01,6.091974649613189,5.9749443426336715
2018-02-15,6.240293047883502,6.08959064733516
2018-03-01,6.285141029044338,6.09620787791807
2018-03-15,6.323362040091088,6.077799615488465
2018-04-01,6.314864314283129,6.2691793717656585
2018-04-15,6.312468821959264,6.065927672431015
2018-05-01,6.3868037865875475,6.00311230054583
2018-05-15,5.938402611669982,5.93608511352962
2018-06-01,5.629724020853323,5.737290303909339
2018-06-15,5.898120403270181,5.7954405532111
2018-07-01,5.892324066256074,5.85039437311795
2018-07-15,5.866086690823091,5.864851360215098
2018-08-01,5.869226387091382,5.869226387091382
2018-08-15,5.857681101683534,5.852730596523678
2018-09-01,5.901735302163914,6.023432237141434
2018-09-15,5.896394331465438,6.014703821464067
2018-10-01,5.902868399800893,6.020651435457276
2018-10-15,5.905969203422213,5.84284145138766
2018-11-01,6.029452908409985,5.847339446508051
2018-11-15,6.039693056045557,5.713477319591533
2018-12-01,6.042672118507518,5.85911523110557
2018-12-15,6.049863413063866,5.8667251963633555
2019-01-01,6.0437438497091085,6.040662183171701
2019-01-15,6.290943887549104,6.047597628917374
2019-02-01,6.2984456606870545,6.054468022470003
2019-02-15,6.379122069505015,6.251620427969974
2019-03-01,6.285230565550589,6.170044155741471
2019-03-15,6.280563749181227,6.235529533008196
2019-04-01,6.4334900468383385,6.274307334435037
2019-04-15,6.4627106498286615,6.389061966805516
2019-05-01,6.55582244461739,6.456945258824288
2019-05-15,6.559342516862992,6.452777907140362
2019-06-01,6.559849888415118,6.344497805944682
2019-06-15,6.445902339892784,6.3903324887379735
2019-07-01,6.418806060294423,
2019-07-15,,
2019-08-01,6.3623061357761745,
2019-08-15,6.360449731425417,
2019-09-01,6.361521890053232,
2019-09-15,6.362026681404687,
2019-10-01,6.43741658281623,
2019-10-15,6.353616121186233,
2019-11-01,6.349066028814024,
2019-11-15,6.351457298830538,
2019-12-01,6.349456966723921,
2019-12-15,6.353528086206698,
2020-01-01,6.348846549642128,
2020-01-15,6.35071278246319,
2020-02-01,6.388264206515881,
2020-02-15,6.389361321226222,
