Date,Mbale,Owino
2016-01-01,6.76639066194905,6.798784380987672
2016-01-15,6.734175636730581,6.780863139737147
2016-02-01,6.700888158736531,6.785863734730093
2016-02-15,6.696305919925822,6.782920392762594
2016-03-01,6.747314433444672,6.812433444848947
2016-03-15,6.749458388940976,6.81666122532976
2016-04-01,,6.781698478553577
2016-04-15,,6.804630896958932
2016-05-01,,6.865181079880216
2016-05-15,6.757988539003953,6.854761481672814
2016-06-01,6.762637890145943,6.731512427871016
2016-06-15,6.760519296438291,6.693065159941576
2016-07-01,6.746150910424898,6.711959545676619
2016-07-15,6.715923403879571,6.681962294716007
2016-08-01,6.676617289707049,6.676617289707049
2016-08-15,6.676364356488018,6.676958710145931
2016-09-01,6.6686852320788965,6.669579553199765
2016-09-15,6.697623385329846,6.73250569688453
2016-10-01,6.692853496253145,6.72413270251338
2016-10-15,6.735580153255599,6.767621992926765
2016-11-01,6.717010709988137,6.747918247451214
2016-11-15,6.650901448410633,6.616691967556228
2016-12-01,6.642807243899425,6.643105439816351
2016-12-15,6.648837711772252,6.71367257311054
2017-01-01,6.711791512623095,6.709005219374411
2017-01-15,6.710872678054119,6.675305847059376
2017-02-01,6.709960773684591,6.677944559785632
2017-02-15,6.791406974447403,6.688526311269359
2017-03-01,6.791408202813523,6.789634928124658
2017-03-15,6.867779438137442,6.836408044213878
2017-04-01,6.861353697393771,6.820345673666395
2017-04-15,6.85805959884089,6.830895669900067
2017-05-01,6.899838328598852,6.848876293235224
2017-05-15,6.907855494294352,6.854794478039374
2017-06-01,6.9176373326995755,6.798353170916925
2017-06-15,6.92138527452351,6.7891845540846925
2017-07-01,6.787544980142807,6.816866714907912
2017-07-15,6.787724085786558,6.844035257349273
2017-08-01,6.836934715764452,6.841756325876922
2017-08-15,6.836416705240865,6.836897821439705
2017-09-01,6.774140160250103,6.829654908914267
2017-09-15,6.772632156253379,6.853850366589606
2017-10-01,6.7690856058741335,6.849756700969181
2017-10-15,6.757807827177755,6.757807827177755
2017-11-01,6.733214621992752,6.76015492002685
2017-11-15,6.6702873847601545,6.791068923412794
2017-12-01,6.669712408417967,6.786246224673918
2017-12-15,6.673427278751277,6.79121031440766
2018-01-01,6.750447961988804,6.779138454451733
2018-01-15,6.813851933094103,6.7576686534123604
2018-02-01,6.812846378187989,6.757639184479301
2018-02-15,6.808507341074157,6.754222657587084
2018-03-01,6.803189271207565,6.747703532595385
2018-03-15,6.800368015617292,6.743758663329377
2018-04-01,6.867850748873399,6.86693289658317
2018-04-15,6.864537404259304,6.864996435711017
2018-05-01,6.8575456956748635,6.8575456956748635
2018-05-15,6.777732302408008,6.880288890733101
2018-06-01,6.754796997292776,6.836374624684397
2018-06-15,6.738691200772804,6.749535613786933
2018-07-01,6.710208041436984,6.7365115042288854
2018-07-15,6.711795988525156,6.713384551210295
2018-08-01,6.657572333049655,6.716524247478587
2018-08-15,6.669982120033642,6.703920200722496
2018-09-01,6.684830719386799,6.716058448687252
2018-09-15,6.622178441338406,6.709428704165631
2018-10-01,6.62735883092655,6.768858393200249
2018-10-15,6.630387026869979,6.797002457317225
2018-11-01,6.6356833059358165,6.800158323315804
2018-11-15,6.551343082166565,6.787015970707526
2018-12-01,6.553497742273509,6.789886520337739
2018-12-15,6.559872376923301,6.795680491078833
2019-01-01,6.708808061526229,6.788850769199765
2019-01-15,6.711231924548906,6.790506319036384
2019-02-01,6.71678028325294,6.56367290033826
2019-02-15,6.716636515704671,6.594939580727151
2019-03-01,6.73196556785697,6.6302377046216385
2019-03-15,6.782866365657102,6.641552832590525
2019-04-01,6.772208707220093,6.692003384699462
2019-04-15,6.766029614012011,6.765539538040429
2019-05-01,6.760818003799332,6.762291843417632
2019-05-15,6.761816639324294,6.76328975523027
2019-06-01,,6.763797126782395
2019-06-15,,6.7349348514424365
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
