Date,Kisumu,Owino
2016-01-01,6.57967627648322,6.549089386259068
2016-01-15,6.581771395589386,6.577317384946351
2016-02-01,6.51955563150128,6.518566601942577
2016-02-15,6.506454783744106,6.535536160018683
2016-03-01,6.49763756178946,6.677355844837763
2016-03-15,6.56211437540951,6.605846195190644
2016-04-01,6.559350383693245,6.540388189406946
2016-04-15,6.57669190786181,6.552406136343881
2016-05-01,6.579237560388245,6.591873480460989
2016-05-15,6.572330308188907,6.615933575438553
2016-06-01,6.49662038536361,6.449038453929686
2016-06-15,6.491676023679461,6.477066337580395
2016-07-01,6.487805195591718,6.437522699974859
2016-07-15,6.484214794906284,6.44215294216079
2016-08-01,6.411774645994671,6.436160547191164
2016-08-15,6.483181679561344,6.5423232365565624
2016-09-01,6.482892873065308,6.556107830249778
2016-09-15,6.480495016088001,6.589533478879123
2016-10-01,6.478106288921558,6.5743119407576085
2016-10-15,6.4731300771899845,6.398114045424532
2016-11-01,6.46673891651235,6.381882860752917
2016-11-15,6.462577683530768,6.43848880487973
2016-12-01,6.456287119379148,6.500073397992073
2016-12-15,6.4491520556788045,6.509105407369265
2017-01-01,6.570617331318143,6.6114883655834955
2017-01-15,6.670303782595091,6.61245173027075
2017-02-01,6.661800975369369,6.607299149439882
2017-02-15,6.657465591642711,6.749134376931457
2017-03-01,6.945634173046122,6.788620214694112
2017-03-15,6.932957498327916,6.867545437902375
2017-04-01,6.92013326781652,6.861353697393771
2017-04-15,6.91407831466765,6.856648166002482
2017-05-01,6.912485152253639,6.848876293235224
2017-05-15,6.918917142641159,6.515723917055652
2017-06-01,6.518227407272195,6.443179353104459
2017-06-15,6.521788702681593,6.369176518407709
2017-07-01,6.584721772768401,6.451225325979993
2017-07-15,6.51976849303224,6.491195409194483
2017-08-01,6.448006211627161,6.4869349505875125
2017-08-15,6.643188497402409,6.484474118132993
2017-09-01,6.6500181602159065,6.516910499473327
2017-09-15,6.653739042575744,6.618651356660965
2017-10-01,6.53518460689575,6.615360439861219
2017-10-15,6.650732839293766,6.39917401875369
2017-11-01,6.650189969675248,6.382430488835728
2017-11-15,6.400567709037957,6.299680577704196
2017-12-01,6.39645091808487,6.35930208488863
2017-12-15,6.5179429944415945,6.424592157534765
2018-01-01,6.478920614188919,6.413767803545446
2018-01-15,6.508444680415951,6.459265399242641
2018-02-01,6.518119041353622,6.460625784598636
2018-02-15,6.509924588244713,6.566099178177021
2018-03-01,6.50303189297508,6.602245940175688
2018-03-15,6.498831004249888,6.620500447784904
2018-04-01,6.492168534934097,6.734581445098495
2018-04-15,6.493583963703098,6.745720776779637
2018-05-01,6.490027226012597,6.722959450631854
2018-05-15,6.490754626020756,6.386170099468836
2018-06-01,6.358492872173264,6.1455842682179815
2018-06-15,6.36296813421643,6.172172096591272
2018-07-01,6.365316822954005,6.157100877128949
2018-07-15,6.329526296595157,6.153768763274872
2018-08-01,6.21427134449893,6.156908459543163
2018-08-15,6.205865617187821,6.140722794578813
2018-09-01,6.353534422212668,6.223818801333028
2018-09-15,6.204790482645907,6.216999989388145
2018-10-01,6.207115453879592,6.309119362566396
2018-10-15,6.208015661009062,6.223781017326023
2018-11-01,6.346716910666902,6.137826569887441
2018-11-15,6.341263476654637,6.1471133046663935
2018-12-01,6.339461562014965,6.148032634165344
2018-12-15,6.407295653220867,6.154407268815136
2019-01-01,6.343956828206739,6.2906039276406345
2019-01-15,6.342045789938428,6.373813365371398
2019-02-01,6.485114874213098,6.418604935085321
2019-02-15,6.344612596914546,6.455001152190991
2019-03-01,6.469188615525719,6.445987944428703
2019-03-15,6.45838072888218,6.546800532856458
2019-04-01,6.456960017389824,6.602490322579463
2019-04-15,6.449801859435565,6.626953374754281
2019-05-01,6.571208675610823,6.680488463777335
2019-05-15,6.5680998355525855,6.671897308154846
2019-06-01,6.564438980404133,6.492660443927318
2019-06-15,6.555150291213322,6.558265308079828
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
