Date,Kasese,Masindi
2016-01-01,5.348347602514579,5.275479556124178
2016-01-15,5.266285508327007,5.112551408384965
2016-02-01,5.195917505983043,5.193232940612374
2016-02-15,5.185958910135953,5.262470614036932
2016-03-01,5.221032879357389,5.291061483717872
2016-03-15,5.223111132440883,5.3013633293406315
2016-04-01,5.136295417425962,5.360002190382771
2016-04-15,5.567012749439217,5.384874158522637
2016-05-01,5.567228546636379,5.385272553728783
2016-05-15,5.527192406565706,5.488427863115462
2016-06-01,5.497373022466234,5.501279277433299
2016-06-15,5.490471258621478,5.500265656213766
2016-07-01,5.485513885498625,5.485513885498625
2016-07-15,5.429794741540402,5.4884566541889885
2016-08-01,5.3589575269467336,5.453558019490573
2016-08-15,5.397093811872772,5.35787309871949
2016-09-01,5.4159222635835285,5.351244553914868
2016-09-15,5.409913386757244,5.47078410184427
2016-10-01,5.408099538487851,5.462935610364402
2016-10-15,5.500594215194037,5.445999762404194
2016-11-01,5.526585482262797,5.546659148996874
2016-11-15,5.500995865354972,5.552289159742523
2016-12-01,5.546280461722336,5.544493151148241
2016-12-15,5.546067412955479,5.549632479119975
2017-01-01,5.54585440956873,5.54674686835175
2017-01-15,5.556347597857354,5.595701695395968
2017-02-01,,5.642371381028475
2017-02-15,,5.635845373847415
2017-03-01,5.587182265971364,5.675177687462979
2017-03-15,5.628726455502891,5.868849431235698
2017-04-01,5.476937271098081,5.897916187093915
2017-04-15,5.615586711787795,5.893859837756065
2017-05-01,5.785360236914406,5.886718728325191
2017-05-15,5.93045064721963,5.959743895809117
2017-06-01,5.869718158346983,6.00134660082542
2017-06-15,5.797147848052577,6.005981854153889
2017-07-01,5.798202139185474,5.535290529329386
2017-07-15,5.487085169245161,5.312198590938724
2017-08-01,5.4286507073063754,5.368581761113166
2017-08-15,5.423792202869158,5.368956130992608
2017-09-01,5.523922370018485,5.41895718941226
2017-09-15,5.61415947966159,5.3563303703594904
2017-10-01,5.699665123306827,5.294200015198664
2017-10-15,5.504657086429095,5.280381673081202
2017-11-01,5.509969272545783,5.1520064984226215
2017-11-15,5.509835631923639,5.074272492658195
2017-12-01,5.399951863554027,5.074221723464717
2017-12-15,4.997954958588023,5.078458177437094
2018-01-01,5.364153600868913,5.068819317163852
2018-01-15,5.398856937986302,5.074360892411804
2018-02-01,5.340960086732695,5.149232731651864
2018-02-15,5.2955299611516224,5.146848729373835
2018-03-01,,5.139302426889725
2018-03-15,,5.132759470328324
2018-04-01,,5.126191201696839
2018-04-15,,5.123795709372973
2018-05-01,5.031057255317754,5.116156585835759
2018-05-15,4.957573358658255,5.111724038485514
2018-06-01,4.92706805232435,5.093877129023532
2018-06-15,4.736172239430261,5.072644476051474
2018-07-01,4.733992542886342,5.067713746135665
2018-07-15,4.666220668449808,4.544330850840772
2018-08-01,4.4730797295284805,4.492688200916857
2018-08-15,4.502981105981861,4.478766847861266
2018-09-01,4.522474967701403,4.464766650080757
2018-09-15,4.523722180934396,4.491005807556552
2018-10-01,,4.516574038681002
2018-10-15,,4.641371777279842
2018-11-01,4.527454514461543,4.752465479950549
2018-11-15,4.651334710704814,4.760818943546503
2018-12-01,4.652254040203766,4.853675768371139
2018-12-15,4.683771759261495,4.86609331605545
2019-01-01,4.942049894503591,4.942049894503591
2019-01-15,5.057198924889497,4.946942438619464
2019-02-01,5.033716055574165,5.033716055574165
2019-02-15,5.031486781534874,5.23877496105929
2019-03-01,4.774732600971392,5.227376269354647
2019-03-15,4.711146870071177,5.223509773156054
2019-04-01,4.660042381252621,5.303592620673194
2019-04-15,5.081759205498516,5.5467516479293515
2019-05-01,5.377469152909199,5.564680694997345
2019-05-15,5.427699702518401,5.520292489346226
2019-06-01,5.52419544989949,5.4791271644977835
2019-06-15,5.549679171069438,5.539695727085255
2019-07-01,,5.4441263027399
2019-07-15,,
2019-08-01,,
2019-08-15,,5.086228299901257
2019-09-01,,5.075033286849828
2019-09-15,,5.223319935534699
2019-10-01,,5.393261828560937
2019-10-15,,5.387802892630971
2019-11-01,,5.481495533484364
2019-11-15,,5.527281855864189
2019-12-01,,5.531926066476241
2019-12-15,,5.534926599493717
2020-01-01,,5.613902240403721
2020-01-15,,5.133041133779092
2020-02-01,,5.207854515918085
2020-02-15,,5.269516812452338
