Date,Kisumu,Nakuru
2016-01-01,6.512857864329261,6.269643121194631
2016-01-15,6.512443571830001,6.271738240300797
2016-02-01,6.47761694228095,6.1775682141919575
2016-02-15,6.506454783744106,6.065022496009283
2016-03-01,6.496550014102062,6.163987426248881
2016-03-15,6.493097323341981,6.2555229799993395
2016-04-01,6.559350383693245,6.164652539769697
2016-04-15,6.508077896011896,6.266657541376189
2016-05-01,6.510998268439593,6.269322468996456
2016-05-15,6.503620562411661,6.260913208783499
2016-06-01,6.496974806774373,6.255232722228788
2016-06-15,6.492385998860153,6.338471865456233
2016-07-01,6.489935121849543,6.33448335957486
2016-07-15,6.485283742095189,6.408322700959061
2016-08-01,6.485608908005724,6.411774645994671
2016-08-15,6.483181679561344,6.346797217954415
2016-09-01,6.483248428624609,6.409113110531074
2016-09-15,6.480495016088001,6.406004268809988
2016-10-01,6.440475220703911,6.402905062039947
2016-10-15,6.319690382106504,6.39935031465575
2016-11-01,6.3144884747865815,6.225965838630675
2016-11-15,6.461863907626087,6.220344771712386
2016-12-01,6.456287119379148,6.45054822271013
2016-12-15,6.4491520556788045,6.4495104143997155
2017-01-01,7.057921482089496,6.439159412503881
2017-01-15,6.957985855046871,6.491377814802274
2017-02-01,6.86247167083152,6.48015945940407
2017-02-15,6.85787959382625,6.475256959020295
2017-03-01,6.945844058659234,6.492448857128271
2017-03-15,6.846520602884505,6.527492390219751
2017-04-01,6.834486422821635,6.513609846560578
2017-04-15,6.91407831466765,6.733790312209459
2017-05-01,6.9093061732068275,6.827280321601237
2017-05-15,6.832597727390591,6.832367126674707
2017-06-01,6.8365656182612184,6.51886252955458
2017-06-15,6.840011086199327,6.523060158669789
2017-07-01,6.843478095859694,6.523459192397635
2017-07-15,6.7431674395719465,6.51976849303224
2017-08-01,6.736286600264148,6.449373265838694
2017-08-15,6.749113187969417,6.588682253264534
2017-09-01,6.7532685252701015,6.647203635419596
2017-09-15,6.754905381700573,6.649234530454639
2017-10-01,6.595510587527346,6.530095537388278
2017-10-15,6.650166748137974,6.533480223211691
2017-11-01,6.6524549763061,6.651323114272416
2017-11-15,6.648651638628258,6.6509140830322275
2017-12-01,6.528345797933935,6.616683259191621
2017-12-15,6.636578181832545,6.636010161368536
2018-01-01,6.628342258436647,6.5428810290214185
2018-01-15,6.628348607641472,6.6260861632375025
2018-02-01,6.636180512206013,6.571196457534675
2018-02-15,6.569589269060722,6.5048931310893465
2018-03-01,6.50303189297508,6.47051388598808
2018-03-15,6.615640126785813,6.49820502613868
2018-04-01,6.610090623639443,6.427546572685042
2018-04-15,6.613575724719038,6.430702443773156
2018-05-01,6.806785562545887,6.457837637091864
2018-05-15,6.659581548406583,6.493245287333208
2018-06-01,6.5545392066411035,6.491488023834004
2018-06-15,6.498463287179254,6.465465369464242
2018-07-01,6.618380754663254,6.43717092672199
2018-07-15,6.618504785563357,6.436294272020863
2018-08-01,6.501122507056624,6.432990418353861
2018-08-15,6.493547689639602,6.429675613045191
2018-09-01,6.42328999752151,6.417267898358417
2018-09-15,6.358941162473165,6.41855687214752
2018-10-01,6.3615045979979525,6.4225499004819016
2018-10-15,6.491724910671454,6.42881924802643
2018-11-01,6.479338798908584,6.424351125843935
2018-11-15,6.47479486927916,6.411615967657628
2018-12-01,6.473447727488291,6.4090365056953
2018-12-15,6.473614665735585,6.431649536576872
2019-01-01,6.4769465579129,
2019-01-15,6.343485674996416,6.475397051066472
2019-02-01,6.352293961192174,6.418251928983971
2019-02-15,6.344612596914546,6.41322660876446
2019-03-01,6.338409233160421,6.407591212060947
2019-03-15,6.325922873666182,6.395011114949591
2019-04-01,6.456960017389824,6.3234286247653015
2019-04-15,6.565177903191533,6.313983213879818
2019-05-01,6.676181733814932,6.387003774771569
2019-05-15,6.671186299369337,6.383004351875905
2019-06-01,6.669688502111016,6.381673373869312
2019-06-15,6.66017518008498,6.366455302461724
2019-07-01,6.6766683126349715,6.351002057865671
2019-07-15,,6.252205775936364
2019-08-01,,6.282418809701479
2019-08-15,,6.319020384118148
2019-09-01,6.740048158465007,6.2794359986692605
2019-09-15,6.73838948461852,6.296659512544104
2019-10-01,6.735808059894862,6.274654045926108
2019-10-15,6.720543114095185,6.273126652807842
2019-11-01,,6.12692720928323
2019-11-15,,6.130131227149029
2019-12-01,,6.128281615454731
2019-12-15,,6.1304956853001045
2020-01-01,,6.126025836353637
2020-01-15,,6.127925118388319
2020-02-01,6.606618978052101,6.1264923411749175
2020-02-15,6.600062322025979,6.121759889965547
