Date,Lira,Owino
2016-01-01,6.73464196363447,6.798784380987672
2016-01-15,6.70138633216929,6.780863139737147
2016-02-01,6.66698660706085,6.785863734730093
2016-02-15,6.662404368250141,6.782920392762594
2016-03-01,6.712946789940466,6.812433444848947
2016-03-15,6.722118903507407,6.81666122532976
2016-04-01,,6.781698478553577
2016-04-15,,6.804630896958932
2016-05-01,,6.865181079880216
2016-05-15,6.757988539003953,6.854761481672814
2016-06-01,6.731512427871016,6.731512427871016
2016-06-15,6.728217653680537,6.693065159941576
2016-07-01,6.745590529351113,6.711959545676619
2016-07-15,6.715923403879571,6.681962294716007
2016-08-01,6.680787685980776,6.676617289707049
2016-08-15,6.67576964936374,6.676958710145931
2016-09-01,6.668386947214642,6.669579553199765
2016-09-15,6.697623385329846,6.73250569688453
2016-10-01,6.697464455431219,6.72413270251338
2016-10-15,6.704187440847737,6.767621992926765
2016-11-01,6.684248913678229,6.747918247451214
2016-11-15,6.581908576923682,6.616691967556228
2016-12-01,6.595790037382714,6.643105439816351
2016-12-15,6.61599849037687,6.71367257311054
2017-01-01,6.61271799992226,6.709005219374411
2017-01-15,6.61245173027075,6.675305847059376
2017-02-01,6.6115778845739985,6.677944559785632
2017-02-15,6.606746473179412,6.688526311269359
2017-03-01,6.634427232787701,6.789634928124658
2017-03-15,6.753383267032442,6.836408044213878
2017-04-01,6.779370668664623,6.820345673666395
2017-04-15,6.859938415739269,6.830895669900067
2017-05-01,6.968891150327122,6.848876293235224
2017-05-15,6.9091968761185525,6.854794478039374
2017-06-01,6.865173763163835,6.798353170916925
2017-06-15,6.921829028690987,6.7891845540846925
2017-07-01,6.8704788795157805,6.816866714907912
2017-07-15,6.87057709975935,6.844035257349273
2017-08-01,6.865286823287116,6.841756325876922
2017-08-15,6.809592370749438,6.836897821439705
2017-09-01,6.80253046041779,6.829654908914267
2017-09-15,6.800774717041625,6.853850366589606
2017-10-01,6.797284856062186,6.849756700969181
2017-10-15,6.78584228290417,6.757807827177755
2017-11-01,6.671429464873556,6.76015492002685
2017-11-15,6.67253710449417,6.791068923412794
2017-12-01,6.683936605849349,6.786246224673918
2017-12-15,6.732732116820645,6.79121031440766
2018-01-01,6.806045907371657,6.779138454451733
2018-01-15,6.729409316097958,6.7576686534123604
2018-02-01,6.728317712173915,6.757639184479301
2018-02-15,6.72380604951877,6.754222657587084
2018-03-01,6.718761759868983,6.747703532595385
2018-03-15,6.716345244014686,6.743758663329377
2018-04-01,6.789641222281523,6.86693289658317
2018-04-15,6.8136789870258125,6.864996435711017
2018-05-01,6.805475249509322,6.8575456956748635
2018-05-15,6.80437423335443,6.880288890733101
2018-06-01,6.7850564920558885,6.836374624684397
2018-06-15,6.710787310858822,6.749535613786933
2018-07-01,6.710208041436984,6.7365115042288854
2018-07-15,6.630692835365181,6.713384551210295
2018-08-01,6.627026971895464,6.716524247478587
2018-08-15,6.61767894313943,6.703920200722496
2018-09-01,6.6880513340868415,6.716058448687252
2018-09-15,6.707851002024013,6.709428704165631
2018-10-01,6.714846285049665,6.768858393200249
2018-10-15,6.71768342595075,6.797002457317225
2018-11-01,6.722600088969929,6.800158323315804
2018-11-15,6.6462036722139635,6.787015970707526
2018-12-01,6.649929627187033,6.789886520337739
2018-12-15,6.741989664489704,6.795680491078833
2019-01-01,6.7343236347638085,6.788850769199765
2019-01-15,6.736654824225794,6.790506319036384
2019-02-01,6.626156391639695,6.56367290033826
2019-02-15,6.561443626298969,6.594939580727151
2019-03-01,6.55066702905505,6.6302377046216385
2019-03-15,6.546800532856458,6.641552832590525
2019-04-01,6.6047997924281265,6.692003384699462
2019-04-15,6.685986906338474,6.765539538040429
2019-05-01,6.710404103204066,6.762291843417632
2019-05-15,6.709876556220062,6.76328975523027
2019-06-01,6.709348194898657,6.763797126782395
2019-06-15,6.7040999316654295,6.7349348514424365
2019-07-01,6.703069655055854,
2019-07-15,6.702038315881557,
2019-08-01,6.5465808181910115,
2019-08-15,6.542038955707696,
2019-09-01,6.508357248304117,
2019-09-15,6.541432784238517,
2019-10-01,6.470576119550112,
2019-10-15,6.466997095441979,
2019-11-01,6.462761753948969,
2019-11-15,6.463375215034524,
2019-12-01,6.497322270736219,
2019-12-15,6.6022514199205276,
2020-01-01,6.624948674662949,
2020-01-15,6.627770098437231,
2020-02-01,6.626717729801511,
2020-02-15,6.533861745221318,
