Date,Nakuru,Meru
2016-01-01,6.269643121194631,
2016-01-15,6.271738240300797,
2016-02-01,6.1775682141919575,
2016-02-15,6.065022496009283,
2016-03-01,6.163987426248881,
2016-03-15,6.2555229799993395,
2016-04-01,6.164652539769697,
2016-04-15,6.266657541376189,
2016-05-01,6.269322468996456,
2016-05-15,6.260913208783499,
2016-06-01,6.255232722228788,
2016-06-15,6.338471865456233,
2016-07-01,6.33448335957486,
2016-07-15,6.408322700959061,
2016-08-01,6.411774645994671,
2016-08-15,6.346797217954415,
2016-09-01,6.409113110531074,
2016-09-15,6.406004268809988,
2016-10-01,6.402905062039947,
2016-10-15,6.39935031465575,
2016-11-01,6.225965838630675,
2016-11-15,6.220344771712386,
2016-12-01,6.45054822271013,
2016-12-15,6.4495104143997155,
2017-01-01,6.439159412503881,
2017-01-15,6.491377814802274,
2017-02-01,6.48015945940407,
2017-02-15,6.475256959020295,
2017-03-01,6.492448857128271,
2017-03-15,6.527492390219751,
2017-04-01,6.513609846560578,
2017-04-15,6.733790312209459,
2017-05-01,6.827280321601237,
2017-05-15,6.832367126674707,6.480884268271894
2017-06-01,6.51886252955458,6.493788892002464
2017-06-15,6.523060158669789,6.493399699418907
2017-07-01,6.523459192397635,6.422132224295279
2017-07-15,6.51976849303224,6.386054635303662
2017-08-01,6.449373265838694,6.380819408041386
2017-08-15,6.588682253264534,6.46176946774553
2017-09-01,6.647203635419596,6.466008839308232
2017-09-15,6.649234530454639,6.4678155007977605
2017-10-01,6.530095537388278,6.433061934567777
2017-10-15,6.533480223211691,6.450250769692778
2017-11-01,6.651323114272416,6.467868412881293
2017-11-15,6.6509140830322275,6.467235673926983
2017-12-01,6.616683259191621,6.461171108766042
2017-12-15,6.636010161368536,6.45425662503859
2018-01-01,6.5428810290214185,6.511412101296781
2018-01-15,6.6260861632375025,6.305790419554213
2018-02-01,6.571196457534675,6.303709170008167
2018-02-15,6.5048931310893465,6.375855320215022
2018-03-01,6.47051388598808,6.369679727880385
2018-03-15,6.49820502613868,6.3644052371806294
2018-04-01,6.427546572685042,6.358458331401633
2018-04-15,6.430702443773156,6.388776086909848
2018-05-01,6.457837637091864,6.38397634097975
2018-05-15,6.493245287333208,6.385671157047068
2018-06-01,6.491488023834004,6.388072493507305
2018-06-15,6.465465369464242,6.391853552120995
2018-07-01,6.43717092672199,6.39495907791268
2018-07-15,6.436294272020863,6.367348986724408
2018-08-01,6.432990418353861,6.325759228834837
2018-08-15,6.429675613045191,6.35930175607721
2018-09-01,6.417267898358417,6.31116139236387
2018-09-15,6.41855687214752,6.356079930192133
2018-10-01,6.4225499004819016,6.360072958526515
2018-10-15,6.42881924802643,6.317042236430258
2018-11-01,6.424351125843935,6.311937230602609
2018-11-15,6.411615967657628,6.341992074136778
2018-12-01,6.4090365056953,6.339461562014965
2018-12-15,6.431649536576872,6.36924194385031
2019-01-01,,6.334911703363676
2019-01-15,6.475397051066472,6.299360870087479
2019-02-01,6.418251928983971,6.376847983248057
2019-02-15,6.41322660876446,6.344612596914546
2019-03-01,6.407591212060947,6.294924121220682
2019-03-15,6.395011114949591,6.352741700480596
2019-04-01,6.3234286247653015,6.35090481604932
2019-04-15,6.313983213879818,6.345103122593622
2019-05-01,6.387003774771569,6.387003774771569
2019-05-15,6.383004351875905,6.372280388512929
2019-06-01,6.381673373869312,6.3796727063130145
2019-06-15,6.366455302461724,6.3714855508729
2019-07-01,6.351002057865671,6.3437086148384925
2019-07-15,6.252205775936364,6.315138022811624
2019-08-01,6.282418809701479,6.299618097727204
2019-08-15,6.319020384118148,6.283853502314525
2019-09-01,6.2794359986692605,6.222506821957268
2019-09-15,6.296659512544104,6.157149337034159
2019-10-01,6.274654045926108,5.93730036367709
2019-10-15,6.273126652807842,5.9394364664472175
2019-11-01,6.12692720928323,5.937473681352004
2019-11-15,6.130131227149029,5.9521698986280525
2019-12-01,6.128281615454731,5.940576465577304
2019-12-15,6.1304956853001045,5.727947853693069
2020-01-01,6.126025836353637,
2020-01-15,6.127925118388319,
2020-02-01,6.1264923411749175,
2020-02-15,6.121759889965547,
