Date,Mbale,Busia
2016-01-01,,5.979717423378281
2016-01-15,,6.008222853056385
2016-02-01,,6.030108008323483
2016-02-15,,6.02202722367026
2016-03-01,,6.076439888493851
2016-03-15,,6.091773815325784
2016-04-01,,6.091806862453398
2016-04-15,,6.173231723467434
2016-05-01,,6.200579144544911
2016-05-15,6.125694585280951,6.128824478289879
2016-06-01,6.097763169405871,6.145411064028589
2016-06-15,6.069029117085975,6.16172701769957
2016-07-01,6.149586336358325,6.029193081171234
2016-07-15,5.990600297611413,6.038767426445918
2016-08-01,6.052661965810316,6.047635426324382
2016-08-15,6.090790989056548,6.064265506029456
2016-09-01,,6.143944773457486
2016-09-15,6.1629465457416766,6.202546118531996
2016-10-01,6.1590428325528235,6.180486149306463
2016-10-15,6.076076948891097,6.1277195972409695
2016-11-01,6.075212876056446,6.072012873325774
2016-11-15,6.151910282291645,6.053064447655013
2016-12-01,6.183377283779265,6.040541068613632
2016-12-15,,6.04250429926937
2017-01-01,,6.039025098096
2017-01-15,,6.06590802390268
2017-02-01,,6.063785790544317
2017-02-15,6.327378349052819,6.100676423779259
2017-03-01,6.325294744437323,6.1362544186927925
2017-03-15,6.321873636062836,6.164756795236539
2017-04-01,6.313997973116691,6.2114316365718665
2017-04-15,6.313607988105986,6.197920491212758
2017-05-01,6.4301943469023986,
2017-05-15,6.436508681502148,6.170337898271727
2017-06-01,6.2258225973734085,6.01459182757544
2017-06-15,6.22956876614927,5.852293004104387
2017-07-01,6.2275476341741385,5.850179194283425
2017-07-15,5.941103502770316,5.909813344777106
2017-08-01,5.936110990867579,5.9126371474713375
2017-08-15,5.933629195808209,5.93184719355464
2017-09-01,5.928200534367122,5.877032247792721
2017-09-15,5.989968378186867,5.797562702326286
2017-10-01,5.985112557957192,5.822725216064055
2017-10-15,5.974660715674831,5.758281564449163
2017-11-01,5.914833599620557,5.730587114417018
2017-11-15,5.915600186058894,5.67509115495089
2017-12-01,6.198809498536087,5.719617573288181
2017-12-15,6.201628316886867,
2018-01-01,6.191351789549613,
2018-01-15,5.912089301782857,5.842409381144868
2018-02-01,5.909653092819234,5.844953916206982
2018-02-15,5.906063544885857,5.891374481824263
2018-03-01,5.900059830945873,5.935735433566636
2018-03-15,5.896287447650069,5.9540524735802
2018-04-01,5.8876329296930106,6.074426947692899
2018-04-15,5.882789455730505,6.072031455369033
2018-05-01,5.875485673277005,6.065576641469793
2018-05-15,6.155975117934736,6.110252868596641
2018-06-01,6.139918530682304,6.04469993356747
2018-06-15,6.347915185539579,5.97454647047353
2018-07-01,6.340348788783034,5.925581288012556
2018-07-15,5.9568974254661855,5.922490361754386
2018-08-01,5.869226387091382,5.914221256944892
2018-08-15,5.852730596523678,5.9058832035014115
2018-09-01,5.838607550129361,5.969943552190448
2018-09-15,6.015755899414871,6.0168068716608465
2018-10-01,6.020651435457276,6.020651435457276
2018-10-15,6.023490766989252,6.084361482076278
2018-11-01,6.029452908409985,6.094901525170407
2018-11-15,6.145259736017071,6.113211752990712
2018-12-01,6.148032634165344,6.102570260088587
2018-12-15,6.154407268815136,6.118856284550818
2019-01-01,6.147872838117689,6.17522185352179
2019-01-15,6.152141484668644,6.250121893028848
2019-02-01,6.158207792230096,6.289684155018482
2019-02-15,6.155978518190804,6.309607685620324
2019-03-01,6.144588235748122,6.3144009428503685
2019-03-15,6.14072173954953,6.289332239001173
2019-04-01,6.133180094494065,6.450456860365343
2019-04-15,6.346750768733793,6.446663549166113
2019-05-01,6.34869360360119,6.442855793948987
2019-05-15,6.343990434392556,
2019-06-01,,
2019-06-15,,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
