Date,Nairobi,Kampala
2016-01-01,5.727903134516193,5.3845506511785395
2016-01-15,5.702948076089333,5.1937148154921715
2016-02-01,5.705047593937068,5.307425308138028
2016-02-15,5.691551291576417,5.356531574440825
2016-03-01,5.681257740805567,5.425347422518691
2016-03-15,5.677805050045487,5.413154735328748
2016-04-01,5.676002241356694,5.448326518888029
2016-04-15,5.694302727663336,5.509585207304187
2016-05-01,5.691557362555356,5.477387842636589
2016-05-15,5.689500550827232,5.514758004367279
2016-06-01,5.684271226021658,5.606639793091126
2016-06-15,5.7094492130658265,5.606502980345127
2016-07-01,5.7062888645816825,5.518558680276081
2016-07-15,5.702791461199394,5.4923782278421704
2016-08-01,5.702404629927838,5.457606608016572
2016-08-15,5.636358540284409,5.4244927860608865
2016-09-01,5.636305997421883,5.470758335460079
2016-09-15,5.634025999511198,5.627181973628433
2016-10-01,5.631754950138386,5.554465747867358
2016-10-15,5.691548031855556,5.605005513884532
2016-11-01,5.684113305838485,5.694206580903874
2016-11-15,5.678747489279642,5.758867694182038
2016-12-01,5.673393650962927,5.823641598941343
2016-12-15,5.666840644768128,5.769210964269688
2017-01-01,5.6555892258743565,5.587818608667763
2017-01-15,5.637504712496552,5.7164555007664255
2017-02-01,5.756644175719524,5.687172586241856
2017-02-15,5.918685313466101,5.682328731918932
2017-03-01,5.965644198304391,5.8162156113416374
2017-03-15,5.952268704618338,5.970263159670798
2017-04-01,5.9389513681883095,5.950101940264485
2017-04-15,5.935226184175415,5.959476692203088
2017-05-01,6.037439516238821,5.967570824954286
2017-05-15,6.043448405287259,6.011498977321014
2017-06-01,6.0484778753471,6.04907800364661
2017-06-15,6.147326547331649,6.40700251050163
2017-07-01,6.09409885631993,5.343673231661951
2017-07-15,6.0093684917455406,5.372561740665815
2017-08-01,6.045955241352255,5.366831366827636
2017-08-15,5.951169348546963,5.423792202869158
2017-09-01,5.957432935276257,5.621333221193991
2017-09-15,5.838868489147492,5.489861762984013
2017-10-01,5.789942314452403,5.340009551229958
2017-10-15,5.78841996717783,5.281513535114885
2017-11-01,5.839259753458919,5.20226833320351
2017-11-15,5.837862975246761,5.218853721469302
2017-12-01,5.833923919941989,5.1489231087502825
2017-12-15,5.874681468392518,5.222295398136079
2018-01-01,5.818264920736835,5.209309680112678
2018-01-15,5.830468460863813,5.112512658376181
2018-02-01,5.722114475353969,5.117816535418485
2018-02-15,5.735793228107389,5.272618116662868
2018-03-01,5.618234964950236,5.15217261741026
2018-03-15,5.6110414513169395,5.059852699520237
2018-04-01,,5.1672225983747015
2018-04-15,,5.123795709372973
2018-05-01,5.5891451194912865,5.039616508713424
2018-05-15,5.60878098707073,5.111724038485514
2018-06-01,5.576448073861501,5.112569262035685
2018-06-15,5.593345855903224,5.115661861135165
2018-07-01,5.569670359017267,5.108205107490402
2018-07-15,5.4888778881188385,4.615789814822916
2018-08-01,5.459460796833347,4.549307094916364
2018-08-15,5.436557075662312,4.653708297357598
2018-09-01,5.438673283148107,4.594578261602748
2018-09-15,5.284324379361271,4.56091921874176
2018-10-01,5.214531237636422,4.615308879366691
2018-10-15,5.210916764411365,4.802639924875964
2018-11-01,5.207282627478537,4.9483758808064
2018-11-15,5.303447292269301,5.037327715400159
2018-12-01,5.191622332581704,5.05496052587285
2018-12-15,5.3583460022397995,5.014513321173723
2019-01-01,5.371993093906342,5.096200574330849
2019-01-15,5.416344927098195,5.15898161919944
2019-02-01,5.4267273868554975,5.10420593332871
2019-02-15,5.37882122126736,5.326166783174299
2019-03-01,5.301672348210398,5.311310720839797
2019-03-15,5.400289637619711,5.1011077916433765
2019-04-01,5.407137892891147,5.369189903159008
2019-04-15,5.570751928922461,5.615633954984768
2019-05-01,5.57607355855524,5.607646730880788
2019-05-15,5.5830140756979105,5.523688078347364
2019-06-01,5.7321955625862575,5.54764711093454
2019-06-15,5.730706355830271,5.629212324591822
2019-07-01,5.8170807193050305,5.584291539316778
2019-07-15,5.845985095446202,5.476083391530559
2019-08-01,5.752997736003181,5.35472937439742
2019-08-15,5.746629404694002,5.320824344947255
2019-09-01,5.813529536407596,5.2944760673529565
2019-09-15,5.813816010033001,5.39421279650503
2019-10-01,5.74005315666646,5.459953203059609
2019-10-15,5.759364169368541,5.52756483500613
2019-11-01,5.7214621011750655,5.529286197320713
2019-11-15,5.722984032857879,5.576072020033621
2019-12-01,5.713122016246839,5.656309786163976
2019-12-15,5.626878299010426,5.667632569042072
2020-01-01,5.645938088041276,5.698624413799216
2020-01-15,5.631963517254477,5.357169421755842
2020-02-01,5.642436958473532,5.383303193424278
2020-02-15,5.6137081930822825,5.327866695514615
