Date,Rubavu,Bujumbura
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,6.2113246611455635
2016-03-01,,6.2039673799017425
2016-03-15,,
2016-04-01,6.3505274176451865,
2016-04-15,6.338831556071906,
2016-05-01,,
2016-05-15,,
2016-06-01,,
2016-06-15,,
2016-07-01,,
2016-07-15,,
2016-08-01,,
2016-08-15,,
2016-09-01,,
2016-09-15,,
2016-10-01,6.200247670724247,
2016-10-15,6.197517900692371,
2016-11-01,6.2428073674973135,
2016-11-15,,
2016-12-01,,
2016-12-15,,
2017-01-01,6.405875452209969,
2017-01-15,6.183324147985908,
2017-02-01,6.16444142205193,
2017-02-15,6.091685186075201,
2017-03-01,6.152535404976829,
2017-03-15,6.151329656443653,
2017-04-01,6.151035932302546,
2017-04-15,6.151557894242654,
2017-05-01,6.25945436893988,
2017-05-15,6.317447137489437,
2017-06-01,6.319186461615421,
2017-06-15,6.266469806298685,
2017-07-01,6.248852313650454,
2017-07-15,6.266439758253793,
2017-08-01,6.341444331428538,
2017-08-15,6.2895708032772255,
2017-09-01,6.343557628562012,
2017-09-15,6.353729891737955,
2017-10-01,6.320916067457662,
2017-10-15,6.288605033587297,
2017-11-01,6.2310789071089365,
2017-11-15,6.261869841202117,
2017-12-01,6.445019949246934,
2017-12-15,6.395071592777901,
2018-01-01,6.44550278363884,
2018-01-15,6.339168770196058,5.800053222391385
2018-02-01,6.398322519768936,5.803574351104725
2018-02-15,6.095316530794884,5.805781369259504
2018-03-01,6.1583768022964795,5.807993269119418
2018-03-15,6.188511945939813,5.906761112525855
2018-04-01,6.155967213988995,5.932534200543064
2018-04-15,6.193923108978489,5.798297296527306
2018-05-01,6.2692660683425,5.855272586606483
2018-05-15,6.3091539525461995,6.049819425140857
2018-06-01,6.0091653020292055,5.729389000907824
2018-06-15,5.942215786225738,5.656002995475424
2018-07-01,6.075861221202065,5.660892982603596
2018-07-15,5.999235081840465,5.5777379765123305
2018-08-01,5.940666749077419,5.956972801072308
2018-08-15,5.963512142491708,5.966014453878138
2018-09-01,5.910850307619926,5.972952811434609
2018-09-15,5.887764933429515,5.768670592030551
2018-10-01,5.934024073803191,5.980210865697407
2018-10-15,6.011883621748981,5.97198307253151
2018-11-01,5.9984734940493025,6.082552299107358
2018-11-15,6.061563160898026,6.242858566362501
2018-12-01,6.0102314541191575,6.098147157065265
2018-12-15,6.038944013384596,6.169882387092319
2019-01-01,6.000480185945827,6.177789186618846
2019-01-15,5.92525732648596,6.080391293075077
2019-02-01,5.919927276580723,6.075581406906211
2019-02-15,5.992831520120446,6.099257133675139
2019-03-01,5.9215112981320805,6.2604292235729275
2019-03-15,5.907984762102577,6.251521140128388
2019-04-01,5.955982246065133,6.284402495559847
2019-04-15,6.0191694960574775,6.362199526295839
2019-05-01,5.936512306067896,6.328189702174075
2019-05-15,5.8864359900717345,6.2929823631602435
2019-06-01,6.051346186521179,6.247408348826111
2019-06-15,6.0509088996823,
2019-07-01,6.056175482193793,
2019-07-15,6.06141447306415,
2019-08-01,6.002371348759317,6.040981947770994
2019-08-15,,5.978234680275316
2019-09-01,,6.108738717870792
2019-09-15,,6.128251917728524
2019-10-01,,6.128310733121316
2019-10-15,,6.212896902534637
2019-11-01,,6.271687629049743
2019-11-15,,6.1968524527192255
2019-12-01,,6.276369751822743
2019-12-15,,6.269927762622401
2020-01-01,,6.2168868173266425
2020-01-15,,6.165747442820653
2020-02-01,,6.137079912299283
2020-02-15,,6.201094931424048
