Date,Kasese,Owino
2016-01-01,6.465979102746381,6.425219904546283
2016-01-15,6.3640641162465394,6.55895576741423
2016-02-01,6.455550730509163,6.502364627366297
2016-02-15,6.491592672816966,6.494874353063846
2016-03-01,6.512276094478314,6.618277430407989
2016-03-15,6.562793188691354,6.605846195190644
2016-04-01,6.56363709979081,6.4525903644475
2016-04-15,6.630871307801319,6.552406136343881
2016-05-01,6.664316212353267,6.583306706487137
2016-05-15,6.494985536439013,6.615933575438553
2016-06-01,6.4973427750168735,6.254477586647204
2016-06-15,6.4774332427395285,6.477066337580395
2016-07-01,6.483002024496989,6.436759632406356
2016-07-15,6.505223694752854,6.394081671682812
2016-08-01,6.5629303312726694,6.457941355652555
2016-08-15,6.561512514144189,6.541643195727906
2016-09-01,6.555773996162218,6.556107830249778
2016-09-15,6.549849635989781,6.589533478879123
2016-10-01,6.542930340016441,6.5743119407576085
2016-10-15,6.5236865490992715,6.398114045424532
2016-11-01,6.533567448084982,6.273557312836522
2016-11-15,6.507800604769959,6.300161239991715
2016-12-01,6.462571193596491,6.461141600786897
2016-12-15,6.462358144829634,6.506716735358224
2017-01-01,6.462145141442885,6.503766816133705
2017-01-15,6.470067619684719,6.540788747110095
2017-02-01,,6.538853054717605
2017-02-15,,6.638017812616077
2017-03-01,6.493465281379583,6.6359067418606585
2017-03-15,6.517169360001271,6.751808050114444
2017-04-01,6.441928821597718,6.750390632850896
2017-04-15,6.43695806696297,6.798991123381322
2017-05-01,6.431272514122744,6.795426603304579
2017-05-15,6.515723917055652,6.477932645340147
2017-06-01,6.52673237592274,6.275183266455148
2017-06-15,6.48892797440099,6.277598763045304
2017-07-01,6.491349319745419,6.37044067943786
2017-07-15,6.493243890620956,6.451455080544969
2017-08-01,6.488305752721292,6.447769105613445
2017-08-15,6.483447248284074,6.4454039239282785
2017-09-01,6.478612234827176,6.479296931875494
2017-09-15,6.475733428696675,6.513422950125465
2017-10-01,6.510595339523157,6.491903206511004
2017-10-15,6.458426674196753,6.246809878751679
2017-11-01,6.404032818634217,6.200410091507986
2017-11-15,6.343174366847618,6.097921742852849
2017-12-01,6.337221001813375,6.222810650635631
2017-12-15,6.249862128999495,6.341429322524985
2018-01-01,6.373673346343568,6.286661969353938
2018-01-15,6.3796861909980285,6.293222309231491
2018-02-01,6.199441379378957,5.9749443426336715
2018-02-15,6.201716136854186,6.08959064733516
2018-03-01,,6.09620787791807
2018-03-15,,6.077799615488465
2018-04-01,,6.2691793717656585
2018-04-15,,6.065927672431015
2018-05-01,6.213012947801603,6.00311230054583
2018-05-15,6.2602176904912215,5.93608511352962
2018-06-01,6.244142036553056,5.737290303909339
2018-06-15,6.216026998630689,5.7954405532111
2018-07-01,5.909090926113141,5.85039437311795
2018-07-15,5.866086690823091,5.864851360215098
2018-08-01,5.933305243775905,5.869226387091382
2018-08-15,5.78338317796689,5.852730596523678
2018-09-01,5.963328313071728,6.023432237141434
2018-09-15,5.986953908511165,6.014703821464067
2018-10-01,5.965710317425975,6.020651435457276
2018-10-15,6.023490766989252,5.84284145138766
2018-11-01,5.7762040996434525,5.847339446508051
2018-11-15,5.980227556002278,5.713477319591533
2018-12-01,5.98551370466757,5.85911523110557
2018-12-15,5.8667251963633555,5.8667251963633555
2019-01-01,5.858340626377746,6.040662183171701
2019-01-15,5.988757128894441,6.047597628917374
2019-02-01,5.934151415658526,6.054468022470003
2019-02-15,5.93420264431796,6.251620427969974
2019-03-01,5.713946972747484,6.170044155741471
2019-03-15,5.8524256050581895,6.235529533008196
2019-04-01,5.846113975249317,6.274307334435037
2019-04-15,6.020066538478743,6.389061966805516
2019-05-01,5.956503026701722,6.456945258824288
2019-05-15,5.898169640935562,6.452777907140362
2019-06-01,6.220726728443676,6.344497805944682
2019-06-15,6.241169350421754,6.3903324887379735
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
