Date,Busia,Kasese
2016-01-01,6.318462984402514,6.465979102746381
2016-01-15,6.337440950762077,6.3640641162465394
2016-02-01,6.316188099802063,6.455550730509163
2016-02-15,6.312043019468261,6.491592672816966
2016-03-01,6.3872553915217,6.512276094478314
2016-03-15,6.358921285335857,6.562793188691354
2016-04-01,6.336599528487916,6.56363709979081
2016-04-15,6.403138777787544,6.630871307801319
2016-05-01,6.135943578426915,6.664316212353267
2016-05-15,6.318066477928407,6.494985536439013
2016-06-01,6.292744691025658,6.4973427750168735
2016-06-15,6.364133904030523,6.4774332427395285
2016-07-01,6.233923744733619,6.483002024496989
2016-07-15,6.283766709015299,6.505223694752854
2016-08-01,6.2642628327982495,6.5629303312726694
2016-08-15,6.279482992071245,6.561512514144189
2016-09-01,6.318338482369976,6.555773996162218
2016-09-15,6.419610623769823,6.549849635989781
2016-10-01,6.4160879355427145,6.542930340016441
2016-10-15,6.319295131018286,6.5236865490992715
2016-11-01,6.168196797178696,6.533567448084982
2016-11-15,6.188487988431572,6.507800604769959
2016-12-01,6.261066817385763,6.462571193596491
2016-12-15,6.318982538170334,6.462358144829634
2017-01-01,6.34400489913866,6.462145141442885
2017-01-15,6.426697114685671,6.470067619684719
2017-02-01,6.4436084680391446,
2017-02-15,6.5005031950970995,
2017-03-01,6.536507788619762,6.493465281379583
2017-03-15,6.542105035181455,6.517169360001271
2017-04-01,6.573984859087074,6.441928821597718
2017-04-15,6.566451950177369,6.43695806696297
2017-05-01,6.626442213394548,6.431272514122744
2017-05-15,6.320739745217466,6.515723917055652
2017-06-01,6.2572799749626205,6.52673237592274
2017-06-15,6.1697472348898375,6.48892797440099
2017-07-01,6.304228302247334,6.491349319745419
2017-07-15,6.324607257103773,6.493243890620956
2017-08-01,6.366576585153397,6.488305752721292
2017-08-15,6.384156553993323,6.483447248284074
2017-09-01,6.391725383085202,6.478612234827176
2017-09-15,6.376299531708487,6.475733428696675
2017-10-01,6.340108240376205,6.510595339523157
2017-10-15,6.173066404506129,6.458426674196753
2017-11-01,6.055848936770209,6.404032818634217
2017-11-15,6.0010634591662155,6.343174366847618
2017-12-01,5.998788364642731,6.337221001813375
2017-12-15,6.138586130010234,6.249862128999495
2018-01-01,6.13140875358258,6.373673346343568
2018-01-15,6.139071629404233,6.3796861909980285
2018-02-01,5.902397921938062,6.199441379378957
2018-02-15,5.972560340355643,6.201716136854186
2018-03-01,5.971310039734474,
2018-03-15,5.929703444569913,
2018-04-01,5.982053627561884,
2018-04-15,5.944566815426748,
2018-05-01,6.015461771344169,6.213012947801603
2018-05-15,5.970295975445936,6.2602176904912215
2018-06-01,5.730182953450687,6.244142036553056
2018-06-15,5.732268964572776,6.216026998630689
2018-07-01,5.701268829493364,5.909090926113141
2018-07-15,5.735724872959848,5.866086690823091
2018-08-01,5.732889943539251,5.933305243775905
2018-08-15,5.756427367978361,5.78338317796689
2018-09-01,5.752279466640863,5.963328313071728
2018-09-15,5.835325298116617,5.986953908511165
2018-10-01,5.843348709775264,5.965710317425975
2018-10-15,5.717511210095894,6.023490766989252
2018-11-01,5.6865081572831535,5.7762040996434525
2018-11-15,5.760906013162644,5.980227556002278
2018-12-01,5.856639982317028,5.98551370466757
2018-12-15,5.844419438849057,5.8667251963633555
2019-01-01,5.912407847648022,5.858340626377746
2019-01-15,5.9005644168589795,5.988757128894441
2019-02-01,5.95560904299699,5.934151415658526
2019-02-15,6.019313963734245,5.934202644317961
2019-03-01,6.039841405289059,5.713946972747484
2019-03-15,6.08777932027933,5.8524256050581895
2019-04-01,6.103159078239208,5.846113975249317
2019-04-15,6.345259344147123,6.020066538478743
2019-05-01,6.316250169677425,5.956503026701722
2019-05-15,6.258334989814062,5.898169640935562
2019-06-01,6.12786287825786,6.220726728443676
2019-06-15,6.065788822982034,6.241169350421754
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
