Date,Gulu,Masindi
2016-01-01,,6.465225239159982
2016-01-15,,6.455271570344619
2016-02-01,,6.458589092132568
2016-02-15,,6.494510253296489
2016-03-01,,6.679165800083002
2016-03-15,,6.682867262137889
2016-04-01,,6.6772433500105635
2016-04-15,,6.702156046269875
2016-05-01,,6.701163274258705
2016-05-15,,6.692598276373965
2016-06-01,,6.689336626453335
2016-06-15,,6.497768002966438
2016-07-01,,6.482272895773473
2016-07-15,,6.506644149537146
2016-08-01,,6.523013723867226
2016-08-15,,6.523105074728996
2016-09-01,,6.592809197100206
2016-09-15,,6.588568383098891
2016-10-01,,6.501129119006803
2016-10-15,,6.47904873424721
2016-11-01,,6.279218116108922
2016-11-15,,6.260940526838434
2016-12-01,,6.420259995524769
2016-12-15,,6.429318290751434
2017-01-01,,6.422438596006496
2017-01-15,,6.502437728059688
2017-02-01,,6.576508348170308
2017-02-15,6.63742557096418,6.569405482771316
2017-03-01,6.625600136841905,6.5664279873774465
2017-03-15,,6.59449947292605
2017-04-01,,6.590755438475138
2017-04-15,,6.586698709388025
2017-05-01,,6.5783167218983065
2017-05-15,,6.5860404154731125
2017-06-01,,6.591907192610265
2017-06-15,,6.4118164431456215
2017-07-01,,6.41053682201548
2017-07-15,,6.527440987522891
2017-08-01,,6.525614734516767
2017-08-15,,6.592977142183737
2017-09-01,,6.586298810232551
2017-09-15,,6.5810939443545005
2017-10-01,,6.259280911242251
2017-10-15,,6.247240634735078
2017-11-01,,6.099256312823137
2017-11-15,,6.096423615231827
2017-12-01,,6.0930990441139725
2017-12-15,,6.201628316886867
2018-01-01,,6.193168320476011
2018-01-15,6.338173697093758,6.534267070874941
2018-02-01,6.338144228160699,6.091974649613189
2018-02-15,6.334189133650629,6.240293047883502
2018-03-01,6.328661192422065,6.285141029044338
2018-03-15,6.3241534924474,6.323362040091088
2018-04-01,6.397480079799721,6.314864314283129
2018-04-15,6.395084587475855,6.312468821959264
2018-05-01,6.463545973425051,6.3868037865875475
2018-05-15,6.463021557568308,5.938402611669982
2018-06-01,6.0904178869092735,5.629724020853323
2018-06-15,5.90172401077348,5.898120403270181
2018-07-01,6.127949776751802,5.892324066256074
2018-07-15,6.151915194625549,5.866086690823091
2018-08-01,6.156908459543163,5.869226387091382
2018-08-15,6.187961368056826,5.857681101683534
2018-09-01,6.264743092411093,5.901735302163914
2018-09-15,6.265258625769529,5.896394331465438
2018-10-01,6.265773893490261,5.902868399800893
2018-10-15,6.1314629320813765,5.905969203422213
2018-11-01,6.135021518959832,6.029452908409985
2018-11-15,6.145259736017071,6.039693056045557
2018-12-01,6.148032634165344,6.042672118507518
2018-12-15,6.154407268815136,6.049863413063866
2019-01-01,6.152356520387329,6.0437438497091085
2019-01-15,6.150301557746637,6.290943887549103
2019-02-01,6.2984456606870545,6.2984456606870545
2019-02-15,6.297009093784002,6.379122069505014
2019-03-01,6.32752347774084,6.285230565550589
2019-03-15,6.281364069351996,6.280563749181227
2019-04-01,6.292598102802026,6.4334900468383385
2019-04-15,6.387632373995921,6.4627106498286615
2019-05-01,6.458941931700612,6.55582244461739
2019-05-15,6.458118373771679,6.559342516862992
2019-06-01,6.526819362738636,6.559849888415118
2019-06-15,6.488158192463406,6.445902339892784
2019-07-01,,6.418806060294423
2019-07-15,,
2019-08-01,6.3623061357761745,6.3623061357761745
2019-08-15,6.254763800860716,6.360449731425417
2019-09-01,6.299894579123119,6.361521890053232
2019-09-15,6.320415923684844,6.362026681404687
2019-10-01,6.317186185290163,6.43741658281623
2019-10-15,6.310992846965398,6.353616121186233
2019-11-01,6.3086110741217105,6.349066028814024
2019-11-15,6.3081346168432395,6.351457298830538
2019-12-01,6.265630305801811,6.349456966723921
2019-12-15,6.270083188131205,6.353528086206698
2020-01-01,6.265814485503979,6.348846549642127
2020-01-15,6.267141017278518,6.35071278246319
2020-02-01,6.386860697513561,6.388264206515881
2020-02-15,6.389361321226222,6.389361321226222
