Date,Busia,Kampala
2016-01-01,5.36207779532648,5.3845506511785395
2016-01-15,5.28363414666162,5.1937148154921715
2016-02-01,5.405565575822368,5.307425308138028
2016-02-15,5.385648973011552,5.356531574440825
2016-03-01,5.463674226384866,5.425347422518691
2016-03-15,5.477292535162619,5.413154735328748
2016-04-01,5.460621755745066,5.448326518888029
2016-04-15,5.532574725528885,5.509585207304187
2016-05-01,5.50402977358301,5.477387842636589
2016-05-15,5.534768200374164,5.514758004367279
2016-06-01,5.637730380161156,5.606639793091126
2016-06-15,5.616097471738887,5.606502980345127
2016-07-01,5.6194157628448895,5.518558680276081
2016-07-15,5.634434821290053,5.4923782278421704
2016-08-01,5.469654946532747,5.457606608016572
2016-08-15,5.456208999440352,5.4244927860608865
2016-09-01,5.4980504777480865,5.470758335460079
2016-09-15,5.6144753223593185,5.627181973628433
2016-10-01,5.574993019280119,5.554465747867358
2016-10-15,5.571987744855858,5.605005513884532
2016-11-01,5.665746161968274,5.694206580903874
2016-11-15,5.61794312996396,5.758867694182038
2016-12-01,5.6592902186260625,5.823641598941343
2016-12-15,5.657481000326382,5.769210964269688
2017-01-01,5.732630316712065,5.587818608667763
2017-01-15,5.756137415357606,5.7164555007664255
2017-02-01,5.714467684831294,5.687172586241856
2017-02-15,5.727483129399476,5.682328731918932
2017-03-01,5.869151850657754,5.8162156113416374
2017-03-15,5.998561595793225,5.970263159670798
2017-04-01,5.959988615736292,5.950101940264485
2017-04-15,6.002421144032829,5.959476692203088
2017-05-01,6.0187784503382575,5.967570824954286
2017-05-15,6.03479995022846,6.011498977321014
2017-06-01,6.074183924777686,6.04907800364661
2017-06-15,5.659705617436055,6.40700251050163
2017-07-01,5.528147641817006,5.343673231661951
2017-07-15,5.460618596056998,5.372561740665815
2017-08-01,5.439461623410591,5.366831366827636
2017-08-15,5.525192317310887,5.423792202869158
2017-09-01,5.5759271550088,5.621333221193991
2017-09-15,5.540051507507869,5.489861762984013
2017-10-01,5.377670905866268,5.340009551229958
2017-10-15,5.3681477670877875,5.281513535114885
2017-11-01,5.2868257212315735,5.20226833320351
2017-11-15,5.198209393888956,5.218853721469302
2017-12-01,5.28116832756406,5.1489231087502825
2017-12-15,5.241253311880692,5.222295398136079
2018-01-01,5.240375499687569,5.209309680112678
2018-01-15,5.223738293486406,5.112512658376181
2018-02-01,5.209250741378117,5.117816535418485
2018-02-15,5.3214082808323,5.272618116662868
2018-03-01,5.237904403694265,5.15217261741026
2018-03-15,5.161002682641719,5.059852699520237
2018-04-01,5.157121502388198,5.1672225983747015
2018-04-15,5.17731166271308,5.123795709372973
2018-05-01,5.136990672738601,5.039616508713424
2018-05-15,5.163281848150364,5.111724038485514
2018-06-01,5.123095675022673,5.112569262035685
2018-06-15,5.136495948038006,5.115661861135165
2018-07-01,5.123953464458541,5.108205107490402
2018-07-15,4.710315988315033,4.615789814822916
2018-08-01,4.709989476606838,4.549307094916364
2018-08-15,4.674075600182032,4.653708297357598
2018-09-01,4.677959870541799,4.594578261602748
2018-09-15,4.630512510540956,4.56091921874176
2018-10-01,4.653049207349539,4.615308879366691
2018-10-15,4.897305151417043,4.802639924875964
2018-11-01,4.981561429792054,4.9483758808064
2018-11-15,5.031693897681903,5.037327715400159
2018-12-01,5.035434103522495,5.05496052587285
2018-12-15,5.042843827799949,5.014513321173723
2019-01-01,5.111948931298989,5.096200574330849
2019-01-15,5.131306897043219,5.15898161919944
2019-02-01,5.145237330006572,5.10420593332871
2019-02-15,5.326166783174299,5.326166783174299
2019-03-01,5.281200919368427,5.311310720839797
2019-03-15,5.315883093287069,5.1011077916433765
2019-04-01,5.49049406921397,5.369189903159008
2019-04-15,5.6431166006786,5.615633954984768
2019-05-01,5.591947821337684,5.607646730880788
2019-05-15,5.533806208512949,5.523688078347364
2019-06-01,5.562437848935936,5.54764711093454
2019-06-15,5.638344808155095,5.629212324591822
2019-07-01,,5.584291539316778
2019-07-15,,5.476083391530559
2019-08-01,,5.35472937439742
2019-08-15,,5.320824344947255
2019-09-01,,5.2944760673529565
2019-09-15,,5.39421279650503
2019-10-01,,5.459953203059609
2019-10-15,,5.52756483500613
2019-11-01,,5.529286197320713
2019-11-15,,5.576072020033621
2019-12-01,,5.656309786163976
2019-12-15,,5.667632569042072
2020-01-01,,5.698624413799216
2020-01-15,,5.357169421755842
2020-02-01,,5.383303193424278
2020-02-15,,5.327866695514615
