Date,Soroti,Kasese
2016-01-01,,5.348347602514579
2016-01-15,,5.266285508327007
2016-02-01,,5.195917505983043
2016-02-15,,5.185958910135953
2016-03-01,,5.221032879357389
2016-03-15,,5.223111132440883
2016-04-01,,5.136295417425962
2016-04-15,,5.567012749439217
2016-05-01,,5.567228546636379
2016-05-15,,5.527192406565706
2016-06-01,,5.497373022466234
2016-06-15,,5.490471258621478
2016-07-01,,5.485513885498625
2016-07-15,,5.429794741540402
2016-08-01,,5.3589575269467336
2016-08-15,,5.397093811872772
2016-09-01,,5.4159222635835285
2016-09-15,,5.409913386757244
2016-10-01,,5.408099538487851
2016-10-15,,5.500594215194037
2016-11-01,,5.526585482262797
2016-11-15,,5.500995865354972
2016-12-01,,5.546280461722336
2016-12-15,,5.546067412955479
2017-01-01,,5.54585440956873
2017-01-15,,5.556347597857354
2017-02-01,,
2017-02-15,5.722318971851242,
2017-03-01,5.779300962010302,5.587182265971364
2017-03-15,5.934618135666965,5.628726455502891
2017-04-01,6.056455533668441,5.476937271098081
2017-04-15,6.052053768235239,5.615586711787795
2017-05-01,6.044489561326891,5.785360236914406
2017-05-15,5.993799400221612,5.93045064721963
2017-06-01,6.00134660082542,5.869718158346983
2017-06-15,5.716820491491519,5.797147848052577
2017-07-01,5.53261792194791,5.798202139185474
2017-07-15,5.372561740665815,5.487085169245161
2017-08-01,5.422704208118649,5.4286507073063754
2017-08-15,5.418839245740309,5.423792202869158
2017-09-01,5.520357303853989,5.523922370018485
2017-09-15,5.417449185415537,5.61415947966159
2017-10-01,5.354824637015098,5.699665123306827
2017-10-15,5.342936347741292,5.504657086429095
2017-11-01,5.157147897923041,5.509969272545783
2017-11-15,5.149173800831313,5.509835631923639
2017-12-01,5.146349104755109,5.399951863554027
2017-12-15,5.222295398136079,4.997954958588023
2018-01-01,5.144123700227983,5.364153600868913
2018-01-15,5.149262200584922,5.398856937986302
2018-02-01,5.149232731651864,5.340960086732695
2018-02-15,5.1722953950349995,5.2955299611516224
2018-03-01,5.179917146043915,
2018-03-15,5.178569006359618,
2018-04-01,5.126191201696839,
2018-04-15,5.047672013900172,
2018-05-01,5.039616508713424,5.031057255317754
2018-05-15,5.111724038485514,4.957573358658255
2018-06-01,5.029877546190572,4.92706805232435
2018-06-15,4.998536503897752,4.736172239430261
2018-07-01,4.913103824050048,4.733992542886342
2018-07-15,4.666220668449808,4.666220668449808
2018-08-01,4.549307094916364,4.4730797295284805
2018-08-15,4.649584580173736,4.502981105981861
2018-09-01,4.637137876021543,4.522474967701403
2018-09-15,4.514828111541494,4.523722180934396
2018-10-01,4.562665145881269,
2018-10-15,4.705910298417414,
2018-11-01,4.706655943919254,4.527454514461543
2018-11-15,4.723078615563656,4.651334710704814
2018-12-01,4.944059829839408,4.652254040203766
2018-12-15,4.949208222765956,4.683771759261495
2019-01-01,5.019239533194721,4.942049894503591
2019-01-15,5.029341970386531,5.057198924889497
2019-02-01,5.109427877309861,5.033716055574165
2019-02-15,5.270238230515075,5.031486781534874
2019-03-01,5.400438500735804,4.774732600971392
2019-03-15,5.223509773156054,4.711146870071177
2019-04-01,5.210398843775247,4.660042381252621
2019-04-15,5.528341086086172,5.081759205498516
2019-05-01,5.523180964090592,5.377469152909199
2019-05-15,6.016729375660117,5.427699702518401
2019-06-01,5.803827158986369,5.52419544989949
2019-06-15,5.532984292497268,5.549679171069438
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
