Date,Busia,Mbale
2016-01-01,5.979717423378281,
2016-01-15,6.008222853056385,
2016-02-01,6.030108008323483,
2016-02-15,6.02202722367026,
2016-03-01,6.076439888493851,
2016-03-15,6.091773815325784,
2016-04-01,6.091806862453398,
2016-04-15,6.173231723467434,
2016-05-01,6.200579144544911,
2016-05-15,6.128824478289879,6.125694585280951
2016-06-01,6.145411064028589,6.097763169405871
2016-06-15,6.16172701769957,6.069029117085975
2016-07-01,6.029193081171234,6.149586336358325
2016-07-15,6.038767426445918,5.990600297611413
2016-08-01,6.047635426324382,6.052661965810316
2016-08-15,6.064265506029456,6.090790989056548
2016-09-01,6.143944773457486,
2016-09-15,6.202546118531996,6.1629465457416766
2016-10-01,6.180486149306463,6.1590428325528235
2016-10-15,6.1277195972409695,6.076076948891097
2016-11-01,6.072012873325774,6.075212876056446
2016-11-15,6.053064447655013,6.151910282291645
2016-12-01,6.040541068613632,6.183377283779265
2016-12-15,6.04250429926937,
2017-01-01,6.039025098096,
2017-01-15,6.06590802390268,
2017-02-01,6.063785790544317,
2017-02-15,6.100676423779259,6.327378349052819
2017-03-01,6.1362544186927925,6.325294744437323
2017-03-15,6.164756795236539,6.321873636062836
2017-04-01,6.2114316365718665,6.313997973116691
2017-04-15,6.197920491212758,6.313607988105986
2017-05-01,,6.4301943469023986
2017-05-15,6.170337898271727,6.436508681502148
2017-06-01,6.01459182757544,6.2258225973734085
2017-06-15,5.852293004104387,6.22956876614927
2017-07-01,5.850179194283425,6.2275476341741385
2017-07-15,5.909813344777106,5.941103502770316
2017-08-01,5.9126371474713375,5.936110990867579
2017-08-15,5.93184719355464,5.933629195808209
2017-09-01,5.877032247792721,5.928200534367122
2017-09-15,5.797562702326286,5.989968378186867
2017-10-01,5.822725216064055,5.985112557957192
2017-10-15,5.758281564449163,5.974660715674831
2017-11-01,5.730587114417018,5.914833599620557
2017-11-15,5.67509115495089,5.915600186058894
2017-12-01,5.719617573288181,6.198809498536087
2017-12-15,,6.201628316886867
2018-01-01,,6.191351789549613
2018-01-15,5.842409381144868,5.912089301782857
2018-02-01,5.844953916206982,5.909653092819234
2018-02-15,5.891374481824263,5.906063544885857
2018-03-01,5.935735433566636,5.900059830945873
2018-03-15,5.9540524735802,5.896287447650069
2018-04-01,6.074426947692899,5.8876329296930106
2018-04-15,6.072031455369033,5.882789455730505
2018-05-01,6.065576641469793,5.875485673277005
2018-05-15,6.110252868596641,6.155975117934736
2018-06-01,6.04469993356747,6.139918530682304
2018-06-15,5.97454647047353,6.347915185539579
2018-07-01,5.925581288012556,6.340348788783034
2018-07-15,5.922490361754386,5.9568974254661855
2018-08-01,5.914221256944892,5.869226387091382
2018-08-15,5.9058832035014115,5.852730596523678
2018-09-01,5.969943552190448,5.838607550129361
2018-09-15,6.0168068716608465,6.015755899414871
2018-10-01,6.020651435457276,6.020651435457276
2018-10-15,6.084361482076278,6.023490766989252
2018-11-01,6.094901525170407,6.029452908409985
2018-11-15,6.113211752990712,6.145259736017071
2018-12-01,6.102570260088587,6.148032634165344
2018-12-15,6.118856284550818,6.154407268815136
2019-01-01,6.17522185352179,6.147872838117689
2019-01-15,6.250121893028848,6.152141484668644
2019-02-01,6.289684155018482,6.158207792230096
2019-02-15,6.309607685620324,6.155978518190804
2019-03-01,6.3144009428503685,6.144588235748122
2019-03-15,6.289332239001173,6.14072173954953
2019-04-01,6.450456860365343,6.133180094494065
2019-04-15,6.446663549166113,6.346750768733793
2019-05-01,6.442855793948987,6.34869360360119
2019-05-15,,6.343990434392556
2019-06-01,,
2019-06-15,,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
