Date,Busia,Tororo
2016-01-01,6.318462984402514,6.191026517045488
2016-01-15,6.337440950762077,6.270550272921105
2016-02-01,6.316188099802063,6.344213214797799
2016-02-15,6.312043019468261,6.33963097598709
2016-03-01,6.3872553915217,6.3912827831916825
2016-03-15,6.358921285335857,6.3362568312128476
2016-04-01,6.336599528487916,
2016-04-15,6.403138777787544,
2016-05-01,6.135943578426915,
2016-05-15,6.318066477928407,6.079721765282146
2016-06-01,6.292744691025658,6.134167266475048
2016-06-15,6.364133904030523,6.290847287159116
2016-07-01,6.233923744733619,6.290276681284751
2016-07-15,6.283766709015299,6.294792179027007
2016-08-01,6.2642628327982495,6.436160547191164
2016-08-15,6.279482992071245,6.518242265563295
2016-09-01,6.318338482369976,6.514882438844119
2016-09-15,6.419610623769823,6.547504969030527
2016-10-01,6.4160879355427145,6.541587156469973
2016-10-15,6.319295131018286,6.441994004612874
2016-11-01,6.168196797178696,6.374409866289913
2016-11-15,6.188487988431572,6.245436340302469
2016-12-01,6.261066817385763,6.238087458923326
2016-12-15,6.318982538170334,6.297315023835952
2017-01-01,6.34400489913866,6.380702644998204
2017-01-15,6.426697114685671,6.423005711453711
2017-02-01,6.4436084680391446,6.463255465422941
2017-02-15,6.5005031950970995,6.456406483124705
2017-03-01,6.536507788619762,6.455593811015265
2017-03-15,6.542105035181455,6.558496210449027
2017-04-01,6.573984859087074,6.555653119439313
2017-04-15,6.566451950177369,6.586390305376328
2017-05-01,6.626442213394548,6.645468105605275
2017-05-15,6.320739745217466,6.477932645340147
2017-06-01,6.2572799749626205,6.223600867954746
2017-06-15,6.1697472348898375,6.124503715111705
2017-07-01,6.304228302247334,6.126432570911583
2017-07-15,6.324607257103773,6.22804477957373
2017-08-01,6.366576585153397,6.270286038406951
2017-08-15,6.384156553993323,6.316891171599328
2017-09-01,6.391725383085202,6.356367204467341
2017-09-15,6.376299531708487,6.396547692538435
2017-10-01,6.340108240376205,6.392812303866773
2017-10-15,6.173066404506129,6.294347746024714
2017-11-01,6.055848936770209,5.978282284313611
2017-11-15,6.0010634591662155,5.9514758358243025
2017-12-01,5.998788364642731,6.036528692625579
2017-12-15,6.138586130010234,6.097564753573258
2018-01-01,6.13140875358258,6.139101099205735
2018-01-15,6.139071629404233,6.199470848312016
2018-02-01,5.902397921938062,5.9749443426336715
2018-02-15,5.972560340355643,5.970300452388205
2018-03-01,5.971310039734474,6.025080533902487
2018-03-15,5.929703444569913,5.960901815425774
2018-04-01,5.982053627561884,5.9515600169992435
2018-04-15,5.944566815426748,5.9491645246753775
2018-05-01,6.015461771344169,5.939870241677762
2018-05-15,5.970295975445936,5.938402611669982
2018-06-01,5.730182953450687,5.636013349760887
2018-06-15,5.732268964572776,5.696111735973429
2018-07-01,5.701268829493364,5.683569252393964
2018-07-15,5.735724872959848,5.601992535895786
2018-08-01,5.732889943539251,5.800758587813922
2018-08-15,5.756427367978361,5.788688230196583
2018-09-01,5.752279466640863,5.9064301464681215
2018-09-15,5.835325298116617,5.896394331465438
2018-10-01,5.843348709775264,5.902868399800893
2018-10-15,5.717511210095894,5.701762853127754
2018-11-01,5.6865081572831535,5.6229466757934095
2018-11-15,5.760906013162644,5.634743279049029
2018-12-01,5.856639982317028,5.6372070103993535
2018-12-15,5.844419438849057,5.642355403325902
2019-01-01,5.912407847648022,5.863266744713802
2019-01-15,5.9005644168589795,5.871785452308936
2019-02-01,5.95560904299699,5.870525719778315
2019-02-15,6.019313963734245,6.050212405285479
2019-03-01,6.039841405289059,6.039841405289059
2019-03-15,6.08777932027933,6.1388784210552405
2019-04-01,6.103159078239208,6.133180094494065
2019-04-15,6.345259344147123,6.266086904446707
2019-05-01,6.316250169677425,6.378677568257577
2019-05-15,6.258334989814062,6.261581745912932
2019-06-01,6.12786287825786,6.262089117465058
2019-06-15,6.065788822982034,6.242826351629383
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
