Date,Bujumbura,Gitega
2016-01-01,,6.354958130390406
2016-01-15,6.4099424650643755,6.296193319508928
2016-02-01,6.435996596255957,6.295466642500111
2016-02-15,6.348172399006937,6.219167838606589
2016-03-01,6.382063202701174,6.196920769565578
2016-03-15,6.384470066621803,6.215285657680169
2016-04-01,6.383578783891911,6.2685493066527105
2016-04-15,6.392427514520984,6.2448465439168865
2016-05-01,6.391122613207465,6.276004167750348
2016-05-15,6.3799540125709004,6.3471103380017535
2016-06-01,6.381324011181014,6.3467325664113945
2016-06-15,6.294328440669742,6.248512111137111
2016-07-01,6.291162180916988,6.121536739732892
2016-07-15,6.293289131414813,6.06122374962229
2016-08-01,6.261580633978465,6.118685997163968
2016-08-15,6.286532413014185,6.054106785775607
2016-09-01,6.234242066633157,6.113426558333937
2016-09-15,6.236944848155689,6.1197329473597675
2016-10-01,6.2433045935956155,6.182765350647962
2016-10-15,6.226839979942042,6.171191488735813
2016-11-01,6.266997953362095,6.158721983744145
2016-11-15,6.303719798123241,6.198589299717723
2016-12-01,6.382681564745592,6.187018391014063
2016-12-15,6.2799813352747575,6.227036512848734
2017-01-01,6.36171654536242,6.216734233622041
2017-01-15,6.328433922018801,6.126676587924211
2017-02-01,6.378461541908261,6.195862938430169
2017-02-15,6.451861115047146,6.188342708363827
2017-03-01,6.363847492527741,6.1380872803223605
2017-03-15,6.436018226750321,6.074327947695857
2017-04-01,6.402640360883782,6.078764511948255
2017-04-15,6.3833170161163695,6.076078355817974
2017-05-01,6.401238716504002,6.058842929982743
2017-05-15,6.392607679864729,6.081335537032618
2017-06-01,6.364492385832153,6.017923362638963
2017-06-15,6.445190089887184,6.020229898809272
2017-07-01,6.368698180250854,6.080425544975555
2017-07-15,6.401886615130556,5.958457693318694
2017-08-01,6.359505559938616,6.065958368034437
2017-08-15,6.348017285349268,6.1135762051051
2017-09-01,6.333729537411165,6.149972230191106
2017-09-15,6.401476898379788,6.1396451152880305
2017-10-01,6.35803667319391,6.136273384348659
2017-10-15,6.315421780838095,6.228869104423331
2017-11-01,6.315125981471372,6.22772098117416
2017-11-15,6.344935101405027,6.143087519847287
2017-12-01,6.321867974543461,6.141727443695866
2017-12-15,6.330552384438835,6.2425502216751
2018-01-01,6.33491731345092,6.153468737943311
2018-01-15,6.251811614470395,6.156977511799556
2018-02-01,6.253744180498596,6.253744180498596
2018-02-15,6.162705658667675,6.164449338272502
2018-03-01,6.235654109619366,6.258163098513289
2018-03-15,6.0781370986349925,6.2053630750916575
2018-04-01,6.156989801028658,6.206445744184067
2018-04-15,6.103285116076679,5.931205053334922
2018-05-01,6.14997223171691,5.927702424451297
2018-05-15,6.104601771333063,6.049819425140857
2018-06-01,5.998759269717267,6.054662047298414
2018-06-15,6.001569962002519,6.1574827568231765
2018-07-01,6.008515448312788,6.169390316609996
2018-07-15,6.013429460769287,6.069332238350434
2018-08-01,6.013221048288945,5.954787007852328
2018-08-15,6.025353893664446,5.833106697070522
2018-09-01,6.015785911428745,5.839733967648386
2018-09-15,5.961076267891132,5.839103867079471
2018-10-01,6.062622841698749,5.772910311696586
2018-10-15,6.034035061099077,5.837505158302958
2018-11-01,6.025971552662597,5.836556287841273
2018-11-15,6.030120936209408,5.839065699446699
2018-12-01,6.0311555974501845,5.836556287841273
2018-12-15,6.022429655949189,5.831975429995446
2019-01-01,5.97869050955864,5.954645635304637
2019-01-15,5.961872692839739,5.961872692839739
2019-02-01,5.958045865373105,5.966915103113885
2019-02-15,5.946550497420114,5.958820590011928
2019-03-01,6.114685372918901,6.060303042145466
2019-03-15,6.105520464663054,6.051032279378985
2019-04-01,6.143657365611633,6.037793958316353
2019-04-15,6.237133137248348,6.0355482813788095
2019-05-01,6.121408098846977,6.035317687136583
2019-05-15,5.9905164945242255,6.048383876844774
2019-06-01,6.057037342675233,6.058606461116078
2019-06-15,,5.936856106050736
2019-07-01,,5.972782970220485
2019-07-15,,
2019-08-01,6.286104405803979,6.040981947770994
2019-08-15,6.236307092661265,6.235479620541233
2019-09-01,6.230981185340506,6.229324184132877
2019-09-15,6.309352845747182,6.389982580147292
2019-10-01,6.308958139916151,6.388707875976541
2019-10-15,6.3802080070540015,6.380914471230329
2019-11-01,6.410015193937758,6.373115776289848
2019-11-15,6.472700067524004,6.42100389929766
2019-12-01,6.432391133708617,6.499975802181657
2019-12-15,6.42275481551915,6.494305120385539
2020-01-01,6.4118040116330866,6.48248210237558
2020-01-15,6.407996653214448,6.475394628031583
2020-02-01,6.3995772528199355,6.468348321045469
2020-02-15,6.3989622314685,6.4664468739510985
