Date,Arusha,Bujumbura
2016-01-01,5.3161332504449055,
2016-01-15,5.313708138404248,6.408324341733965
2016-02-01,5.30891085511358,6.353128378275389
2016-02-15,5.731657082610951,6.336082441729019
2016-03-01,5.7245594047698205,6.0243224761995995
2016-03-15,5.721962954176504,6.081754265055646
2016-04-01,5.617142605034944,6.079421874236625
2016-04-15,5.400440642658901,6.012658472146446
2016-05-01,5.399964071637734,6.0122833577436054
2016-05-15,5.39768511652383,6.044289204334289
2016-06-01,5.296231023149782,6.030347088356919
2016-06-15,5.291335463523213,5.970643660133654
2016-07-01,5.395121450512922,5.9878582125535535
2016-07-15,5.3918837370684916,5.992230878135337
2016-08-01,5.357856917668446,6.116105350570477
2016-08-15,5.39836341672408,6.170486997256343
2016-09-01,5.403761418458451,6.172502792744242
2016-09-15,5.43679595632625,6.176662946397443
2016-10-01,5.44444472114339,6.182281440645778
2016-10-15,5.534579538846854,6.171191488735813
2016-11-01,5.649944168589701,6.413760208119562
2016-11-15,5.75282669928617,6.400722503014258
2016-12-01,5.794338779709701,6.473325892802677
2016-12-15,5.827777437084094,6.462027826738963
2017-01-01,5.869704669993074,6.528886297135772
2017-01-15,5.930973454855508,6.567095540628625
2017-02-01,5.986426665467563,6.565791312261545
2017-02-15,6.031250271040776,6.626893541057757
2017-03-01,,6.4441581889473545
2017-03-15,6.11528598802862,6.37104727317358
2017-04-01,6.111559480006191,6.365750932198069
2017-04-15,6.268523178429757,6.368858932941139
2017-05-01,6.261541545051247,6.431644231272116
2017-05-15,6.1877713548258875,6.411198717252972
2017-06-01,6.183889545754441,6.4420558997442585
2017-06-15,6.006220888349961,6.445190089887184
2017-07-01,5.7846371836482176,6.388341042609541
2017-07-15,5.497595701740491,6.363567750828419
2017-08-01,5.514044262101511,6.358082072153762
2017-08-15,5.499299789558962,6.3465897333580825
2017-09-01,5.4992076023025565,6.3330119198705015
2017-09-15,5.412854321800954,6.325420906950073
2017-10-01,5.408898442850501,6.314275279998097
2017-10-15,,6.270445531269072
2017-11-01,,6.228508072910977
2017-11-15,,6.236197132903801
2017-12-01,,6.140419399035851
2017-12-15,,6.147795002839551
2018-01-01,,6.048689786710134
2018-01-15,5.380760254795821,5.869877003772425
2018-02-01,5.54110921613512,5.93648210791234
2018-02-15,5.53579587677543,5.93868912606712
2018-03-01,5.4499121698897035,5.940901025927034
2018-03-15,5.259386746576515,5.9378057342078145
2018-04-01,5.257175820927511,5.994059433549353
2018-04-15,5.25021947087972,5.865792788148753
2018-05-01,5.3430828702914175,5.5518173164776075
2018-05-15,5.34498329758997,5.991861148377614
2018-06-01,5.391339105961063,5.871952065562694
2018-06-15,5.253218435175246,5.734255192375172
2018-07-01,5.031718853651894,5.739145179503344
2018-07-15,4.900092483650358,5.746743757330513
2018-08-01,4.902001142312378,5.746305679565559
2018-08-15,4.901519197262282,5.7580391240371
2018-09-01,4.739282205158855,5.767163274813551
2018-09-15,4.9023315780284715,5.765964230432808
2018-10-01,4.969585316326035,5.883137017005585
2018-10-15,5.029941707869589,5.910530293317847
2018-11-01,5.028424999593834,5.899837737788793
2018-11-15,5.025798518342362,6.265201241728431
2018-12-01,5.136507602734529,6.240344949622186
2018-12-15,5.188366307921746,6.010941278942428
2019-01-01,5.218885617578165,6.018907569523006
2019-01-15,5.184950383554069,6.021847837462467
2019-02-01,5.114944618859133,6.0268902477366115
2019-02-15,5.1628664932766215,6.019053847920166
2019-03-01,5.1313885312131235,5.809843680184293
2019-03-15,5.128853674501414,5.687188845961639
2019-04-01,5.141140312830274,5.449604797936875
2019-04-15,5.2216896097719925,5.447359120999331
2019-05-01,5.240051789536639,5.502527869073664
2019-05-15,5.213997725698514,5.554811501226343
2019-06-01,5.3096563986669185,5.681526905035536
2019-06-15,,
2019-07-01,,
2019-07-15,,5.986837857767325
2019-08-01,,6.013330416440484
2019-08-15,5.685438107137704,6.005691526508355
2019-09-01,5.746956373572211,6.079310870571581
2019-09-15,5.686171358715641,6.076621493277819
2019-10-01,5.807795590512352,6.17640548697065
2019-10-15,5.688434236107429,6.213731975652058
2019-11-01,5.8231600757326785,6.252669623213981
2019-11-15,5.766461912362339,6.283723763877686
2019-12-01,5.777758201997086,6.357064639876909
2019-12-15,5.792303295626933,6.3513939580807905
2020-01-01,5.871977938997037,6.319087004597455
2020-01-15,5.808464115211822,6.314079924416923
2020-02-01,6.042551197210232,6.2023750675322935
2020-02-15,5.823283862802259,6.010636633237032
