Date,Masindi,Kasese
2016-01-01,,6.508758487035613
2016-01-15,,6.539900972981392
2016-02-01,,6.41637566104603
2016-02-15,,6.270091307803748
2016-03-01,,6.2438751272113935
2016-03-15,5.749321675046353,6.24103450985885
2016-04-01,5.744222189877199,6.23443811228408
2016-04-15,5.768514838364622,6.259702368792369
2016-05-01,5.767067917751043,6.259461232390936
2016-05-15,5.7556450336796825,6.19336299942745
2016-06-01,5.76003831041583,6.198802832593043
2016-06-15,5.75827196051943,6.196332546877046
2016-07-01,5.745138005155248,6.1826058443495855
2016-07-15,5.746732172140972,6.182094873305326
2016-08-01,5.742253776773199,6.17864404255835
2016-08-15,5.742379355806811,6.1752025491778495
2016-09-01,6.0443917344748135,6.169816863283081
2016-09-15,6.0388009473109765,6.163931282404215
2016-10-01,6.03042545473073,6.158550100342805
2016-10-15,6.012178564337852,6.137140924237273
2016-11-01,5.9908120879316105,6.1164181836843134
2016-11-15,5.957754267850688,6.194143045914918
2016-12-01,5.9505543844603475,6.1881343478947315
2016-12-15,5.959831323878339,6.187921299127874
2017-01-01,5.953697640081862,6.187708295741125
2017-01-15,6.048198643118658,6.19883111392946
2017-02-01,6.134535205606046,
2017-02-15,6.127784079959406,
2017-03-01,6.124489577113207,6.2314759892196685
2017-03-15,6.121292687066978,6.200955643093525
2017-04-01,6.1151308672858455,6.09914651097741
2017-04-15,6.354883688438217,6.13484572968216
2017-05-01,6.3454359953062385,6.103526461190315
2017-05-15,6.354372984576003,6.215155640961727
2017-06-01,6.226266351540886,6.225378646200745
2017-06-15,6.124503715111705,6.226016364544902
2017-07-01,6.122483898456167,6.228437709889332
2017-07-15,6.322586646191995,6.229377816873995
2017-08-01,6.3185081821123745,6.22409046109107
2017-08-15,6.317699905974179,6.22066563825476
2017-09-01,6.310436724590128,
2017-09-15,6.3089287205934035,6.213780602210712
2017-10-01,6.159197452685268,6.280316604863661
2017-10-15,6.09294639019578,6.246378937137598
2017-11-01,6.096754435110813,6.199506340881629
2017-11-15,6.096423615231827,6.151358447078277
2017-12-01,6.0930990441139725,6.0930990441139725
2017-12-15,5.694091677996334,6.039056534663201
2018-01-01,5.680526165783623,5.763362171362772
2018-01-15,5.842409381144868,5.842409381144868
2018-02-01,5.839799265618317,5.8423799122118085
2018-02-15,5.839995909933781,5.807282233814959
2018-03-01,5.900059830945873,
2018-03-15,5.896287447650069,
2018-04-01,5.57770024830641,
2018-04-15,5.575304755982544,
2018-05-01,5.566226000180676,5.61053185190278
2018-05-15,5.563709162228571,5.563709162228571
2018-06-01,5.5458622527665895,5.636013349760887
2018-06-15,5.524629599794531,5.524629599794531
2018-07-01,5.6625158431961315,5.383910988895467
2018-07-15,5.5559317625192515,5.453186604227408
2018-08-01,5.558402786077907,5.176079206531437
2018-08-15,5.5407693909168145,5.628345580121404
2018-09-01,5.533225900578179,5.693190550270857
2018-09-15,5.832803228683907,5.7981176706960165
2018-10-01,5.839586949853373,5.902868399800893
2018-10-15,5.84284145138766,5.77411707231741
2018-11-01,5.848587107306206,5.491199404962388
2018-11-15,5.8569590430692235,5.8569590430692235
2018-12-01,5.349524937947573,5.860350561713563
2018-12-15,5.356716232503921,5.724754935092968
2019-01-01,5.347515002611756,5.858340626377746
2019-01-15,5.3544504483574284,5.957985470227687
2019-02-01,5.361320841910057,5.978801689396265
2019-02-15,5.560130248617659,5.96338541107502
2019-03-01,5.547922489204874,5.920523449914592
2019-03-15,5.544055993006281,6.033927825468742
2019-04-01,5.533492954450284,6.028024938730174
2019-04-15,5.528341086086172,6.074351221965816
2019-05-01,5.519785375089453,6.014149721801372
2019-05-15,5.688915201782019,6.071123447725916
2019-06-01,5.6922920157620975,6.215646277211257
2019-06-15,5.705720210627866,6.096919741577207
2019-07-01,5.658828887316167,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,5.445595523276932,
2019-09-15,5.446463486848908,
2019-10-01,5.441869527626314,
2019-10-15,5.436593056800403,
2019-11-01,5.434975517849471,
2019-11-15,5.436627487596057,
2019-12-01,5.480981264860992,
2019-12-15,5.48762048209678,
2020-01-01,5.613902240403721,
2020-01-15,5.615892905502677,
2020-02-01,5.435553883768156,
2020-02-15,5.435249456553208,
