Date,Ngozi,Bujumbura
2016-01-01,6.408598092521518,
2016-01-15,6.460386571184393,6.831711555865291
2016-02-01,6.406835352772732,6.829314736948645
2016-02-15,6.391840125994663,6.789606543342268
2016-03-01,6.296030483522933,6.804777198418894
2016-03-15,6.273848186888247,6.6416082522061375
2016-04-01,6.294783285108781,6.659550398944849
2016-04-15,6.392427514520984,6.626008735866095
2016-05-01,6.388299461503785,6.6419894539775415
2016-05-15,6.269464588382725,6.649500081062035
2016-06-01,6.372081429814081,6.648599273855131
2016-06-15,6.3003969465061225,6.612940262058149
2016-07-01,6.120506342938995,6.568359229397142
2016-07-15,6.295020733579091,6.5908872152743605
2016-08-01,6.519673742875945,6.58308978407871
2016-08-15,6.4416763881801264,6.562845757859206
2016-09-01,6.519407263256823,6.598021512628579
2016-09-15,6.5203903538998285,6.565814479014084
2016-10-01,6.682205652188828,6.6072390975471516
2016-10-15,6.670113371590146,6.57633323386622
2016-11-01,6.65424869187546,6.56434928469996
2016-11-15,6.6416697947296495,6.567516385585666
2016-12-01,6.553897505127037,6.553897505127037
2016-12-15,6.54101188514996,6.54101188514996
2017-01-01,6.449479519531361,6.567262555187745
2017-01-15,6.414818536217622,6.563238541335895
2017-02-01,6.378461541908261,6.532216417257762
2017-02-15,6.37080326022368,6.560165067690595
2017-03-01,6.368019960333542,6.519092645376048
2017-03-15,6.5124627296421265,6.551059360118871
2017-04-01,6.445954217953043,6.588755294981189
2017-04-15,6.516549320956398,6.605776806720178
2017-05-01,6.506867652509703,6.583560273297957
2017-05-15,6.591508875447241,6.594301393318915
2017-06-01,6.446628082758299,6.58685742406695
2017-06-15,6.5192746885441135,6.588814356727455
2017-07-01,6.447677623603061,6.589359020589508
2017-07-15,6.363567750828419,6.586142958847989
2017-08-01,6.433842118035297,6.579514759064343
2017-08-15,6.4275111757103085,6.569733284672292
2017-09-01,6.4123364946585975,6.556586103503144
2017-09-15,6.475870163674145,6.549713223468156
2017-10-01,6.538860792629208,6.604119515454373
2017-10-15,6.538421125648342,6.601299775586061
2017-11-01,6.5368254892133475,6.602266781920763
2017-11-15,6.4744889398395555,6.611578779786718
2017-12-01,6.324049000489821,6.609550046995242
2017-12-15,6.243342928811339,6.617689646198851
2018-01-01,6.24830284061415,6.625869143584258
2018-01-15,6.254981189231674,6.626653862364576
2018-02-01,6.341947216020505,6.6318103144186455
2018-02-15,6.2575397613385135,6.632927414209401
2018-03-01,6.209293439928298,6.634048206486979
2018-03-15,6.256656369479209,6.630406914208195
2018-04-01,6.2519820663493,6.626774874924381
2018-04-15,6.248467125921177,6.624352233894867
2018-05-01,6.328791157959663,6.620303604451678
2018-05-15,6.336530152203006,6.680884611753697
2018-06-01,6.257008302039652,6.689850951095116
2018-06-15,6.166247054816765,6.694717142562465
2018-07-01,6.171137041944937,6.701662628872733
2018-07-15,6.1250332800597125,6.705549419872702
2018-08-01,6.123522895804605,6.515340149394893
2018-08-15,6.1882842611437505,6.371479561986303
2018-09-01,6.2924006772408445,6.407176191833273
2018-09-15,6.295316360728404,6.382394242556285
2018-10-01,6.387876194715173,6.42737863769142
2018-10-15,6.378183745218629,6.419946473580604
2018-11-01,6.287855932293237,6.509398202240473
2018-11-15,6.376599142127626,6.529703468401219
2018-12-01,6.376599142127626,6.530331411906939
2018-12-15,6.325567986637661,6.521976964677472
2019-01-01,6.273903548211585,6.518046916719541
2019-01-15,6.2773116492901835,6.521803788991553
2019-02-01,6.2855694964183035,6.526846199265699
2019-02-15,6.277072728548387,6.520651218276904
2019-03-01,6.347985114597247,6.536400838625864
2019-03-15,6.296328635334328,6.527266458375356
2019-04-01,6.367343755987394,6.515064879288084
2019-04-15,6.363649852873486,6.51281920235054
2019-05-01,6.3643035657296,6.518874025193815
2019-05-15,6.247958681786288,6.524892407686636
2019-06-01,6.304647976523542,6.517067355550041
2019-06-15,6.159546039756805,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,6.476996392112063
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
