Date,Mbale,Tororo
2016-01-01,6.76639066194905,6.701852140811479
2016-01-15,6.734175636730581,6.701370265931681
2016-02-01,6.700888158736531,6.700888158736531
2016-02-15,6.696305919925822,6.712835221877033
2016-03-01,6.747314433444672,6.747314433444672
2016-03-15,6.749458388940976,6.769088580218906
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.757988539003953,6.851732706010654
2016-06-01,6.762637890145943,6.76511962311692
2016-06-15,6.760519296438291,6.761624268926409
2016-07-01,6.746150910424898,6.747830171944618
2016-07-15,6.715923403879571,6.747654111243598
2016-08-01,6.676617289707049,6.676915752625248
2016-08-15,6.676364356488018,6.674876925007473
2016-09-01,6.6686852320788965,6.6686852320788965
2016-09-15,6.697623385329846,6.663273905315209
2016-10-01,6.692853496253145,6.67272152530122
2016-10-15,6.735580153255599,6.703047839584803
2016-11-01,6.717010709988137,6.684248913678229
2016-11-15,6.650901448410633,6.655948215838951
2016-12-01,6.642807243899425,6.383064056764999
2016-12-15,6.648837711772252,6.470538876919828
2017-01-01,6.711791512623095,6.541418322337393
2017-01-15,6.710872678054119,6.541445993272433
2017-02-01,6.709960773684591,6.576508348170308
2017-02-15,6.791406974447403,6.570039397214098
2017-03-01,6.791408202813523,6.6037573604714845
2017-03-15,6.867779438137442,6.722750961194981
2017-04-01,6.861353697393771,6.750390632850896
2017-04-15,6.85805959884089,6.775015211505611
2017-05-01,6.899838328598852,6.794677633103546
2017-05-15,6.907855494294352,6.802743518466312
2017-06-01,6.9176373326995755,6.812276817041749
2017-06-15,6.92138527452351,6.81765089567165
2017-07-01,6.787544980142807,6.366186176791413
2017-07-15,6.787724085786558,6.816029043646575
2017-08-01,6.836934715764452,6.8359675977006775
2017-08-15,6.836416705240865,6.836897821439705
2017-09-01,6.774140160250103,6.8298959598977165
2017-09-15,6.772632156253379,6.828628948792869
2017-10-01,6.7690856058741335,6.824710669043093
2017-10-15,6.757807827177755,6.8128676043607825
2017-11-01,6.733214621992752,6.700884219954262
2017-11-15,6.6702873847601545,6.701332006442114
2017-12-01,6.669712408417967,6.72941128792138
2017-12-15,6.673427278751277,6.762911306234433
2018-01-01,6.750447961988804,6.5534664567841645
2018-01-15,6.813851933094103,6.381191082177448
2018-02-01,6.812846378187989,6.420960528206205
2018-02-15,6.808507341074157,6.419298808372001
2018-03-01,6.803189271207565,6.433390594142882
2018-03-15,6.800368015617292,6.475814638342035
2018-04-01,6.867850748873399,6.545950719111276
2018-04-15,6.864537404259304,6.594152076181791
2018-05-01,6.8575456956748635,6.633594622830933
2018-05-15,6.777732302408008,6.663443156005881
2018-06-01,6.754796997292776,6.679309524299511
2018-06-15,6.738691200772804,6.654225433982608
2018-07-01,6.710208041436984,6.650915155068403
2018-07-15,6.711795988525156,6.5666139786806585
2018-08-01,6.657572333049655,6.6264524243358505
2018-08-15,6.669982120033642,6.61767894313943
2018-09-01,6.684830719386799,6.68912257146834
2018-09-15,6.622178441338406,6.68010108907111
2018-10-01,6.62735883092655,6.686166677355136
2018-10-15,6.630387026869979,6.716637947549198
2018-11-01,6.6356833059358165,6.722600088969929
2018-11-15,6.551343082166565,6.615958856191502
2018-12-01,6.553497742273509,6.619193001538903
2018-12-15,6.559872376923301,6.714023056750559
2019-01-01,6.708808061526229,6.7066961283230855
2019-01-15,6.711231924548906,6.709127768065042
2019-02-01,6.71678028325294,6.494419306649336
2019-02-15,6.716636515704671,6.4934929643904615
2019-03-01,6.73196556785697,6.482112273675873
2019-03-15,6.782866365657102,6.47824577747728
2019-04-01,6.772208707220093,6.59552973763184
2019-04-15,6.766029614012011,6.681731580768337
2019-05-01,6.760818003799332,6.683148747336152
2019-05-15,6.761816639324294,6.709876556220062
2019-06-01,,6.709348194898657
2019-06-15,,6.719636235880574
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
