Date,Rubavu,Ruhengeri
2016-01-01,,
2016-01-15,,6.059614035426265
2016-02-01,,5.992221519814052
2016-02-15,,5.972084278247667
2016-03-01,,5.946184257635977
2016-03-15,,6.16865479115421
2016-04-01,6.3505274176451865,6.3505274176451865
2016-04-15,6.338831556071906,6.356295554316818
2016-05-01,,6.380077795136465
2016-05-15,,6.249512355085702
2016-06-01,,6.245788826595525
2016-06-15,,6.107132564166157
2016-07-01,,6.157332360888703
2016-07-15,,6.133770997056055
2016-08-01,,6.173268809691479
2016-08-15,,6.210808321208268
2016-09-01,,6.257052652046707
2016-09-15,,6.268420499885853
2016-10-01,6.200247670724247,6.331652474601729
2016-10-15,6.197517900692371,6.3194663693278175
2016-11-01,6.2428073674973135,6.435318518671753
2016-11-15,,6.439817401969142
2016-12-01,,6.472322691423477
2016-12-15,,6.472550137670066
2017-01-01,6.405875452209969,6.187817273279038
2017-01-15,6.183324147985908,6.208711954105321
2017-02-01,6.16444142205193,6.2291789679687435
2017-02-15,6.091685186075201,6.260458833047617
2017-03-01,6.152535404976829,6.259850333455934
2017-03-15,6.151329656443653,6.258051642699801
2017-04-01,6.151035932302546,6.253402841152678
2017-04-15,6.151557894242654,6.384660785459621
2017-05-01,6.25945436893988,6.390108061736788
2017-05-15,6.317447137489437,6.395330794306281
2017-06-01,6.319186461615421,6.3969721376803355
2017-06-15,6.266469806298685,6.395356988088534
2017-07-01,6.248852313650454,6.047576051615705
2017-07-15,6.266439758253793,6.164539768770413
2017-08-01,6.341444331428538,6.160488584088879
2017-08-15,6.2895708032772255,6.256489932812973
2017-09-01,6.343557628562012,6.248098183886897
2017-09-15,6.353729891737955,6.2412519083112645
2017-10-01,6.320916067457662,6.23363083040881
2017-10-15,6.288605033587297,6.2355023862255505
2017-11-01,6.2310789071089365,6.244994375170911
2017-11-15,6.261869841202117,6.259788674998292
2017-12-01,6.445019949246934,6.158269843311817
2017-12-15,6.395071592777901,6.158045356678502
2018-01-01,6.44550278363884,6.040736731833174
2018-01-15,6.339168770196058,6.040304680308272
2018-02-01,6.398322519768936,6.011286117483688
2018-02-15,6.095316530794884,5.891147034475059
2018-03-01,6.1583768022964795,5.8858695278639335
2018-03-15,6.188511945939813,5.829566853466542
2018-04-01,6.155967213988995,5.997897915733644
2018-04-15,6.193923108978489,6.040925167031038
2018-05-01,6.2692660683425,6.034473459811091
2018-05-15,6.3091539525461995,6.039343175233221
2018-06-01,6.0091653020292055,6.103328911862708
2018-06-15,5.942215786225738,5.8673270045932275
2018-07-01,6.075861221202065,5.753936125328072
2018-07-15,5.999235081840465,5.7065654678776445
2018-08-01,5.940666749077419,5.916706675330274
2018-08-15,5.963512142491708,5.992846130605414
2018-09-01,5.910850307619926,6.035329222014908
2018-09-15,5.887764933429515,6.021894233396215
2018-10-01,5.934024073803191,5.99956668309799
2018-10-15,6.011883621748981,6.000099875326919
2018-11-01,5.9984734940493025,5.997390656910471
2018-11-15,6.061563160898026,6.050275201124174
2018-12-01,6.0102314541191575,6.123328952279136
2018-12-15,6.038944013384596,6.123331405662144
2019-01-01,6.000480185945827,6.000480185945827
2019-01-15,5.92525732648596,5.868444467091552
2019-02-01,5.919927276580723,5.952488292630035
2019-02-15,5.992831520120446,5.98628842153151
2019-03-01,5.9215112981320805,5.975456961023795
2019-03-15,5.907984762102577,5.962419968657595
2019-04-01,5.955982246065133,6.015043960556395
2019-04-15,6.0191694960574775,6.064654850451594
2019-05-01,5.936512306067896,6.0535493513875585
2019-05-15,5.8864359900717345,6.053942461080548
2019-06-01,6.051346186521179,6.0750159306070834
2019-06-15,6.0509088996823,5.933375583093265
2019-07-01,6.056175482193793,6.043318161974349
2019-07-15,6.06141447306415,6.142361748868113
2019-08-01,6.002371348759317,6.005459359447893
2019-08-15,,5.901329177417885
2019-09-01,,5.886382290661799
2019-09-15,,5.97516682476429
2019-10-01,,5.883160292742626
2019-10-15,,5.851819844084738
2019-11-01,,5.8423984408812535
2019-11-15,,6.146068853697659
2019-12-01,,6.173184236902974
2019-12-15,,6.404687478052265
2020-01-01,,6.361402550264024
2020-01-15,,6.374581059884107
2020-02-01,,6.1339126362517336
2020-02-15,,6.078959818364267
