Date,Busia,Soroti
2016-01-01,5.442819559302515,
2016-01-15,5.368390731264161,
2016-02-01,5.367908856384362,
2016-02-15,5.351975757904964,
2016-03-01,5.328980718580166,
2016-03-15,5.402413493497336,
2016-04-01,5.499568265555266,
2016-04-15,5.533521247132916,
2016-05-01,5.554348883772717,
2016-05-15,5.624919297368462,
2016-06-01,5.654594186213162,
2016-06-15,5.655251409158446,
2016-07-01,5.74055434548759,
2016-07-15,5.7112072009785875,
2016-08-01,5.7638030947339844,
2016-08-15,5.612515317093071,
2016-09-01,5.566786906099898,
2016-09-15,5.697072309837952,
2016-10-01,5.700987244766897,
2016-10-15,5.688592229992797,
2016-11-01,5.697319423884363,
2016-11-15,5.636170643723225,
2016-12-01,5.6194313433579515,
2016-12-15,5.629948896936181,
2017-01-01,5.714692616025398,
2017-01-15,5.80807891460058,
2017-02-01,5.76549916484374,
2017-02-15,5.752193689028138,5.635845373847415
2017-03-01,5.76315459508666,5.632550871001215
2017-03-15,5.861196332657981,5.791608808453554
2017-04-01,5.928837110631458,5.862824867282645
2017-04-15,6.079054370053745,5.927802490107859
2017-05-01,6.083893311057493,5.919009075587126
2017-05-15,5.980881500846523,5.822576736495707
2017-06-01,6.01459182757544,5.7967794350841455
2017-06-15,5.688290027834117,5.630280035160463
2017-07-01,5.474777111293995,5.430325348723161
2017-07-15,5.462532472239282,5.407508770743049
2017-08-01,5.416722136441101,5.30802271951776
2017-08-15,5.477651372541887,5.366866266073148
2017-09-01,5.480279080286579,5.383759991607632
2017-09-15,5.433135781583236,5.41348878419944
2017-10-01,5.450898467104721,5.324971673865417
2017-10-15,5.44403246461266,5.342936347741292
2017-11-01,5.411591328899088,5.289075440965589
2017-11-15,5.281738231253175,5.154315200331731
2017-12-01,5.235077220363793,5.076987976957607
2017-12-15,5.241253311880692,5.1529607047350146
2018-01-01,5.357897063254608,5.214152304588466
2018-01-15,5.3907923781495715,5.149262200584922
2018-02-01,5.347322780520523,4.993362360945079
2018-02-15,5.258887923850967,5.187258267711711
2018-03-01,5.254202785427384,5.179917146043915
2018-03-15,5.186003984847137,5.178569006359618
2018-04-01,5.136607962555095,5.126191201696839
2018-04-15,5.285397988508652,5.047672013900172
2018-05-01,5.2114667656400835,5.039616508713424
2018-05-15,5.197853192215453,5.111724038485514
2018-06-01,4.985817556396541,5.029877546190572
2018-06-15,5.09438446268788,4.831482419234586
2018-07-01,5.025513391645289,4.829302722690667
2018-07-15,5.041170232632022,4.767474402154981
2018-08-01,4.888397134079656,4.770614098423273
2018-08-15,4.916389067603962,4.649584580173736
2018-09-01,4.9122411662664645,4.637137876021543
2018-09-15,4.785862950560118,4.630512510540956
2018-10-01,4.85034721833305,4.6322584376804645
2018-10-15,4.9101258398461045,4.8908326369114254
2018-11-01,5.09637269505928,4.898050796918883
2018-11-15,5.065030317949494,4.89896928202732
2018-12-01,4.9922619316572865,4.853675768371139
2018-12-15,5.020243995882708,4.862754414789935
2019-01-01,5.177463538409615,4.901099290890496
2019-01-15,5.228470645496867,5.029341970386531
2019-02-01,5.28346871561634,5.109427877309861
2019-02-15,5.367156127707497,5.1775794000323705
2019-03-01,5.281200919368427,5.165598909658404
2019-03-15,5.315883093287069,5.193098072738031
2019-04-01,5.353189561812566,5.210398843775247
2019-04-15,5.587374617670365,5.269517842096371
2019-05-01,5.789448942038557,5.265551236705213
2019-05-15,5.629726330391688,5.523688078347364
2019-06-01,5.520799860898352,5.322017027050325
2019-06-15,5.546362418443445,5.532984292497268
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
