Date,Masindi,Lira
2016-01-01,5.275479556124178,5.366612950491872
2016-01-15,5.112551408384965,5.30793631125862
2016-02-01,5.193232940612374,5.24560092612969
2016-02-15,5.262470614036932,5.261221394636499
2016-03-01,5.291061483717872,5.261647598511579
2016-03-15,5.3013633293406315,5.310124528397276
2016-04-01,5.360002190382771,
2016-04-15,5.384874158522637,
2016-05-01,5.385272553728783,
2016-05-15,5.488427863115462,5.483474905986613
2016-06-01,5.501279277433299,5.558112752196465
2016-06-15,5.500265656213766,5.56077560570624
2016-07-01,5.485513885498625,5.544043778281912
2016-07-15,5.4884566541889885,5.461575991408508
2016-08-01,5.453558019490573,5.424749442858798
2016-08-15,5.35787309871949,5.430710422671757
2016-09-01,5.351244553914868,5.446757183360536
2016-09-15,5.47078410184427,5.495092542320812
2016-10-01,5.462935610364402,5.462935610364402
2016-10-15,5.445999762404194,5.498694879390385
2016-11-01,5.546659148996874,5.566337780437899
2016-11-15,5.552289159742523,5.645161305019418
2016-12-01,5.544493151148241,5.666441619783687
2016-12-15,5.549632479119975,5.648656233870946
2017-01-01,5.54674686835175,5.641164589373055
2017-01-15,5.595701695395968,5.687556151203077
2017-02-01,5.642371381028475,5.643174916628158
2017-02-15,5.635845373847415,5.680787899564776
2017-03-01,5.675177687462979,5.773714355301663
2017-03-15,5.868849431235698,5.934618135666965
2017-04-01,5.897916187093915,5.933007506905185
2017-04-15,5.893859837756065,6.026466018286832
2017-05-01,5.886718728325191,6.043960600722122
2017-05-15,5.959743895809117,5.989325119826692
2017-06-01,6.00134660082542,5.995775555775965
2017-06-15,6.005981854153889,5.718299781702108
2017-07-01,5.535290529329386,5.377574783337632
2017-07-15,5.312198590938724,5.319578698236347
2017-08-01,5.368581761113166,5.309136925761163
2017-08-15,5.368956130992608,5.423792202869158
2017-09-01,5.41895718941226,5.437557823581809
2017-09-15,5.3563303703594904,5.41348878419944
2017-10-01,5.294200015198664,5.294200015198664
2017-10-15,5.280381673081202,5.281513535114885
2017-11-01,5.1520064984226215,5.254786367486957
2017-11-15,5.074272492658195,5.154315200331731
2017-12-01,5.074221723464717,5.120237960751424
2017-12-15,5.078458177437094,5.1529607047350146
2018-01-01,5.068819317163852,5.138928883350879
2018-01-15,5.074360892411804,5.149262200584922
2018-02-01,5.149232731651864,5.090860725429956
2018-02-15,5.146848729373835,5.211709363575876
2018-03-01,5.139302426889725,5.172426474314758
2018-03-15,5.132759470328324,5.068220949190753
2018-04-01,5.126191201696839,5.075173427355114
2018-04-15,5.123795709372973,5.058908087167098
2018-05-01,5.116156585835759,5.001985440495777
2018-05-15,5.111724038485514,5.0517605737179565
2018-06-01,5.093877129023532,5.024113841473822
2018-06-15,5.072644476051474,5.03912178401283
2018-07-01,5.067713746135665,4.999311019251264
2018-07-15,4.544330850840772,4.544330850840772
2018-08-01,4.492688200916857,4.549307094916364
2018-08-15,4.478766847861266,4.649584580173736
2018-09-01,4.464766650080757,4.607183514384922
2018-09-15,4.491005807556552,
2018-10-01,4.516574038681002,4.516574038681002
2018-10-15,4.641371777279842,4.705910298417414
2018-11-01,4.752465479950549,4.8450582667783735
2018-11-15,4.760818943546503,4.955410592932272
2018-12-01,4.853675768371139,4.912709299955332
2018-12-15,4.86609331605545,4.86609331605545
2019-01-01,4.942049894503591,5.0220926021771275
2019-01-15,4.946942438619464,5.126191796376449
2019-02-01,5.033716055574165,5.042107713210414
2019-02-15,5.23877496105929,5.300741684808489
2019-03-01,5.227376269354647,5.24564161733194
2019-03-15,5.223509773156054,5.09063649177608
2019-04-01,5.303592620673194,5.369189903159008
2019-04-15,5.5467516479293515,5.528341086086172
2019-05-01,5.564680694997345,5.526565062074832
2019-05-15,5.520292489346226,5.520292489346226
2019-06-01,5.4791271644977835,5.500180573695616
2019-06-15,5.539695727085255,5.572593430592314
2019-07-01,5.4441263027399,5.557937156774589
2019-07-15,,5.543062877486357
2019-08-01,,5.205586216300784
2019-08-15,5.086228299901257,5.086228299901257
2019-09-01,5.075033286849828,4.899548464547578
2019-09-15,5.223319935534699,5.280730842748038
2019-10-01,5.393261828560937,5.387498123844186
2019-10-15,5.387802892630971,5.4181082421263
2019-11-01,5.481495533484364,5.481495533484364
2019-11-15,5.527281855864189,5.482981596967608
2019-12-01,5.531926066476241,5.528609313850247
2019-12-15,5.534926599493717,5.531620811359218
2020-01-01,5.613902240403721,5.6047138143493145
2020-01-15,5.133041133779092,5.128102852138509
2020-02-01,5.207854515918085,5.207854515918085
2020-02-15,5.269516812452338,5.269516812452338
