Date,Tororo,Busia
2016-01-01,6.296387032703314,6.484273434130676
2016-01-15,6.320586014466734,6.5097193815338565
2016-02-01,6.344213214797799,6.487370746174096
2016-02-15,6.363161473397284,6.480575301000738
2016-03-01,6.481904996602015,6.54795668949815
2016-03-15,6.429551051454128,6.549507351979704
2016-04-01,,6.504827322206012
2016-04-15,,6.544519930548691
2016-05-01,,6.333078952381815
2016-05-15,6.1874863909384645,6.351968029604088
2016-06-01,6.2517202319590135,6.348159339610958
2016-06-15,6.357125011186533,6.326456781179954
2016-07-01,6.342784438973655,6.30475379309067
2016-07-15,6.3932870748988515,6.336876534329248
2016-08-01,6.388736192476026,6.333496132248131
2016-08-15,6.47410698873742,6.44080757466837
2016-09-01,6.512793301594033,6.459829224395914
2016-09-15,6.547504969030527,6.5521888183429535
2016-10-01,6.541587156469973,6.557256755296448
2016-10-15,6.441994004612874,6.472967513574678
2016-11-01,6.374409866289913,6.362495507720011
2016-11-15,6.294226504471901,6.358446097206194
2016-12-01,6.289492503883714,6.477459806090242
2016-12-15,6.394385161243428,6.52600340998999
2017-01-01,6.540097754301309,6.527799111664322
2017-01-15,6.577578956256621,6.521873300117559
2017-02-01,6.6115778845739985,6.5682621866316495
2017-02-15,6.638905517956219,6.755208606620563
2017-03-01,6.641214923006386,6.8144264820429035
2017-03-15,6.825240168977693,6.836408044213878
2017-04-01,6.834685450311611,6.763172859837966
2017-04-15,6.843377829081585,6.755151279648352
2017-05-01,6.848876293235224,6.757273450876662
2017-05-15,6.55213886379743,6.5686053536510105
2017-06-01,6.319800331943955,6.45524907719179
2017-06-15,6.32383068556651,6.335859699897743
2017-07-01,6.367735363778243,6.39597073814894
2017-07-15,6.368444483235205,6.452166065288748
2017-08-01,6.363348068111329,6.478555173605915
2017-08-15,6.402890709992056,6.474503260213176
2017-09-01,6.39953937633255,6.490188802656174
2017-09-15,6.51408323407154,6.587247809928879
2017-10-01,6.510595339523157,6.499956941318101
2017-10-15,6.421128797400659,6.395096163241861
2017-11-01,6.29596660706919,6.283574874774027
2017-11-15,6.203880881695268,6.212372552833423
2017-12-01,6.222371379818112,6.209992795585473
2017-12-15,6.296693428683594,6.35076064995387
2018-01-01,6.286661969353938,6.306302535228485
2018-01-15,6.293222309231491,6.359145339474154
2018-02-01,6.338144228160699,6.384164618504159
2018-02-15,6.493716170514268,6.585852906913254
2018-03-01,6.524300611548169,6.583474574587587
2018-03-15,6.520355067806187,6.551717638267006
2018-04-01,6.644707197559189,6.564760051068772
2018-04-15,6.542805529109412,6.562364558744907
2018-05-01,,6.631283818798617
2018-05-15,6.30130810535935,6.258538428971502
2018-06-01,6.00530430091895,6.057030870876536
2018-06-15,6.022433748000113,6.0213704836787825
2018-07-01,6.06290222022528,5.955502967877606
2018-07-15,5.986883014610757,5.960273905882792
2018-08-01,6.050321702162092,5.956033494853461
2018-08-15,6.0338106882295675,6.056329551764917
2018-09-01,6.0801275808179795,6.05218165042742
2018-09-15,6.1204853011356875,6.133655764325432
2018-10-01,6.126011951115102,6.126954902622973
2018-10-15,6.024536245390805,6.132401458663641
2018-11-01,5.911409693228261,5.996663085586993
2018-11-15,5.921652255211821,5.94231889202038
2018-12-01,5.924889082851135,6.041642782338404
2018-12-15,6.0478205114340655,6.064048048055822
2019-01-01,6.146022698829527,6.19304763747439
2019-01-15,6.246782991763333,6.266651194980059
2019-02-01,6.253849702009266,6.4511225008960125
2019-02-15,6.359961571765939,6.477744607422322
2019-03-01,6.372508573657649,6.470879912437218
2019-03-15,6.364233547174291,6.490652074375765
2019-04-01,6.530603093066148,6.551501210703764
2019-04-15,6.496239502871641,6.604173346422462
2019-05-01,,6.590809707238734
2019-05-15,,6.5736796800094
2019-06-01,6.385439196322043,6.473166649246316
2019-06-15,6.468615407132018,6.457991137211788
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
