Date,Rubavu,Ngozi
2016-01-01,,6.408598092521518
2016-01-15,,6.460386571184393
2016-02-01,,6.406835352772732
2016-02-15,,6.391840125994663
2016-03-01,,6.296030483522933
2016-03-15,,6.273848186888247
2016-04-01,,6.294783285108781
2016-04-15,,6.392427514520984
2016-05-01,,6.388299461503785
2016-05-15,,6.269464588382725
2016-06-01,,6.372081429814081
2016-06-15,,6.3003969465061225
2016-07-01,,6.120506342938995
2016-07-15,,6.295020733579091
2016-08-01,,6.519673742875945
2016-08-15,,6.4416763881801264
2016-09-01,,6.519407263256823
2016-09-15,,6.5203903538998285
2016-10-01,6.34489770135175,6.682205652188828
2016-10-15,6.3421679313198736,6.670113371590146
2016-11-01,6.395630933104224,6.65424869187546
2016-11-15,,6.6416697947296495
2016-12-01,,6.553897505127037
2016-12-15,,6.54101188514996
2017-01-01,6.584792336454371,6.449479519531361
2017-01-15,6.547854591864949,6.414818536217622
2017-02-01,6.5318861881747186,6.378461541908261
2017-02-15,6.518960010477914,6.37080326022368
2017-03-01,6.519349852768001,6.368019960333542
2017-03-15,6.51727125048782,6.5124627296421265
2017-04-01,6.515200872002222,6.445954217953043
2017-04-15,6.5183723420338255,6.516549320956398
2017-05-01,6.522197493044409,6.506867652509703
2017-05-15,6.5992709623728505,6.591508875447241
2017-06-01,6.615622602227117,6.446628082758299
2017-06-15,6.624132729899538,6.5192746885441135
2017-07-01,6.6035974839484,6.447677623603061
2017-07-15,6.6039670327783915,6.363567750828419
2017-08-01,6.597598123626217,6.433842118035297
2017-08-15,6.4491489048398485,6.4275111757103085
2017-09-01,6.430693375926778,6.4123364946585975
2017-09-15,6.5508593413920115,6.475870163674145
2017-10-01,6.580728422408959,6.538860792629208
2017-10-15,6.508189158560936,6.538421125648342
2017-11-01,6.554423188437402,6.5368254892133475
2017-11-15,6.5968559726308165,6.4744889398395555
2017-12-01,6.526889926736144,6.324049000489821
2017-12-15,6.572479134769426,6.243342928811339
2018-01-01,6.529946765123225,6.24830284061415
2018-01-15,6.5229116076737395,6.254981189231674
2018-02-01,5.9840661462496,6.341947216020505
2018-02-15,5.768230362298932,6.2575397613385135
2018-03-01,5.795127212715662,6.209293439928298
2018-03-15,5.814299381335753,6.256656369479209
2018-04-01,5.835254615860732,6.2519820663493
2018-04-15,5.857796833267144,6.248467125921177
2018-05-01,5.850939046591927,6.328791157959663
2018-05-15,5.857831007394825,6.336530152203006
2018-06-01,5.775992635245796,6.257008302039652
2018-06-15,5.847694472186107,6.166247054816765
2018-07-01,5.80584398493009,6.171137041944937
2018-07-15,5.86722552789042,6.1250332800597125
2018-08-01,5.9485275419413535,6.123522895804605
2018-08-15,5.887961352349519,6.1882842611437505
2018-09-01,5.910850307619926,6.2924006772408445
2018-09-15,5.8781494747300735,6.295316360728404
2018-10-01,5.866342462953229,6.387876194715173
2018-10-15,5.866568482702396,6.378183745218629
2018-11-01,5.907913917003576,6.287855932293237
2018-11-15,6.0016398237362605,6.376599142127626
2018-12-01,6.093008781271864,6.376599142127626
2018-12-15,5.870364084442938,6.325567986637661
2019-01-01,5.916435289921294,6.273903548211585
2019-01-15,5.870928940419215,6.2773116492901835
2019-02-01,6.115750652808549,6.2855694964183035
2019-02-15,6.1494635907990896,6.277072728548387
2019-03-01,6.096880335611153,6.347985114597247
2019-03-15,6.0897233984486645,6.296328635334328
2019-04-01,6.0488759929578295,6.367343755987394
2019-04-15,6.171397809303818,6.363649852873486
2019-05-01,6.064435159032809,6.3643035657296
2019-05-15,6.033841281759462,6.247958681786288
2019-06-01,6.055330255536053,6.304647976523542
2019-06-15,6.116633031392125,6.159546039756805
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
