Date,Kampala,Kisumu
2016-01-01,5.470728347419592,5.663050592336632
2016-01-15,5.458969852156508,5.665145711442798
2016-02-01,5.460547710239721,5.632303455607044
2016-02-15,5.456993749154578,5.658435682791919
2016-03-01,5.428510313927199,5.650460467056651
2016-03-15,5.430104293642521,5.6453157285155475
2016-04-01,5.461639567537767,5.644411917069104
2016-04-15,5.566097417567529,5.661726557228723
2016-05-01,5.567228546636379,5.662286980255242
2016-05-15,5.595170821967687,5.655378637757975
2016-06-01,5.611889148977269,5.650149312952401
2016-06-15,5.612619207362562,5.645324684896288
2016-07-01,5.911840245564505,5.642164336412144
2016-07-15,5.6792556011719855,5.792136561535243
2016-08-01,5.54276441635688,5.791749730263689
2016-08-15,5.534623610463989,5.700689398665549
2016-09-01,5.533937237081611,5.637962998629512
2016-09-15,5.58418308839212,5.6348541569084265
2016-10-01,5.633328596293082,5.710523285267847
2016-10-15,5.653388594799817,5.624883450128195
2016-11-01,5.7656386678618405,5.682552025271533
2016-11-15,5.733866391976621,5.768359647969329
2016-12-01,5.728602018516291,5.763139938819203
2016-12-15,5.735801902138559,5.756721464185711
2017-01-01,5.731147736751843,5.7460122319439355
2017-01-15,5.7298585308937655,5.725842173754239
2017-02-01,5.730052415847992,5.718796031024982
2017-02-15,5.726010375083201,5.846394202277281
2017-03-01,5.720502665874353,6.070165435692222
2017-03-15,5.811989948718504,6.057741573514864
2017-04-01,5.790089578940895,6.045890772185865
2017-04-15,5.958899158256917,6.089215612692157
2017-05-01,6.102029828334253,6.217219775604103
2017-05-15,6.109099196459389,6.2257699620812135
2017-06-01,6.033060576314948,6.230121695754557
2017-06-15,5.798513035977917,6.234106630229812
2017-07-01,5.676134973936596,6.236415078500186
2017-07-15,5.719883455785202,6.050020259012001
2017-08-01,5.623736305825427,5.940367478789689
2017-08-15,5.528757383475383,5.832822456095262
2017-09-01,5.6189089775824845,5.838244418011139
2017-09-15,5.7011708566512205,5.838868489147492
2017-10-01,5.5896642280924995,5.789942314452403
2017-10-15,5.600378535003355,5.791097344948546
2017-11-01,5.4036072545508675,5.7086395710418545
2017-11-15,5.508936755458621,5.70524108700508
2017-12-01,5.400951363887112,5.700392527317466
2017-12-15,5.405414085303052,5.690898990958889
2018-01-01,5.341019025467256,5.684368097814075
2018-01-15,5.398856937986302,5.680491409799482
2018-02-01,5.398827469053243,5.691082366106241
2018-02-15,5.501201391272897,5.684141831656925
2018-03-01,5.331933353342541,5.6772491363872915
2018-03-15,5.3284461754094945,5.67054198068604
2018-04-01,5.320655145316519,5.7977690060576865
2018-04-15,5.37278049187107,5.8004367831431525
2018-05-01,5.307211822598467,5.795637037213054
2018-05-15,5.245255431110037,5.664432241620108
2018-06-01,5.225047245462376,5.663199000270156
2018-06-15,4.918493796224216,5.670535494594354
2018-07-01,4.922703897779067,5.672169642394061
2018-07-15,5.235160533260355,5.5193370956035475
2018-08-01,5.110232640733851,5.339466838321893
2018-08-15,5.090235997406944,5.330396879833921
2018-09-01,4.840078720018234,5.57220467577263
2018-09-15,4.734190940015797,5.576181823223533
2018-10-01,4.743484072790689,5.512297429154828
2018-10-15,4.837486656206132,5.513197636284299
2018-11-01,4.929799495233464,5.50906930611186
2018-11-15,5.097291180167716,5.497361205268572
2018-12-01,5.098210509666667,5.4941026261324355
2018-12-15,4.949208222765956,5.492361773658002
2019-01-01,5.167659538312995,5.497380728947945
2019-01-15,5.267067944995011,5.493305968234323
2019-02-01,5.302970958847781,5.5026258697830075
2019-02-15,5.359091567870766,5.4982612581313735
2019-03-01,5.344647141107389,5.490638447723022
2019-03-15,5.340780644908796,5.480054606088573
2019-04-01,5.3849382601271465,5.476130764378098
2019-04-15,5.40823271379379,5.617958333492258
2019-05-01,5.864484127981471,5.627142276829259
2019-05-15,5.834407818866163,5.622291851820194
2019-06-01,5.867905353820933,5.754895150102365
2019-06-15,5.700038377160435,5.611646995814282
2019-07-01,5.615845094691474,5.71649165163099
2019-07-15,,5.811379566268726
2019-08-01,5.422650721538611,5.812096736701151
2019-08-15,5.223026601671128,
2019-09-01,5.253389207250436,5.813529536407596
2019-09-15,5.285013504540038,5.813621665459461
2019-10-01,5.336103414720988,5.810214935358393
2019-10-15,5.3565503491268665,5.810849444504627
2019-11-01,5.481495533484364,
2019-11-15,5.510474737547807,
2019-12-01,5.528609313850247,
2019-12-15,5.578517035568579,
2020-01-01,5.615425469944242,
2020-01-15,5.432963261125375,
2020-02-01,5.383303193424278,5.815279771312942
2020-02-15,5.269516812452338,5.809329647824573
