Date,Masindi,Lira
2016-01-01,,5.7855614089373235
2016-01-15,,5.742540875549595
2016-02-01,,5.697586049872747
2016-02-15,,5.693003811062038
2016-03-01,,5.830460479927918
2016-03-15,6.177429259904277,5.832325814498507
2016-04-01,6.1779149786102305,
2016-04-15,6.203216766657812,
2016-05-01,6.179494764568006,
2016-05-15,6.130905644493703,5.839752551549044
2016-06-01,6.194913668721518,5.873044467095622
2016-06-15,6.193412836773711,5.9186424995408276
2016-07-01,6.179648720459842,6.052443348791168
2016-07-15,6.182094873305326,6.120334358693267
2016-08-01,6.177661241496442,6.099991985033262
2016-08-15,6.178142286718774,6.050464569345713
2016-09-01,6.226156343329002,5.861624644147091
2016-09-15,6.221308394987518,5.895743004633436
2016-10-01,6.213213755990568,6.027620403803121
2016-10-15,6.194689712562842,6.043536116767811
2016-11-01,6.173519819667611,6.0394367028911615
2016-11-15,6.140075824644642,6.245436340302469
2016-12-01,6.133074570711704,6.286515678381184
2016-12-15,6.142251262294685,6.350628180886328
2017-01-01,6.134632646193144,6.379927451160935
2017-01-15,6.264355423921132,6.423005711453711
2017-02-01,6.379166142370841,6.337526191252908
2017-02-15,6.372391869941915,6.284467475365949
2017-03-01,6.393507427294286,6.326504178166685
2017-03-15,6.449836239932684,6.403282379341532
2017-04-01,6.442286155887745,6.441571359574251
2017-04-15,6.438389706434408,6.511475288150438
2017-05-01,6.612455971419808,6.543291845062377
2017-05-15,6.62002426828871,6.551180550355619
2017-06-01,6.365989714413329,6.488903597652056
2017-06-15,6.4527123174634795,6.4923421122342475
2017-07-01,6.6327158742379675,6.064976322601498
2017-07-15,6.6342506833302615,6.0042340426459795
2017-08-01,6.62896068518407,5.999496259519676
2017-08-15,6.627369672143493,5.865483781999095
2017-09-01,6.620159360657688,6.08201182847926
2017-09-15,6.618651356660965,6.0794849756934335
2017-10-01,6.58143835029827,6.018118854425363
2017-10-15,6.570147672170397,6.006939533632155
2017-11-01,6.574369305791731,5.50906796558977
2017-11-15,6.574019539333248,5.689458131748428
2017-12-01,6.569954148308811,5.909176205953044
2017-12-15,6.202077452308745,6.039056534663201
2018-01-01,6.193168320476011,5.935872857592468
2018-01-15,6.293222309231491,5.97497381156673
2018-02-01,6.293192840298432,6.03517053161397
2018-02-15,6.290808838020404,6.0610754770271384
2018-03-01,6.327872237746034,6.083188164709767
2018-03-15,6.323362040091088,6.0788112493633095
2018-04-01,6.357025125107407,5.966358238098193
2018-04-15,6.354629632783541,6.009249335412577
2018-05-01,6.500475312463859,6.000359003158413
2018-05-15,6.49934027686332,5.970295975445936
2018-06-01,6.36684280483642,5.636013349760887
2018-06-15,6.347147431183248,5.730847500225399
2018-07-01,6.340348788783034,5.647201608223089
2018-07-15,5.866086690823091,5.455050537665471
2018-08-01,6.050321702162092,5.359217423231947
2018-08-15,6.0338106882295675,5.342731760733681
2018-09-01,6.264743092411093,5.330285056581489
2018-09-15,6.259917808488924,5.521269940409946
2018-10-01,6.266593901736292,5.529888746837217
2018-10-15,6.2689769936693915,5.530633836766078
2018-11-01,6.27462060814678,5.538205447338319
2018-11-15,6.1471133046663935,5.604937151016327
2018-12-01,6.096739339777794,5.550195633409724
2018-12-15,6.049863413063866,5.55590159534988
2019-01-01,6.094729404441977,5.638278741600945
2019-01-15,6.099299003294265,5.64008961917941
2019-02-01,6.107682547035447,5.647990256047452
2019-02-15,6.105453272996156,5.72463396209482
2019-03-01,6.285230565550589,5.713946972747484
2019-03-15,6.280563749181227,5.669612526996045
2019-04-01,6.292598102802026,5.70054703911345
2019-04-15,6.308006842048808,5.770226819210122
2019-05-01,6.339744998025177,5.895328803332569
2019-05-15,6.345481858979227,5.925757597454391
2019-06-01,6.344497805944682,5.869106555166567
2019-06-15,6.359873281253265,5.8529673097373704
2019-07-01,6.360684890580913,5.854203198901352
2019-07-15,,5.855437562528509
2019-08-01,6.3623061357761745,5.446748273117672
2019-08-15,6.032433588346935,5.3392864077869895
2019-09-01,6.033179779515269,5.39516466965004
2019-09-15,6.0322279063702595,5.446463486848908
2019-10-01,6.029250595280933,5.623278259162909
2019-10-15,5.843278421313797,5.530903736271644
2019-11-01,6.021947850459032,5.615463893561765
2019-11-15,6.021978097700296,5.616512989592131
2019-12-01,6.019977765593679,5.614512657485514
2019-12-15,6.025751556553039,5.437964891650919
2020-01-01,6.020383092631721,5.613902240403721
2020-01-15,6.022370671925227,5.696169394591656
2020-02-01,5.903282199176756,5.431910892489655
2020-02-15,5.902977771961809,5.481438839022584
