Date,Kampala,Tororo
2016-01-01,6.003333416449622,
2016-01-15,6.007031667686231,
2016-02-01,6.023765894143638,
2016-02-15,,
2016-03-01,6.056416972618743,
2016-03-15,6.062626852386032,
2016-04-01,6.09072285150714,
2016-04-15,6.139226924669675,
2016-05-01,6.144191047856933,
2016-05-15,6.181575043675408,6.185519821966424
2016-06-01,6.134167266475048,6.073898430220707
2016-06-15,6.131081105653541,6.068477088366464
2016-07-01,6.085522439767753,6.060260250682779
2016-07-15,5.988219344105672,5.990600297611413
2016-08-01,6.011723901415866,5.984066945929966
2016-08-15,6.04544923422998,6.003388257527522
2016-09-01,6.0455047006442335,
2016-09-15,6.1061937291492265,
2016-10-01,6.15657674005763,
2016-10-15,6.135130873309249,6.077143615658899
2016-11-01,6.122531294927363,6.019229611621754
2016-11-15,6.140075824644642,5.957754267850688
2016-12-01,6.158082002828329,5.992409450916572
2016-12-15,6.19681024654512,
2017-01-01,6.242566656293172,
2017-01-15,6.336532113449884,
2017-02-01,6.286929341858527,
2017-02-15,6.233440409848054,
2017-03-01,6.303271015773716,
2017-03-15,6.367273182820459,
2017-04-01,6.31628120553039,
2017-04-15,,
2017-05-01,,
2017-05-15,,6.310628435613145
2017-06-01,,6.316157340665454
2017-06-15,,6.125979730139825
2017-07-01,5.939568693678022,5.761986482247964
2017-07-15,5.941103502770316,5.798048228634538
2017-08-01,5.934920514536505,5.866523058369317
2017-08-15,5.900443646822555,5.865483781999095
2017-09-01,5.930573014720752,5.858104237907202
2017-09-15,5.887946763794555,5.829480305294592
2017-10-01,5.840978656373405,5.779707830980365
2017-10-15,5.767369358556267,5.767369358556267
2017-11-01,5.771640296084297,5.690036036952649
2017-11-15,5.770193600100865,5.692456634744684
2017-12-01,5.7673689040246625,5.689631938668482
2017-12-15,5.771605357997039,5.771605357997039
2018-01-01,5.797635573930532,5.759169293102736
2018-01-15,5.76750807297175,5.76750807297175
2018-02-01,5.839799265618317,5.805630370003067
2018-02-15,5.837415263340288,5.834827939775338
2018-03-01,5.863064243269277,5.832449607449671
2018-03-15,5.898711691261576,5.8717161869195635
2018-04-01,6.011644827736443,5.9515600169992435
2018-04-15,6.039038772214684,6.0114068335525985
2018-05-01,6.030339835370349,6.030339835370349
2018-05-15,6.112200288881037,6.102425039976394
2018-06-01,6.038338737864384,6.038338737864384
2018-06-15,5.927760984556476,5.798226932364573
2018-07-01,5.877725266834921,5.769091425832126
2018-07-15,5.866086690823091,5.722985847182417
2018-08-01,5.803379821293796,5.724427269620517
2018-08-15,5.78338317796689,5.71029759625086
2018-09-01,5.771224552883313,5.823455745108759
2018-09-15,6.014703821464067,5.896394331465438
2018-10-01,6.075711212640304,5.9646022840716135
2018-10-15,6.078438463773156,5.995917440085153
2018-11-01,6.135021518959832,6.028411783901574
2018-11-15,6.093868790147582,6.039693056045557
2018-12-01,6.148032634165344,6.042672118507518
2018-12-15,6.154407268815136,6.0478205114340655
2019-01-01,6.194812862998959,6.125441991129507
2019-01-15,6.246782991763333,6.150301557746637
2019-02-01,6.253849702009266,6.208040165977971
2019-02-15,6.297009093784002,6.251620427969974
2019-03-01,6.288425456447108,6.241069669764819
2019-03-15,6.323656981542247,6.25870937878719
2019-04-01,6.357432088559859,6.350019156170734
2019-04-15,6.463373999770067,6.407463052176407
2019-05-01,6.545509948009071,6.523314215617287
2019-05-15,6.559342516862992,6.5275549994261075
2019-06-01,6.558645794350314,6.526819362738636
2019-06-15,6.546114490297316,6.407330065106544
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
