Date,Ngozi,Kigali
2016-01-01,6.408598092521518,6.60766588664732
2016-01-15,6.17296067908498,6.610654572924529
2016-02-01,6.319639708521345,6.527022138629751
2016-02-15,6.5390410163793495,6.442398033096756
2016-03-01,6.428206556310445,6.452704987440505
2016-03-15,6.525570279259593,6.4211218419049745
2016-04-01,6.32987460492005,6.3818572677861045
2016-04-15,6.338539633279884,6.41215791168947
2016-05-01,6.3075833984752,6.417968668847862
2016-05-15,6.146254130990976,6.395864436139286
2016-06-01,5.992716020139272,6.4089058284778835
2016-06-15,5.997327721868091,6.4016191643122715
2016-07-01,6.056654870952463,6.378190424051511
2016-07-15,6.295020733579091,6.356308915970608
2016-08-01,6.288037203515295,6.342013303231424
2016-08-15,6.286532413014185,6.3408838873316
2016-09-01,6.28546680291197,6.330911713184831
2016-09-15,6.291204488129656,6.3556792310702805
2016-10-01,6.342498594337777,6.439363167604508
2016-10-15,6.334582976338297,6.480043589115258
2016-11-01,6.413760208119562,6.474282247601098
2016-11-15,6.486386360958224,6.47109870135023
2016-12-01,6.553580195906542,6.524600555311195
2016-12-15,6.6150971596926045,6.5255426678105755
2017-01-01,6.566956417117085,6.475499345730819
2017-01-15,6.4155079536871895,6.4639965817871365
2017-02-01,6.458610785564427,6.451213162169567
2017-02-15,6.451861115047146,6.443533324611391
2017-03-01,6.384879124484967,6.442376201211883
2017-03-15,6.278673953042564,6.436966041172141
2017-04-01,6.404985027843036,6.440075778214787
2017-04-15,6.277424726981507,6.463288771472494
2017-05-01,6.071988659195245,6.442049560979761
2017-05-15,6.081335537032618,6.462544947443345
2017-06-01,5.824231758316204,6.403458646909942
2017-06-15,5.959354995424768,6.41471937139723
2017-07-01,6.081842310265665,6.475176050086961
2017-07-15,6.074938260020598,6.446638099291727
2017-08-01,6.06897448271076,6.459817760557138
2017-08-15,6.059859588631684,6.438948204351826
2017-09-01,6.149972230191106,6.430693375926778
2017-09-15,6.1448220034675645,6.422478174743804
2017-10-01,6.230014936380357,6.414993285944068
2017-10-15,6.228869104423331,6.445740370001599
2017-11-01,6.313681937899138,6.451586290392824
2017-11-15,6.23501626285908,6.469509205980361
2017-12-01,6.141727443695866,6.474646642455611
2017-12-15,6.095905008643141,6.478276715555951
2018-01-01,5.9316332312891165,6.478518161893035
2018-01-15,5.800053222391385,6.478694573112903
2018-02-01,5.86990366183599,6.457100498300085
2018-02-15,5.8744416833772455,6.395930343785088
2018-03-01,5.876653583237159,6.335332305585795
2018-03-15,5.9367134348092065,6.306490925556851
2018-04-01,5.869307728576876,6.18968824395645
2018-04-15,5.858775215490107,6.2245899073714615
2018-05-01,5.9870418642376055,6.211731714648499
2018-05-15,6.049819425140857,6.241209328100147
2018-06-01,5.936272031350254,6.117567405851823
2018-06-15,6.114310584957968,6.188758733831661
2018-07-01,6.008515448312788,6.066910390681981
2018-07-15,6.124114584542641,6.053190075962875
2018-08-01,6.016312240858618,5.988006352915141
2018-08-15,6.082340825038057,5.990702507062162
2018-09-01,6.14537874047434,6.048587957805855
2018-09-15,6.197289005113433,6.111864964969682
2018-10-01,6.20511498084665,6.117110741575557
2018-10-15,6.196450250776229,6.117882910983303
2018-11-01,6.192225701277987,6.114812486133453
2018-11-15,6.289454653656934,6.117133012052837
2018-12-01,6.289454653656934,6.10092178002919
2018-12-15,6.282474754276641,6.153694269392262
2019-01-01,6.273903548211585,6.190398089631717
2019-01-15,6.13197866186557,6.058201002373025
2019-02-01,6.056590331400893,6.124458980700333
2019-02-15,6.131487411580053,6.17333983979022
2019-03-01,6.165364111776201,6.17692304328469
2019-03-15,6.157192475207375,6.1851219213777435
2019-04-01,6.239378814185892,6.272019544272039
2019-04-15,6.403427824330405,6.1696200310578195
2019-05-01,6.403968822122032,6.196981814994793
2019-05-15,6.2471359750348245,6.199957793106037
2019-06-01,5.876888951456165,6.157305325363597
2019-06-15,5.806235923633672,6.156069595177607
2019-07-01,5.931384492792854,6.198301556359853
2019-07-15,5.95849633237177,6.238822015055675
2019-08-01,5.98489248111995,6.246327730506429
2019-08-15,6.0364631851751085,6.24697062490582
2019-09-01,6.133682274353707,6.205457075521442
2019-09-15,6.129166412533912,6.233701501018683
2019-10-01,6.178143106869191,6.214141559495124
2019-10-15,6.120173182809735,6.2057513020777195
2019-11-01,6.1365851441931785,6.161263440769722
2019-11-15,6.101710326020077,6.283678256888192
2019-12-01,6.094202385145508,6.402695676499886
2019-12-15,6.087606205828446,6.515501844392555
2020-01-01,6.0267679500726565,6.492717592138983
2020-01-15,6.020301015618259,6.50794577195153
2020-02-01,6.203185112129038,6.370257147920791
2020-02-15,6.202714364976352,6.327826025278375
