Date,Ruhengeri,Kigali
2016-01-01,,6.60766588664732
2016-01-15,6.1496858585690015,6.610654572924529
2016-02-01,6.056300376498575,6.527022138629751
2016-02-15,6.036932924988593,6.442398033096756
2016-03-01,6.011591005672084,6.452704987440505
2016-03-15,6.208951377524065,6.4211218419049745
2016-04-01,6.37370726342418,6.3818572677861045
2016-04-15,6.421562369717449,6.41215791168947
2016-05-01,6.444616316274036,6.417968668847862
2016-05-15,6.298083052558324,6.395864436139286
2016-06-01,6.294294068623483,6.4089058284778835
2016-06-15,6.162304880034476,6.4016191643122715
2016-07-01,6.236038042291054,6.378190424051511
2016-07-15,6.233566104976668,6.356308915970608
2016-08-01,6.291961155137457,6.342013303231424
2016-08-15,6.383578118429606,6.3408838873316
2016-09-01,6.360800369586706,6.330911713184831
2016-09-15,6.373399263296248,6.3556792310702805
2016-10-01,6.426962654406053,6.439363167604508
2016-10-15,6.447141375171047,6.480043589115258
2016-11-01,6.509501834581397,6.474282247601098
2016-11-15,6.522731611974701,6.47109870135023
2016-12-01,6.551947251484816,6.524600555311195
2016-12-15,6.553847944347396,6.5255426678105755
2017-01-01,6.292634162938155,6.475499345730819
2017-01-15,6.374879493180546,6.4639965817871365
2017-02-01,6.45087157378025,6.451213162169567
2017-02-15,6.443191151810789,6.443533324611391
2017-03-01,6.442376201211883,6.442376201211883
2017-03-15,6.443768788494894,6.436966041172141
2017-04-01,6.515515485816363,6.440075778214787
2017-04-15,6.518057033817434,6.463288771472494
2017-05-01,6.521250074688369,6.442049560979761
2017-05-15,6.526788713120543,6.462544947443345
2017-06-01,6.528241392978615,6.403458646909942
2017-06-15,6.527121795876571,6.41471937139723
2017-07-01,6.270001764617799,6.475176050086961
2017-07-15,6.309820053884018,6.446638099291727
2017-08-01,6.3051048091378945,6.459817760557138
2017-08-15,6.438948204351826,6.438948204351826
2017-09-01,6.430693375926778,6.430693375926778
2017-09-15,6.423847100351146,6.422478174743804
2017-10-01,6.4156784521236645,6.414993285944068
2017-10-15,6.416990956715614,6.445740370001599
2017-11-01,6.428153102377929,6.451586290392824
2017-11-15,6.442110231792247,6.469509205980361
2017-12-01,6.447115653821153,6.474646642455611
2017-12-15,6.446658961568394,6.478276715555951
2018-01-01,6.44550278363884,6.478518161893035
2018-01-15,6.311640488449736,6.478694573112903
2018-02-01,6.097670731682509,6.457100498300085
2018-02-15,6.024075835939438,6.395930343785088
2018-03-01,6.0187983293283125,6.335332305585795
2018-03-15,6.007248030703994,6.306490925556851
2018-04-01,6.11356454848365,6.18968824395645
2018-04-15,6.110992729647756,6.2245899073714615
2018-05-01,6.166741428388842,6.211731714648499
2018-05-15,6.109684664591467,6.241209328100147
2018-06-01,6.17168423152698,6.117567405851823
2018-06-15,6.0002506791802075,6.188758733831661
2018-07-01,5.932379497724375,6.066910390681981
2018-07-15,5.859899487798347,6.053190075962875
2018-08-01,6.111270160065494,5.988006352915141
2018-08-15,6.10991513552814,5.990702507062162
2018-09-01,6.210093202472783,6.048587957805855
2018-09-15,6.21703425775667,6.111864964969682
2018-10-01,6.222280034362545,6.117110741575557
2018-10-15,6.223243426641129,6.117882910983303
2018-11-01,6.220750869475664,6.114812486133453
2018-11-15,6.265752704328562,6.117133012052837
2018-12-01,6.32505006800594,6.10092178002919
2018-12-15,6.317147341881834,6.153694269392262
2019-01-01,6.115596876549018,6.190398089631717
2019-01-15,6.083595967874424,6.058201002373025
2019-02-01,6.050499211585045,6.124458980700333
2019-02-15,6.103828296092471,6.17333983979022
2019-03-01,6.0929968355847555,6.17692304328469
2019-03-15,6.088751108629726,6.1851219213777435
2019-04-01,6.135719345079384,6.272019544272039
2019-04-15,6.150760019857685,6.1696200310578195
2019-05-01,6.159208329963582,6.196981814994793
2019-05-15,6.186976217466884,6.199957793106037
2019-06-01,6.197768188976779,6.157305325363597
2019-06-15,6.049909399349216,6.156069595177607
2019-07-01,6.1288587287986385,6.198301556359853
2019-07-15,6.202028567173874,6.238822015055675
2019-08-01,6.19919209345925,6.246327730506429
2019-08-15,6.201098536878158,6.24697062490582
2019-09-01,6.205457075521442,6.205457075521442
2019-09-15,6.195407616420538,6.233701501018683
2019-10-01,6.180379604385593,6.214141559495124
2019-10-15,6.167363575228331,6.2057513020777195
2019-11-01,6.143005672196157,6.161263440769722
2019-11-15,6.3131874149719565,6.283678256888192
2019-12-01,6.402695676499886,6.402695676499886
2019-12-15,6.4962618639119585,6.515501844392555
2020-01-01,6.5818175869250295,6.492717592138983
2020-01-15,6.447831521623699,6.50794577195153
2020-02-01,6.443843261296628,6.370257147920791
2020-02-15,6.435106453758529,6.327826025278375
