Date,Masindi,Kasese
2016-01-01,6.695282992076009,6.85651289461052
2016-01-15,6.720822459543145,6.846294610070295
2016-02-01,6.730876771790358,6.8749915146261005
2016-02-15,,6.843288110274468
2016-03-01,6.750687117923312,6.747877338047209
2016-03-15,6.752140206445604,6.711271538568826
2016-04-01,6.746014980333689,6.712511488848022
2016-04-15,6.770894058271242,6.8227773515096315
2016-05-01,6.771018518893061,6.8345108264562
2016-05-15,6.759652894450565,6.8240528250536485
2016-06-01,6.7626378901459425,6.800296410172921
2016-06-15,6.761624268926409,6.7963537494475075
2016-07-01,6.747550490779322,6.843750293823358
2016-07-15,6.681068506484302,6.847365684337016
2016-08-01,6.676617289707049,6.8998802368783645
2016-08-15,6.675174588352429,6.898080016079373
2016-09-01,6.668386947214642,6.892007711613546
2016-09-15,6.663273905315209,6.886417456629419
2016-10-01,6.65517982382773,6.880360890079465
2016-10-15,6.636454757742766,6.859476424725056
2016-11-01,6.615628319914756,6.838523701479584
2016-11-15,6.581908576923682,6.805052128237891
2016-12-01,6.57462355454389,6.799043430217704
2016-12-15,6.5836271608819565,6.798830381450847
2017-01-01,6.576430002121544,6.798617378064098
2017-01-15,6.576469175913188,6.78243099362471
2017-02-01,6.576508348170308,
2017-02-15,6.57193873301775,
2017-03-01,6.7597819649749775,6.73223785079909
2017-03-15,6.780810600762836,6.757571754831194
2017-04-01,6.794305764650775,6.7791155991568
2017-04-15,6.882671939423787,6.758792375998723
2017-05-01,6.875027678466785,6.739221946974403
2017-05-15,6.882480322191302,6.775537810337138
2017-06-01,6.892433478336285,6.788287660671727
2017-06-15,6.895987797507099,6.7871561558233
2017-07-01,6.869776385633712,6.788561757047894
2017-07-15,6.843314536597355,6.78975454333694
2017-08-01,6.813956437599327,6.784852526933321
2017-08-15,6.809592370749438,6.779994022496103
2017-09-01,6.80253046041779,6.775159009039205
2017-09-15,6.7968025171811925,6.771612268352634
2017-10-01,6.74085635860623,6.79678820842347
2017-10-15,6.7292307088611825,6.7860935707557255
2017-11-01,6.733214621992752,6.775265977188408
2017-11-15,6.734878691666694,6.761185717260585
2017-12-01,6.729146632633346,6.697961309806346
2017-12-15,6.539895886126755,6.671182608897453
2018-01-01,6.532359181336218,6.806045907371657
2018-01-15,6.6040338363770426,6.811898807473221
2018-02-01,6.603402501641885,6.786626721352554
2018-02-15,6.60222186894349,6.78962837432224
2018-03-01,6.688957332162318,
2018-03-15,6.743758663329377,
2018-04-01,6.816074479349679,
2018-04-15,6.838489419940326,
2018-05-01,6.83232249954551,6.8045029596903825
2018-05-15,6.830324752527179,6.80437423335443
2018-06-01,6.811044716095681,6.788032684728935
2018-06-15,6.765332120597391,6.713453268182942
2018-07-01,6.7059345306596025,6.701104899592258
2018-07-15,6.490240999896085,6.750262269352953
2018-08-01,6.492592570548907,6.7716965633469055
2018-08-15,6.476530358526835,6.7413466062416125
2018-09-01,6.498630683264274,6.743302487842133
2018-09-15,6.525950409243852,6.7750176455678535
2018-10-01,6.532734130413318,6.794324999637309
2018-10-15,6.534734713288011,6.720813318959678
2018-11-01,6.695172209288324,6.680628457109515
2018-11-15,6.705670331253574,6.812089608259642
2018-12-01,6.485166027835435,6.789399072119459
2018-12-15,6.49140457764584,6.795680491078833
2019-01-01,6.650159334444721,6.790310268364219
2019-01-15,6.57160134506392,6.81638222368294
2019-02-01,6.658761865674257,6.797946496381307
2019-02-15,6.716115546690544,6.7986004535561015
2019-03-01,6.7055186025503914,6.7055186025503914
2019-03-15,6.728099071658377,6.755359719867269
2019-04-01,6.770255581599211,6.75051160360952
2019-04-15,6.766519449926777,6.793574240158408
2019-05-01,6.776911986872595,6.7870203761933565
2019-05-15,6.784649790622513,6.814926464638243
2019-06-01,6.789948738184538,6.8873426138287295
2019-06-15,6.782374576513997,6.894996310390155
2019-07-01,6.755344281790383,
2019-07-15,,
2019-08-01,6.698987818413443,
2019-08-15,6.69514251502043,
2019-09-01,6.698618671297639,
2019-09-15,6.697666798152629,
2019-10-01,6.6941109837239425,
2019-10-15,6.69040205049575,
2019-11-01,6.686167394112799,
2019-11-15,6.686257294259389,
2019-12-01,6.6853024405543255,
2019-12-15,6.690208244650055,
2020-01-01,6.685214353074378,
2020-01-15,6.686768439199186,
2020-02-01,6.685716070563467,
2020-02-15,6.68645276785693,
