Date,Nairobi,Meru
2016-01-01,6.976395953810355,
2016-01-15,6.9644286955730585,
2016-02-01,6.969037625026219,
2016-02-15,6.872958698013008,
2016-03-01,6.891196321007663,
2016-03-15,6.850134914610164,
2016-04-01,6.849735160492912,
2016-04-15,6.8645397490665605,
2016-05-01,6.915992455889184,
2016-05-15,6.955187404001223,
2016-06-01,6.948831064537871,
2016-06-15,6.944306600230055,
2016-07-01,6.942049186344503,
2016-07-15,6.946164689344923,
2016-08-01,6.9462269934952445,
2016-08-15,6.943163750346061,
2016-09-01,6.9450421241959,
2016-09-15,6.941933282474813,
2016-10-01,6.9386100362728955,
2016-10-15,6.934382869273539,
2016-11-01,6.927921658868566,
2016-11-15,6.92254178779225,
2016-12-01,6.916948244452567,
2016-12-15,6.909702542280784,
2017-01-01,6.912848604823,
2017-01-15,6.879978348189089,
2017-02-01,6.813519155821566,
2017-02-15,6.742404429030368,
2017-03-01,6.7434696858768275,
2017-03-15,6.7309748971348045,
2017-04-01,6.937123713238327,
2017-04-15,6.723580933077895,
2017-05-01,6.862594086080313,
2017-05-15,6.918917142641159,6.618749096401022
2017-06-01,6.734997450714313,6.616766744535951
2017-06-15,6.764585191897196,6.253426844787594
2017-07-01,6.839996602265405,6.2183965729975075
2017-07-15,6.847582666910338,6.286355275080574
2017-08-01,6.7840875178290085,6.332102394085951
2017-08-15,6.826732031130862,6.344155565281938
2017-09-01,6.8919829141380236,6.347042671594628
2017-09-15,6.754143476901811,6.348678368793648
2017-10-01,6.737814618376857,6.353370535522481
2017-10-15,6.736894959332139,6.39990337707474
2017-11-01,6.736492478697291,6.398875541394341
2017-11-15,6.7518580805548085,6.397660730246647
2017-12-01,6.731676530817233,6.348822869095615
2017-12-15,6.73286872857899,6.385507092158509
2018-01-01,6.713360752204424,6.333428946101424
2018-01-15,6.716442261281928,6.269249420091233
2018-02-01,6.820726764022079,6.303709170008167
2018-02-15,6.8266658924364245,6.333358082991144
2018-03-01,6.795454701147532,6.397253054784485
2018-03-15,,6.38003055508371
2018-04-01,,6.38666894688887
2018-04-15,,6.388776086909848
2018-05-01,6.65984862004232,6.411225983427125
2018-05-15,6.659054816764169,6.20224095268945
2018-06-01,6.360634965102319,6.0247331791525935
2018-06-15,6.365110227145485,6.0489719303145995
2018-07-01,6.499832687846701,6.031705818613825
2018-07-15,6.438290944897186,6.079904811264352
2018-08-01,6.436750223139949,6.125748708343024
2018-08-15,6.429675613045191,6.171964065512139
2018-09-01,6.4219548838385405,6.084279518939052
2018-09-15,6.477993233832854,6.160490223749327
2018-10-01,6.493962453213951,6.02445995151566
2018-10-15,6.430157040868091,6.080902928243835
2018-11-01,6.423004324293556,6.13262319487261
2018-11-15,6.389637060938853,6.188812032580339
2018-12-01,6.448309439533206,6.296332201117933
2018-12-15,6.476152738164056,6.342078014909487
2019-01-01,6.4769465579129,6.268066001924324
2019-01-15,6.41964703596198,6.188135234977254
2019-02-01,6.4209079730420875,6.377540743926958
2019-02-15,6.508657350387003,6.344612596914546
2019-03-01,6.592006318184378,6.366383085202827
2019-03-15,6.553918725067488,6.354133489153418
2019-04-01,6.456960017389824,6.37629211432237
2019-04-15,6.460717296052026,6.386036531519875
2019-05-01,6.6746858472233495,6.512519092407855
2019-05-15,6.863783054289599,6.5081674948299115
2019-06-01,6.8543383486645615,6.566656276212781
2019-06-15,6.921842013395526,6.661181722696382
2019-07-01,6.923450998784079,6.575586864175662
2019-07-15,6.918950045320755,6.481973862166198
2019-08-01,6.9755659902614235,6.56667362328174
2019-08-15,6.974806897716756,6.644756165940486
2019-09-01,6.921444217738019,6.71564269559263
2019-09-15,6.917661375862936,6.781835231128974
2019-10-01,6.779293171834601,6.779293171834601
2019-10-15,6.779838253727508,6.734763699625318
2019-11-01,6.845138358506392,
2019-11-15,6.8481759593307014,6.6392747647320345
2019-12-01,6.847103084076553,6.632204273852051
2019-12-15,6.850003535551118,
2020-01-01,6.846391191969041,
2020-01-15,6.842472292560199,
2020-02-01,6.844251100331429,
2020-02-15,6.841224378842866,
