Date,Kisumu,Nairobi
2016-01-01,6.57967627648322,6.646389256953784
2016-01-15,6.581771395589386,6.639041435259668
2016-02-01,6.51955563150128,6.687488450843135
2016-02-15,6.506454783744106,6.664819458193112
2016-03-01,6.49763756178946,6.633927826383913
2016-03-15,6.56211437540951,6.635206259414846
2016-04-01,6.559350383693245,6.640537434794652
2016-04-15,6.57669190786181,6.642141817272417
2016-05-01,6.579237560388245,6.668774329881169
2016-05-15,6.572330308188907,6.661404307088801
2016-06-01,6.49662038536361,6.654662809002483
2016-06-15,6.49167602367946,6.650281053856099
2016-07-01,6.487805195591718,6.623821061543903
2016-07-15,6.484214794906284,6.6209496072483445
2016-08-01,6.411774645994671,6.630053253646403
2016-08-15,6.483181679561344,6.616980130539704
2016-09-01,6.482892873065308,6.617135250433609
2016-09-15,6.480495016088001,6.614026408712523
2016-10-01,6.478106288921558,6.6109272019424825
2016-10-15,6.4731300771899845,6.607061460931148
2016-11-01,6.46673891651235,6.6247541389301885
2016-11-15,6.462577683530768,6.595038221153797
2016-12-01,6.456287119379148,6.608596743147879
2016-12-15,6.4491520556788045,6.582504220773498
2017-01-01,6.570617331318143,6.597418561544886
2017-01-15,6.670303782595091,6.577088911765866
2017-02-01,6.661800975369369,6.5698298857950155
2017-02-15,6.657465591642711,6.564017031985086
2017-03-01,6.945634173046122,6.564431530349914
2017-03-15,6.932957498327916,6.5300176440869455
2017-04-01,6.92013326781652,6.53994365666427
2017-04-15,6.91407831466765,6.526892946567049
2017-05-01,6.912485152253639,6.534979303293161
2017-05-15,6.918917142641159,6.736087842754295
2017-06-01,6.518227407272195,6.73550882888961
2017-06-15,6.521788702681593,6.7449322539958025
2017-07-01,6.584721772768402,6.7472407022661764
2017-07-15,6.51976849303224,6.7431674395719465
2017-08-01,6.448006211627161,6.740124394407893
2017-08-15,6.643188497402409,6.749620673390103
2017-09-01,6.6500181602159065,6.753015007712652
2017-09-15,6.653739042575744,6.755159221021647
2017-10-01,6.53518460689575,6.7583281582099595
2017-10-15,6.650732839293765,6.755414007099377
2017-11-01,6.650189969675248,6.756570373233819
2017-11-15,6.400567709037956,6.753898897589661
2017-12-01,6.39645091808487,6.750979665241188
2017-12-15,6.5179429944415945,6.742619896426794
2018-01-01,6.478920614188919,6.733019947164562
2018-01-15,6.508444680415951,6.721602231451038
2018-02-01,6.518119041353622,6.741763720215278
2018-02-15,6.509924588244713,6.732315032958749
2018-03-01,6.50303189297508,6.721296273593566
2018-03-15,6.498831004249888,
2018-04-01,6.492168534934097,
2018-04-15,6.493583963703098,
2018-05-01,6.490027226012597,6.67596542327674
2018-05-15,6.490754626020756,6.662211052945607
2018-06-01,6.358492872173264,6.611632335676067
2018-06-15,6.36296813421643,6.559014468684269
2018-07-01,6.365316822954006,6.423072002342488
2018-07-15,6.329526296595157,6.368775520489862
2018-08-01,6.21427134449893,6.212608833725317
2018-08-15,6.205865617187821,6.287445604180244
2018-09-01,6.353534422212668,6.325240913570056
2018-09-15,6.204790482645907,6.356079930192133
2018-10-01,6.207115453879592,6.360072958526515
2018-10-15,6.208015661009062,6.317042236430258
2018-11-01,6.346716910666902,6.337217387275688
2018-11-15,6.341263476654637,6.2671555045009155
2018-12-01,6.339461562014965,6.291762505427867
2018-12-15,6.407295653220867,6.343526241085852
2019-01-01,6.343956828206739,6.2697933143828655
2019-01-15,6.342045789938428,6.267272555535977
2019-02-01,6.485114874213098,6.427517382429762
2019-02-15,6.344612596914546,6.452880812929591
2019-03-01,6.469188615525719,6.390234301025007
2019-03-15,6.45838072888218,6.395011114949591
2019-04-01,6.456960017389824,6.4290748139002885
2019-04-15,6.449801859435565,6.492465994366607
2019-05-01,6.571208675610823,6.569547085641163
2019-05-15,6.5680998355525855,6.541147052972701
2019-06-01,6.564438980404133,6.475104252705267
2019-06-15,6.555150291213322,6.497597010635765
2019-07-01,,6.312201996789736
2019-07-15,,6.08443047547822
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
