Date,Kigali,Kamembe
2016-01-01,6.542949571927629,
2016-01-15,6.5328452091628675,
2016-02-01,6.491584640558865,
2016-02-15,6.529926072459026,
2016-03-01,6.50209315646616,
2016-03-15,6.508785577192905,
2016-04-01,6.393959069372675,
2016-04-15,6.428558123083476,
2016-05-01,6.434658363440602,
2016-05-15,6.40616155682553,
2016-06-01,6.42210990381126,
2016-06-15,6.451228725898029,
2016-07-01,6.409914251384309,
2016-07-15,6.379463643047206,
2016-08-01,6.366924193610912,
2016-08-15,6.370332891679585,
2016-09-01,6.36276153907193,
2016-09-15,6.364963630451284,
2016-10-01,6.4301660741235915,
2016-10-15,6.397130954596387,
2016-11-01,6.316348069458082,
2016-11-15,6.327422859653935,
2016-12-01,6.330997027072136,
2016-12-15,6.329449294029392,
2017-01-01,6.295078156008032,
2017-01-15,6.221348180484063,
2017-02-01,6.230457468036351,
2017-02-15,6.162556965756881,
2017-03-01,6.180794742291233,
2017-03-15,6.154956133672827,6.253961657448276
2017-04-01,6.147860606432022,6.256260569164049
2017-04-15,6.150192084788358,6.028757744299471
2017-05-01,6.25945436893988,6.035900224312573
2017-05-15,6.247702982524601,6.042149124237378
2017-06-01,6.124835039259821,5.912548332844893
2017-06-15,6.089406230727802,5.910030184163604
2017-07-01,6.049112543595321,5.8567096340591664
2017-07-15,6.099758794000911,5.8265208821570385
2017-08-01,6.04281928172804,5.850416372191885
2017-08-15,6.1628190976380814,6.213751966719874
2017-09-01,6.099678178768624,6.343557628562012
2017-09-15,6.104195661843307,6.421793008564208
2017-10-01,6.108632012490093,6.332892258504377
2017-10-15,6.114383234047157,6.342027918242158
2017-11-01,6.1202778103196716,6.02894453188407
2017-11-15,6.128160232519856,6.036645123684083
2017-12-01,6.136611746278036,6.157803968623679
2017-12-15,6.136377057199373,6.101489798198932
2018-01-01,6.1356656687811855,6.040736731833174
2018-01-15,6.116800713298378,6.15669204232568
2018-02-01,6.127755484831489,6.15137491065437
2018-02-15,6.141389938410206,6.07547460999588
2018-03-01,6.092001733351607,6.0187983293283125
2018-03-15,6.080600658762584,6.030237548928692
2018-04-01,6.114505725023713,5.958000440859244
2018-04-15,6.122207800467896,5.9913282258916665
2018-05-01,6.089497161307324,5.8557816710677155
2018-05-15,6.086782900304782,5.991665752061717
2018-06-01,6.107145710389409,5.985784853385141
2018-06-15,6.1185064163344025,5.8673270045932275
2018-07-01,6.007221894000218,5.80584398493009
2018-07-15,5.999235081840465,5.741656787688915
2018-08-01,5.941793509760009,5.6895133643591445
2018-08-15,5.940086642981652,6.040922264041188
2018-09-01,6.048587957805855,6.01458158982066
2018-09-15,6.206653541702109,5.994320906492115
2018-10-01,6.261103475445449,5.715462431994093
2018-10-15,6.2621325198278495,5.818640016130446
2018-11-01,6.25983825818371,6.316533601860256
2018-11-15,6.31762819193753,6.31920672423058
2018-12-01,6.343771363614148,6.32505006800594
2018-12-15,6.4081191200875605,6.3234764769334815
2019-01-01,6.403764268107632,6.331334430262817
2019-01-15,6.12003525298096,6.167258379912178
2019-02-01,6.261116503080075,6.071033814026753
2019-02-15,6.103828296092471,5.98847421475149
2019-03-01,6.100748812389074,5.9215112981320805
2019-03-15,6.2198476327515735,5.827942054429041
2019-04-01,6.245046106770489,5.955982246065133
2019-04-15,6.267030882233326,6.209730028395985
2019-05-01,6.404836673793912,6.158312673835638
2019-05-15,6.343115958118999,5.983882922825795
2019-06-01,6.253105021372525,5.98320838135396
2019-06-15,6.25039826009862,5.853894515423259
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
