Date,Meru,Eldoret
2016-01-01,,6.486373457674127
2016-01-15,,6.483308226220983
2016-02-01,,6.487991247996916
2016-02-15,,6.506454783744106
2016-03-01,,6.526210934233516
2016-03-15,,6.497079229055745
2016-04-01,,6.519317432780405
2016-04-15,,6.521481976770745
2016-05-01,,6.482343012679217
2016-05-15,,6.490082771047603
2016-06-01,,6.421175386938703
2016-06-15,,6.418005018978617
2016-07-01,,6.399436045141628
2016-07-15,,6.333267534796563
2016-08-01,,6.262465356691513
2016-08-15,,6.147848395227262
2016-09-01,,6.041218161086874
2016-09-15,,6.038109319365788
2016-10-01,,6.236685934285851
2016-10-15,,6.25105281351901
2016-11-01,,6.312825964012967
2016-11-15,,6.340145971525007
2016-12-01,,6.382069093849428
2016-12-15,,6.406311897002312
2017-01-01,,6.546643033009302
2017-01-15,,6.5088513776618155
2017-02-01,,6.520791089103169
2017-02-15,,6.551854087717269
2017-03-01,,6.5101252584509925
2017-03-15,,6.575620123242741
2017-04-01,,6.5607649844778555
2017-04-15,,6.5642862089857275
2017-05-01,,6.579645750278731
2017-05-15,,6.608992921455657
2017-06-01,,6.470405643175268
2017-06-15,6.2500935083678355,6.463844169423317
2017-07-01,6.236415078500186,6.47273672219495
2017-07-15,6.369865907953743,6.520406858837512
2017-08-01,6.332102394085951,6.488882924212599
2017-08-15,6.256728992106149,6.551033605318423
2017-09-01,6.261275849837203,6.532024309759544
2017-09-15,6.245179263268,6.581530734234818
2017-10-01,6.400927788051529,6.509476250185543
2017-10-15,6.399175839756364,6.526776287489501
2017-11-01,6.355681932153066,6.507873747494992
2017-11-15,6.3545313693496155,6.506508607764889
2017-12-01,6.348822869095615,6.598442094393853
2017-12-15,6.23959488878029,6.614182758324015
2018-01-01,6.2228771503284825,6.607651865179201
2018-01-15,6.22457698003964,6.627218025271186
2018-02-01,6.24946940107117,6.659296566259501
2018-02-15,6.2716100759226965,6.59410888623504
2018-03-01,6.264717380653063,6.592966638093844
2018-03-15,6.320506455025611,6.568907977081393
2018-04-01,6.358458331401633,6.551688224959726
2018-04-15,6.360052571078575,6.46966841230654
2018-05-01,6.38397634097975,6.464868666376441
2018-05-15,6.387055240313006,6.46805503850465
2018-06-01,6.137847983590425,6.412748180039164
2018-06-15,6.132470949190579,6.370800142923163
2018-07-01,6.143247193346733,6.350886558124977
2018-07-15,6.144383863459561,6.308551744909726
2018-08-01,6.032614018881839,6.261319761731323
2018-08-15,6.171964065512139,6.207530896506882
2018-09-01,6.131820463708053,6.233603158017995
2018-09-15,6.13401030058486,6.251992084130201
2018-10-01,6.1380033289192415,6.263113855525336
2018-10-15,6.1688617235895045,6.239242520351303
2018-11-01,6.181842267476668,6.223829963092342
2018-11-15,6.187962775629083,6.188812032580339
2018-12-01,6.2352325424772115,6.249667436260814
2018-12-15,6.342078014909487,6.248722445348484
2019-01-01,6.275793882091732,6.375931132839254
2019-01-15,6.204802287462465,6.3260686890024145
2019-02-01,6.227651515984897,6.3754610204737086
2019-02-15,6.1897514374836895,6.315792158379054
2019-03-01,6.183785628282967,6.375308650808331
2019-03-15,6.194637067368583,6.401664499440328
2019-04-01,6.218068109107476,6.430359335592645
2019-04-15,6.3416151525419036,6.506786048141356
2019-05-01,6.413917115603316,6.568437823186877
2019-05-15,6.409321660193279,6.627778923316409
2019-06-01,6.411212771383217,6.671684510757731
2019-06-15,6.399320349866344,6.66017518008498
2019-07-01,6.390862541509705,
2019-07-15,6.382332588007311,
2019-08-01,6.398976955485573,
2019-08-15,,
2019-09-01,,
2019-09-15,6.447309725500407,
2019-10-01,6.407818263954988,
2019-10-15,6.409951735509691,
2019-11-01,6.406965932422443,
2019-11-15,6.416131213417825,
2019-12-01,6.408807269235256,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
