Date,Kasese,Kampala
2016-01-01,6.508758487035613,5.470728347419592
2016-01-15,6.539900972981392,5.458969852156508
2016-02-01,6.41637566104603,5.460547710239721
2016-02-15,6.270091307803748,5.456993749154578
2016-03-01,6.2438751272113935,5.428510313927199
2016-03-15,6.24103450985885,5.430104293642521
2016-04-01,6.23443811228408,5.461639567537767
2016-04-15,6.259702368792369,5.566097417567529
2016-05-01,6.259461232390936,5.567228546636379
2016-05-15,6.19336299942745,5.595170821967687
2016-06-01,6.198802832593043,5.611889148977269
2016-06-15,6.196332546877046,5.612619207362562
2016-07-01,6.1826058443495855,5.911840245564505
2016-07-15,6.182094873305326,5.6792556011719855
2016-08-01,6.17864404255835,5.54276441635688
2016-08-15,6.1752025491778495,5.534623610463989
2016-09-01,6.169816863283081,5.533937237081611
2016-09-15,6.163931282404215,5.58418308839212
2016-10-01,6.158550100342805,5.633328596293082
2016-10-15,6.137140924237273,5.653388594799817
2016-11-01,6.1164181836843134,5.7656386678618405
2016-11-15,6.194143045914918,5.733866391976621
2016-12-01,6.1881343478947315,5.728602018516291
2016-12-15,6.187921299127874,5.735801902138559
2017-01-01,6.187708295741125,5.731147736751843
2017-01-15,6.19883111392946,5.7298585308937655
2017-02-01,,5.730052415847992
2017-02-15,,5.726010375083201
2017-03-01,6.2314759892196685,5.720502665874353
2017-03-15,6.200955643093525,5.811989948718504
2017-04-01,6.09914651097741,5.790089578940895
2017-04-15,6.13484572968216,5.958899158256917
2017-05-01,6.103526461190315,6.102029828334253
2017-05-15,6.215155640961727,6.109099196459389
2017-06-01,6.225378646200745,6.033060576314948
2017-06-15,6.226016364544902,5.798513035977917
2017-07-01,6.228437709889332,5.676134973936596
2017-07-15,6.229377816873995,5.719883455785202
2017-08-01,6.22409046109107,5.623736305825427
2017-08-15,6.22066563825476,5.528757383475383
2017-09-01,,5.6189089775824845
2017-09-15,6.213780602210712,5.7011708566512205
2017-10-01,6.280316604863661,5.5896642280924995
2017-10-15,6.246378937137598,5.600378535003355
2017-11-01,6.199506340881629,5.4036072545508675
2017-11-15,6.151358447078277,5.508936755458621
2017-12-01,6.0930990441139725,5.400951363887112
2017-12-15,6.039056534663201,5.405414085303052
2018-01-01,5.763362171362772,5.341019025467256
2018-01-15,5.842409381144868,5.398856937986302
2018-02-01,5.8423799122118085,5.398827469053243
2018-02-15,5.807282233814959,5.501201391272897
2018-03-01,,5.331933353342541
2018-03-15,,5.3284461754094945
2018-04-01,,5.320655145316519
2018-04-15,,5.37278049187107
2018-05-01,5.61053185190278,5.307211822598467
2018-05-15,5.563709162228571,5.245255431110037
2018-06-01,5.636013349760887,5.225047245462376
2018-06-15,5.524629599794531,4.918493796224216
2018-07-01,5.383910988895467,4.922703897779067
2018-07-15,5.453186604227408,5.235160533260355
2018-08-01,5.176079206531437,5.110232640733851
2018-08-15,5.628345580121404,5.090235997406944
2018-09-01,5.693190550270857,4.840078720018234
2018-09-15,5.7981176706960165,4.734190940015797
2018-10-01,5.902868399800893,4.743484072790689
2018-10-15,5.77411707231741,4.837486656206132
2018-11-01,5.491199404962388,4.929799495233464
2018-11-15,5.8569590430692235,5.097291180167716
2018-12-01,5.860350561713563,5.098210509666667
2018-12-15,5.724754935092968,4.949208222765956
2019-01-01,5.858340626377746,5.167659538312995
2019-01-15,5.957985470227687,5.267067944995011
2019-02-01,5.978801689396265,5.302970958847781
2019-02-15,5.96338541107502,5.359091567870766
2019-03-01,5.920523449914592,5.344647141107389
2019-03-15,6.033927825468742,5.340780644908796
2019-04-01,6.028024938730174,5.3849382601271465
2019-04-15,6.074351221965816,5.40823271379379
2019-05-01,6.014149721801372,5.864484127981471
2019-05-15,6.071123447725916,5.834407818866163
2019-06-01,6.215646277211257,5.867905353820933
2019-06-15,6.096919741577207,5.700038377160435
2019-07-01,,5.615845094691474
2019-07-15,,
2019-08-01,,5.422650721538611
2019-08-15,,5.223026601671128
2019-09-01,,5.253389207250436
2019-09-15,,5.285013504540038
2019-10-01,,5.336103414720988
2019-10-15,,5.3565503491268665
2019-11-01,,5.481495533484364
2019-11-15,,5.510474737547807
2019-12-01,,5.528609313850247
2019-12-15,,5.578517035568579
2020-01-01,,5.615425469944242
2020-01-15,,5.432963261125375
2020-02-01,,5.383303193424278
2020-02-15,,5.269516812452338
