Date,Mombasa,Makueni
2016-01-01,6.867023396662568,
2016-01-15,6.639041435259668,
2016-02-01,6.653087024125803,
2016-02-15,6.649315271657147,
2016-03-01,6.72483087276059,
2016-03-15,6.691192740043291,6.626356644137863
2016-04-01,6.5965392641123,6.492915613849857
2016-04-15,6.603517199710777,6.641520506286292
2016-05-01,6.6059231660199265,6.644353091804366
2016-05-15,6.59809400287582,6.6375499649916865
2016-06-01,6.577943869308041,6.747107341524484
2016-06-15,6.492385998860153,6.743936973564398
2016-07-01,6.489935121849543,6.740776625080254
2016-07-15,6.485283742095189,6.736519028276414
2016-08-01,6.485608908005724,6.736132197004858
2016-08-15,6.476033686296057,6.734970828952519
2016-09-01,6.483603857809086,6.735470924954569
2016-09-15,6.481205495691599,6.731809444368906
2016-10-01,6.729262876463442,6.729262876463442
2016-10-15,6.7246025457714955,6.7246025457714955
2016-11-01,6.717736287086098,6.718291072121132
2016-11-15,6.713376658101881,6.655662842970232
2016-12-01,6.551727346650982,6.649517012937241
2016-12-15,6.546415361104011,6.640690267577683
2017-01-01,6.634839946593034,6.635728177591476
2017-01-15,6.658901150497279,6.666327634215451
2017-02-01,6.650398343271557,6.662934119966538
2017-02-15,6.7722955291145315,6.656900779427753
2017-03-01,6.864786495515487,6.656551736270831
2017-03-15,6.890342916202633,6.645415885178283
2017-04-01,6.876239074259295,6.7226776696406025
2017-04-15,6.8291466611312694,6.735312768732915
2017-05-01,6.790673700251545,6.731601410229312
2017-05-15,6.876136802032304,6.736595585847204
2017-06-01,6.874203250480176,6.822605410156545
2017-06-15,6.7449322539958025,6.791174646086436
2017-07-01,6.548042844548321,6.7472407022661764
2017-07-15,6.626277773893939,6.637977151167915
2017-08-01,6.739613538713513,6.632377649562559
2017-08-15,6.744534192433729,6.640362838557079
2017-09-01,6.637289944255953,6.644808522838236
2017-09-15,6.6604579928244885,6.649234530454639
2017-10-01,6.6421935094100535,6.7583281582099595
2017-10-15,6.641065433891629,6.75592356125053
2017-11-01,6.639933469508058,6.756570373233819
2017-11-15,6.63668909210088,6.7518580805548085
2017-12-01,6.528345797933935,6.749193722682037
2017-12-15,6.5189016141027984,6.742619896426794
2018-01-01,6.4874704854101575,6.68312774154423
2018-01-15,6.482636796460079,6.56899436499229
2018-02-01,6.5174922785628135,6.581246793388176
2018-02-15,6.558296429881377,6.619729416560388
2018-03-01,6.610022196494444,6.61955943568563
2018-03-15,6.603315040793193,6.672984121029003
2018-04-01,6.48084053462889,6.695339231698333
2018-04-15,6.4810681557712675,6.716727515017308
2018-05-01,6.477527063248365,6.607672225917502
2018-05-15,6.490754626020756,6.5494704299901585
2018-06-01,6.428200284598085,6.426866061584948
2018-06-15,6.289574703000578,6.49596328587717
2018-07-01,6.212359318307083,6.499206317641442
2018-07-15,6.214149555482554,6.532149394468324
2018-08-01,6.229110858361705,6.499874846258469
2018-08-15,6.222394919139031,6.4947969090400335
2018-09-01,6.200813335195003,6.456746709332204
2018-09-15,6.20312242554521,6.459495904087616
2018-10-01,6.207115453879592,
2018-10-15,6.206344816844244,6.464971722750536
2018-11-01,6.198849480123901,6.486953048893829
2018-11-15,6.187112796827379,6.49559429914353
2018-12-01,6.13506405352181,6.5041615174591
2018-12-15,6.187202434724281,6.535210487807658
2019-01-01,6.343234545762916,6.563966289890722
2019-01-15,6.342045789938428,6.591918256902433
2019-02-01,6.350872496844796,6.546032107589777
2019-02-15,6.538350743312149,6.5957691844564295
2019-03-01,6.5318975236804,6.589250736391131
2019-03-15,6.460883859100299,6.583101491824548
2019-04-01,6.456334821995906,6.679103068370451
2019-04-15,6.5564785358549775,6.671376290703991
2019-05-01,6.569547085641163,6.654523873933005
2019-05-15,6.566436402953887,6.670686424327686
2019-06-01,6.564438980404133,6.669688502111016
2019-06-15,6.554031096916307,6.659167623324681
2019-07-01,6.650210667962618,6.7103795942779705
2019-07-15,6.737945960721086,6.759096174402977
2019-08-01,,6.7581008527969875
2019-08-15,,
2019-09-01,,6.756107232650463
2019-09-15,,6.729562481892944
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
