Date,Mulindi,Kabale
2016-01-01,6.81738641762939,6.701852140811479
2016-01-15,6.8135210551647605,6.701370265931681
2016-02-01,6.807770681886676,6.700888158736531
2016-02-15,6.7760978809169945,6.696305919925822
2016-03-01,6.75549879438876,6.747314433444672
2016-03-15,6.752097401946285,6.743174060860236
2016-04-01,6.736256897887701,
2016-04-15,6.754797815745553,6.734841530009721
2016-05-01,6.767494833372926,6.769371524285239
2016-05-15,6.750147987945943,6.822492356596554
2016-06-01,6.7611142054171625,6.792521356799219
2016-06-15,6.745774752578109,6.761624268926409
2016-07-01,6.7484220841200795,6.747550490779322
2016-07-15,6.702427529643627,6.747654111243598
2016-08-01,6.688547499490726,6.676617289707049
2016-08-15,6.676085989263267,6.67576964936374
2016-09-01,6.656985645303576,6.669877482592703
2016-09-15,6.710253252164891,6.698488811606276
2016-10-01,6.698471867612233,6.722171093365387
2016-10-15,6.684263425495448,6.736131877407526
2016-11-01,6.665469807143367,6.747918247451214
2016-11-15,6.659403230216061,6.650603785065676
2016-12-01,6.673209519653741,6.6454878114017575
2016-12-15,6.681718944500208,6.71367257311054
2017-01-01,6.68441167711708,6.709005219374411
2017-01-15,6.67550015231221,6.646740803749382
2017-02-01,6.661708758240538,6.677944559785632
2017-02-15,6.652412085236046,6.673782636202998
2017-03-01,6.652013908456621,6.635611015110019
2017-03-15,6.649542006323898,6.7219391630175345
2017-04-01,6.645975163348919,6.721086458204746
2017-04-15,6.6477178106060135,6.788462071485471
2017-05-01,6.651141358838321,6.794677633103546
2017-05-15,6.658581387216461,6.802743518466312
2017-06-01,6.665767649019375,6.81029955490473
2017-06-15,6.655323236739954,6.81765089567165
2017-07-01,6.6607232367284945,6.818594044146769
2017-07-15,6.662003795379246,6.816275987714999
2017-08-01,6.657755920277486,6.841756325876922
2017-08-15,6.673914955157913,6.837859359975327
2017-09-01,6.670388654990838,6.856297778828265
2017-09-15,6.647264212055518,6.828146904917544
2017-10-01,6.630568861681154,6.824710669043093
2017-10-15,6.637074274733229,6.78559093189116
2017-11-01,6.6510176747532395,6.671429464873556
2017-11-15,6.664975966741286,6.700512893768329
2017-12-01,6.669561124827782,6.72941128792138
2017-12-15,6.668684569781263,6.791459411432239
2018-01-01,6.6689260161183475,6.759759979614422
2018-01-15,6.667517666091672,6.7566361287981715
2018-02-01,6.6649977390414215,6.756606659865112
2018-02-15,6.665818678860372,6.754222657587084
2018-03-01,6.661096265241573,6.720362186991064
2018-03-15,6.674697865768655,6.743758663329377
2018-04-01,6.664262563497018,6.789641222281523
2018-04-15,6.659809276561418,6.788237301679952
2018-05-01,6.653201819598088,6.805475249509322
2018-05-15,6.659005048665789,6.80437423335443
2018-06-01,6.647588603737463,6.785056492055889
2018-06-15,,6.765332120597391
2018-07-01,,6.714994011752926
2018-07-15,,6.7207646585079175
2018-08-01,6.600573046815747,6.716524247478587
2018-08-15,6.617306296845496,6.7007371741623745
2018-09-01,6.61440822419771,6.71657941770138
2018-09-15,6.623072924813738,6.681182754941851
2018-10-01,6.628318701419613,6.714846285049665
2018-10-15,6.627558448366056,6.71768342595075
2018-11-01,6.629100317627914,6.722600088969929
2018-11-15,6.636799746645856,6.676651637364539
2018-12-01,6.638192654794407,6.678660885227514
2018-12-15,6.663210625225972,6.685251759471619
2019-01-01,6.655321267645033,6.707752652457285
2019-01-15,6.630667434440515,6.736654824225794
2019-02-01,6.6404734313287825,6.627869209643369
2019-02-15,6.6191186462889,6.657638174942715
2019-03-01,6.608868074557321,6.644861137314954
2019-03-15,6.595873385409056,6.641552832590525
2019-04-01,6.583410267806092,6.687766090223947
2019-04-15,6.576270675760085,6.71114546597463
2019-05-01,6.570920669456183,6.710404103204066
2019-05-15,6.573683448504491,6.761325118056105
2019-06-01,6.588178004034094,6.709348194898656
2019-06-15,6.565125371416499,6.710343448305114
2019-07-01,6.555929656478118,6.706572548026639
2019-07-15,,
2019-08-01,,6.698987818413443
2019-08-15,6.527823990363879,6.696712784906028
2019-09-01,6.523308578377271,6.698618671297639
2019-09-15,6.511744944632696,6.697666798152629
2019-10-01,6.49898560044542,6.6941109837239425
2019-10-15,6.48619570722927,6.6888326020961735
2019-11-01,,6.686167394112799
2019-11-15,,6.686257294259389
2019-12-01,,6.6853024405543255
2019-12-15,,6.690208244650055
2020-01-01,,6.685214353074378
2020-01-15,,6.686768439199186
2020-02-01,,6.685716070563467
2020-02-15,,6.68645276785693
