Date,Meru,Makueni
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,,6.744210224043156
2016-04-01,,6.624184869148137
2016-04-15,,6.641520506286292
2016-05-01,,6.761998774256769
2016-05-15,,6.754266370581524
2016-06-01,,6.747107341524484
2016-06-15,,6.743936973564398
2016-07-01,,6.846468211755837
2016-07-15,,6.842101126031313
2016-08-01,,6.842212675034215
2016-08-15,,6.839999063497468
2016-09-01,,6.840278801747819
2016-09-15,,6.837169960026733
2016-10-01,,6.834070753256692
2016-10-15,,7.012008031304075
2016-11-01,,7.005973144572913
2016-11-15,,7.000503329261961
2016-12-01,,6.950451100534571
2016-12-15,,6.900387468677291
2017-01-01,,6.892453608301927
2017-01-15,,6.868885098307008
2017-02-01,,6.863398884620713
2017-02-15,,6.763447032499003
2017-03-01,,6.76180013802081
2017-03-15,,6.75391752973697
2017-04-01,,6.740051637576656
2017-04-15,,6.8170703415862315
2017-05-01,,6.733627753374544
2017-05-15,6.618749096401022,6.736595585847204
2017-06-01,6.616766744535951,6.9096167871461756
2017-06-15,6.253426844787594,6.837694661721328
2017-07-01,6.2183965729975075,6.7472407022661764
2017-07-15,6.286355275080574,6.7431674395719465
2017-08-01,6.332102394085951,6.737567502194116
2017-08-15,6.344155565281938,6.745553560513844
2017-09-01,6.347042671594628,6.698553266927505
2017-09-15,6.348678368793648,6.649234530454639
2017-10-01,6.353370535522481,6.738850351250389
2017-10-15,6.39990337707474,6.755414007099377
2017-11-01,6.398875541394341,6.756570373233819
2017-11-15,6.397660730246647,6.753389083660699
2017-12-01,6.348822869095615,6.749449052697467
2017-12-15,6.385507092158509,6.742619896426794
2018-01-01,6.333428946101424,6.5428810290214185
2018-01-15,6.269249420091233,6.375822792174269
2018-02-01,6.303709170008167,6.383512957599335
2018-02-15,6.333358082991144,6.375855320215022
2018-03-01,6.397253054784485,6.369679727880385
2018-03-15,6.38003055508371,6.607814485954423
2018-04-01,6.38666894688887,6.636436823670675
2018-04-15,6.388776086909848,6.611919638224058
2018-05-01,6.411225983427125,6.628978686106459
2018-05-15,6.20224095268945,6.568684994934784
2018-06-01,6.0247331791525935,6.1162255195772595
2018-06-15,6.0489719303145995,6.025208435862414
2018-07-01,6.031705818613825,6.210688474142265
2018-07-15,6.079904811264352,6.169924661744696
2018-08-01,6.125748708343024,6.212608833725317
2018-08-15,6.171964065512139,6.207530896506882
2018-09-01,6.084279518939052,6.280856042868541
2018-09-15,6.160490223749327,6.20312242554521
2018-10-01,6.02445995151566,6.283612474715751
2018-10-15,6.080902928243835,6.358103723228033
2018-11-01,6.13262319487261,6.35612704163298
2018-11-15,6.188812032580339,6.340585471507749
2018-12-01,6.296332201117933,6.32479854270489
2018-12-15,6.342078014909487,6.342078014909487
2019-01-01,6.268066001924324,6.44337812268831
2019-01-15,6.188135234977254,6.535353843673951
2019-02-01,6.377540743926958,6.485736571466569
2019-02-15,6.344612596914546,6.5957691844564295
2019-03-01,6.366383085202827,6.644014821801107
2019-03-15,6.354133489153418,6.608225696998227
2019-04-01,6.37629211432237,6.639262124379034
2019-04-15,6.386036531519875,6.669364217590571
2019-05-01,6.512519092407855,6.6746858472233495
2019-05-15,6.5081674948299115,6.763265605620779
2019-06-01,6.566656276212781,6.669688502111016
2019-06-15,6.661181722696382,6.841993085395108
2019-07-01,6.575586864175662,6.834854370271537
2019-07-15,6.481973862166198,6.827664327259632
2019-08-01,6.56667362328174,6.8284733274976945
2019-08-15,6.644756165940486,6.829281673783383
2019-09-01,6.71564269559263,6.732620083456497
2019-09-15,6.781835231128974,6.857713115249154
2019-10-01,6.779293171834601,6.876463706498625
2019-10-15,6.734763699625318,6.894869174417017
2019-11-01,,
2019-11-15,6.6392747647320345,
2019-12-01,6.632204273852051,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
