Date,Kasese,Tororo
2016-01-01,6.465979102746381,6.296387032703314
2016-01-15,6.364481043498774,6.320586014466734
2016-02-01,6.455550730509163,6.344213214797799
2016-02-15,6.491592672816966,6.363161473397284
2016-03-01,6.500814650959307,6.481904996602015
2016-03-15,6.5661715702829815,6.429551051454128
2016-04-01,6.56363709979081,
2016-04-15,6.628025456078266,
2016-05-01,6.737551926612268,
2016-05-15,6.493901525492754,6.1874863909384645
2016-06-01,6.536175751715301,6.2517202319590135
2016-06-15,6.5393086464576164,6.357125011186533
2016-07-01,6.5230073591106885,6.342784438973655
2016-07-15,6.525625387246635,6.3932870748988515
2016-08-01,6.5629303312726694,6.388736192476026
2016-08-15,6.561512514144189,6.47410698873742
2016-09-01,6.555773996162218,6.512793301594033
2016-09-15,6.549849635989781,6.547504969030527
2016-10-01,6.542930340016441,6.541587156469973
2016-10-15,6.5236865490992715,6.441994004612874
2016-11-01,6.533567448084982,6.374409866289913
2016-11-15,6.468579891616678,6.294226504471901
2016-12-01,6.462571193596491,6.289492503883714
2016-12-15,6.462358144829634,6.394385161243428
2017-01-01,6.462145141442885,6.540097754301309
2017-01-15,6.494460786202137,6.577578956256621
2017-02-01,,6.6115778845739985
2017-02-15,,6.638905517956219
2017-03-01,6.58557784270099,6.641214923006386
2017-03-15,6.598182718342347,6.825240168977693
2017-04-01,6.4811770265378295,6.834685450311611
2017-04-15,6.438389706434408,6.843377829081585
2017-05-01,6.431272514122744,6.848876293235224
2017-05-15,6.515723917055652,6.55213886379743
2017-06-01,6.52673237592274,6.319800331943955
2017-06-15,6.48892797440099,6.32383068556651
2017-07-01,6.491349319745419,6.367735363778243
2017-07-15,6.493243890620956,6.368444483235205
2017-08-01,6.486934950587513,6.363348068111329
2017-08-15,6.483668770360596,6.402890709992056
2017-09-01,,6.39953937633255
2017-09-15,6.477104230830453,6.51408323407154
2017-10-01,6.580822017459036,6.510595339523157
2017-10-15,6.552848923455012,6.421128797400659
2017-11-01,6.465480717573219,6.29596660706919
2017-11-15,6.3859779967870125,6.203880881695268
2017-12-01,6.37978061623217,6.222371379818112
2017-12-15,6.2735519001219,6.296693428683594
2018-01-01,6.373673346343568,6.286661969353938
2018-01-15,6.381191082177448,6.293222309231491
2018-02-01,6.3819132104237015,6.338144228160699
2018-02-15,6.3827299692105095,6.493716170514268
2018-03-01,,6.524300611548169
2018-03-15,,6.520355067806187
2018-04-01,,6.644707197559189
2018-04-15,,6.542805529109412
2018-05-01,6.3868037865875475,
2018-05-15,6.366752013611734,6.30130810535935
2018-06-01,6.24072322980427,6.00530430091895
2018-06-15,6.128219253039601,6.022433748000113
2018-07-01,5.964532374597,6.06290222022528
2018-07-15,5.935244157816957,5.986883014610757
2018-08-01,5.9935241037689595,6.050321702162092
2018-08-15,5.825055874367457,6.0338106882295675
2018-09-01,5.965538258722532,6.0801275808179795
2018-09-15,6.041704423282574,6.1204853011356875
2018-10-01,6.048560223574353,6.126011951115102
2018-10-15,6.2689769936693915,6.024536245390805
2018-11-01,6.272174622418519,5.911409693228261
2018-11-15,6.120845377845783,5.921652255211821
2018-12-01,6.147106279305214,5.924889082851135
2018-12-15,6.0478205114340655,6.0478205114340655
2019-01-01,6.040662183171701,6.146022698829527
2019-01-15,6.047597628917374,6.246782991763333
2019-02-01,5.996118139407725,6.253849702009266
2019-02-15,5.993888865368435,6.359961571765939
2019-03-01,5.981960969757094,6.372508573657649
2019-03-15,6.187492853741926,6.364233547174291
2019-04-01,6.183641249773915,6.530603093066148
2019-04-15,6.387632373995921,6.496239502871641
2019-05-01,6.341989667879001,
2019-05-15,6.343990434392556,
2019-06-01,6.3825697538940895,6.385439196322043
2019-06-15,6.408733574108865,6.468615407132018
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
