Date,Masindi,Kasese
2016-01-01,5.275479556124178,5.348347602514579
2016-01-15,5.112551408384965,5.266285508327007
2016-02-01,5.193232940612374,5.195917505983043
2016-02-15,5.262470614036932,5.185958910135953
2016-03-01,5.291061483717872,5.221032879357389
2016-03-15,5.3013633293406315,5.223111132440883
2016-04-01,5.360002190382771,5.136295417425962
2016-04-15,5.384874158522637,5.567012749439217
2016-05-01,5.385272553728783,5.567228546636379
2016-05-15,5.488427863115462,5.527192406565706
2016-06-01,5.501279277433299,5.497373022466234
2016-06-15,5.500265656213766,5.490471258621478
2016-07-01,5.485513885498625,5.485513885498625
2016-07-15,5.4884566541889885,5.429794741540402
2016-08-01,5.453558019490573,5.3589575269467336
2016-08-15,5.35787309871949,5.397093811872772
2016-09-01,5.351244553914868,5.4159222635835285
2016-09-15,5.47078410184427,5.409913386757244
2016-10-01,5.462935610364402,5.408099538487851
2016-10-15,5.445999762404194,5.500594215194037
2016-11-01,5.546659148996874,5.526585482262797
2016-11-15,5.552289159742523,5.500995865354972
2016-12-01,5.544493151148241,5.546280461722336
2016-12-15,5.549632479119975,5.546067412955479
2017-01-01,5.54674686835175,5.54585440956873
2017-01-15,5.595701695395968,5.556347597857354
2017-02-01,5.642371381028475,
2017-02-15,5.635845373847415,
2017-03-01,5.675177687462979,5.587182265971364
2017-03-15,5.868849431235698,5.628726455502891
2017-04-01,5.897916187093915,5.476937271098081
2017-04-15,5.893859837756065,5.615586711787795
2017-05-01,5.886718728325191,5.785360236914406
2017-05-15,5.959743895809117,5.93045064721963
2017-06-01,6.00134660082542,5.869718158346983
2017-06-15,6.005981854153889,5.797147848052577
2017-07-01,5.535290529329386,5.798202139185474
2017-07-15,5.312198590938724,5.487085169245161
2017-08-01,5.368581761113166,5.4286507073063754
2017-08-15,5.368956130992608,5.423792202869158
2017-09-01,5.41895718941226,5.523922370018485
2017-09-15,5.3563303703594904,5.61415947966159
2017-10-01,5.294200015198664,5.699665123306827
2017-10-15,5.280381673081202,5.504657086429095
2017-11-01,5.1520064984226215,5.509969272545783
2017-11-15,5.074272492658195,5.509835631923639
2017-12-01,5.074221723464717,5.399951863554027
2017-12-15,5.078458177437094,4.997954958588023
2018-01-01,5.068819317163852,5.364153600868913
2018-01-15,5.074360892411804,5.398856937986302
2018-02-01,5.149232731651864,5.340960086732695
2018-02-15,5.146848729373835,5.2955299611516224
2018-03-01,5.139302426889725,
2018-03-15,5.132759470328324,
2018-04-01,5.126191201696839,
2018-04-15,5.123795709372973,
2018-05-01,5.116156585835759,5.031057255317754
2018-05-15,5.111724038485514,4.957573358658255
2018-06-01,5.093877129023532,4.92706805232435
2018-06-15,5.072644476051474,4.736172239430261
2018-07-01,5.067713746135665,4.733992542886342
2018-07-15,4.544330850840772,4.666220668449808
2018-08-01,4.492688200916857,4.4730797295284805
2018-08-15,4.478766847861266,4.502981105981861
2018-09-01,4.464766650080757,4.522474967701403
2018-09-15,4.491005807556552,4.523722180934396
2018-10-01,4.516574038681002,
2018-10-15,4.641371777279842,
2018-11-01,4.752465479950549,4.527454514461543
2018-11-15,4.760818943546503,4.651334710704814
2018-12-01,4.853675768371139,4.652254040203766
2018-12-15,4.86609331605545,4.683771759261495
2019-01-01,4.942049894503591,4.942049894503591
2019-01-15,4.946942438619464,5.057198924889497
2019-02-01,5.033716055574165,5.033716055574165
2019-02-15,5.23877496105929,5.031486781534874
2019-03-01,5.227376269354647,4.774732600971392
2019-03-15,5.223509773156054,4.711146870071177
2019-04-01,5.303592620673194,4.660042381252621
2019-04-15,5.5467516479293515,5.081759205498516
2019-05-01,5.564680694997345,5.377469152909199
2019-05-15,5.520292489346226,5.427699702518401
2019-06-01,5.4791271644977835,5.52419544989949
2019-06-15,5.539695727085255,5.549679171069438
2019-07-01,5.4441263027399,
2019-07-15,,
2019-08-01,,
2019-08-15,5.086228299901257,
2019-09-01,5.075033286849828,
2019-09-15,5.223319935534699,
2019-10-01,5.393261828560937,
2019-10-15,5.387802892630971,
2019-11-01,5.481495533484364,
2019-11-15,5.527281855864189,
2019-12-01,5.531926066476241,
2019-12-15,5.534926599493717,
2020-01-01,5.613902240403721,
2020-01-15,5.133041133779092,
2020-02-01,5.207854515918085,
2020-02-15,5.269516812452338,
