Date,Tororo,Owino
2016-01-01,6.701852140811479,6.798784380987672
2016-01-15,6.701370265931681,6.780863139737147
2016-02-01,6.700888158736531,6.785863734730093
2016-02-15,6.712835221877033,6.782920392762594
2016-03-01,6.747314433444672,6.812433444848947
2016-03-15,6.769088580218906,6.81666122532976
2016-04-01,,6.781698478553577
2016-04-15,,6.804630896958932
2016-05-01,,6.865181079880216
2016-05-15,6.851732706010654,6.854761481672814
2016-06-01,6.76511962311692,6.731512427871016
2016-06-15,6.761624268926409,6.693065159941576
2016-07-01,6.747830171944618,6.711959545676619
2016-07-15,6.747654111243598,6.681962294716007
2016-08-01,6.676915752625248,6.676617289707049
2016-08-15,6.674876925007473,6.676958710145931
2016-09-01,6.6686852320788965,6.669579553199765
2016-09-15,6.663273905315209,6.73250569688453
2016-10-01,6.67272152530122,6.72413270251338
2016-10-15,6.703047839584803,6.767621992926765
2016-11-01,6.684248913678229,6.747918247451214
2016-11-15,6.655948215838951,6.616691967556228
2016-12-01,6.383064056764999,6.643105439816351
2016-12-15,6.470538876919828,6.71367257311054
2017-01-01,6.541418322337393,6.709005219374411
2017-01-15,6.541445993272433,6.675305847059376
2017-02-01,6.576508348170308,6.677944559785632
2017-02-15,6.570039397214098,6.688526311269359
2017-03-01,6.6037573604714845,6.789634928124658
2017-03-15,6.722750961194981,6.836408044213878
2017-04-01,6.750390632850896,6.820345673666395
2017-04-15,6.775015211505611,6.830895669900067
2017-05-01,6.794677633103546,6.848876293235224
2017-05-15,6.802743518466312,6.854794478039374
2017-06-01,6.812276817041749,6.798353170916925
2017-06-15,6.81765089567165,6.7891845540846925
2017-07-01,6.366186176791413,6.816866714907912
2017-07-15,6.816029043646575,6.844035257349273
2017-08-01,6.8359675977006775,6.841756325876922
2017-08-15,6.836897821439705,6.836897821439705
2017-09-01,6.8298959598977165,6.829654908914267
2017-09-15,6.828628948792869,6.853850366589606
2017-10-01,6.824710669043093,6.849756700969181
2017-10-15,6.8128676043607825,6.757807827177755
2017-11-01,6.700884219954262,6.76015492002685
2017-11-15,6.701332006442114,6.791068923412794
2017-12-01,6.72941128792138,6.786246224673918
2017-12-15,6.762911306234433,6.79121031440766
2018-01-01,6.5534664567841645,6.779138454451733
2018-01-15,6.381191082177448,6.7576686534123604
2018-02-01,6.420960528206205,6.757639184479301
2018-02-15,6.419298808372001,6.754222657587084
2018-03-01,6.433390594142882,6.747703532595385
2018-03-15,6.475814638342035,6.743758663329377
2018-04-01,6.545950719111276,6.86693289658317
2018-04-15,6.594152076181791,6.864996435711017
2018-05-01,6.633594622830933,6.8575456956748635
2018-05-15,6.663443156005881,6.880288890733101
2018-06-01,6.679309524299511,6.836374624684397
2018-06-15,6.654225433982608,6.749535613786933
2018-07-01,6.650915155068403,6.7365115042288854
2018-07-15,6.5666139786806585,6.713384551210295
2018-08-01,6.6264524243358505,6.716524247478587
2018-08-15,6.61767894313943,6.703920200722496
2018-09-01,6.68912257146834,6.716058448687252
2018-09-15,6.68010108907111,6.709428704165631
2018-10-01,6.686166677355136,6.768858393200249
2018-10-15,6.716637947549198,6.797002457317225
2018-11-01,6.722600088969929,6.800158323315804
2018-11-15,6.615958856191502,6.787015970707526
2018-12-01,6.619193001538903,6.789886520337739
2018-12-15,6.714023056750559,6.795680491078833
2019-01-01,6.7066961283230855,6.788850769199765
2019-01-15,6.709127768065042,6.790506319036384
2019-02-01,6.494419306649336,6.56367290033826
2019-02-15,6.4934929643904615,6.594939580727151
2019-03-01,6.482112273675873,6.6302377046216385
2019-03-15,6.47824577747728,6.641552832590525
2019-04-01,6.59552973763184,6.692003384699462
2019-04-15,6.681731580768337,6.765539538040429
2019-05-01,6.683148747336152,6.762291843417632
2019-05-15,6.709876556220062,6.76328975523027
2019-06-01,6.709348194898657,6.763797126782395
2019-06-15,6.719636235880574,6.7349348514424365
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
