Date,Kamembe,Kigali
2016-01-01,,6.846945219870934
2016-01-15,,6.842570399600188
2016-02-01,,6.8437122584612915
2016-02-15,,6.8007769508038365
2016-03-01,,6.820810357484784
2016-03-15,,6.82736972891808
2016-04-01,,6.814019102862512
2016-04-15,,6.826507321767071
2016-05-01,,6.84191811374304
2016-05-15,,6.8202575541329695
2016-06-01,,6.833728877493803
2016-06-15,,6.800279744726102
2016-07-01,,6.793554642890417
2016-07-15,,6.7719535922922365
2016-08-01,,6.758000564266977
2016-08-15,,6.7212658919704715
2016-09-01,,6.703479117785936
2016-09-15,,6.785334422519099
2016-10-01,,6.755766141787966
2016-10-15,,6.7172483028013215
2016-11-01,,6.664910991817286
2016-11-15,,6.707201397306945
2016-12-01,,6.697095349804479
2016-12-15,,6.733867281623032
2017-01-01,,6.700814450558537
2017-01-15,,6.689723586846337
2017-02-01,,6.6743567134837765
2017-02-15,,6.665923941155781
2017-03-01,,6.672779681960333
2017-03-15,6.668131934783771,6.655045597540877
2017-04-01,6.659685276645941,6.71684369048589
2017-04-15,6.661473185674499,6.708700849526039
2017-05-01,6.664371981824951,6.729047404872518
2017-05-15,6.609791223047029,6.740156270879217
2017-06-01,6.636040277721459,6.736950255393017
2017-06-15,6.6686345813781935,6.762441001500652
2017-07-01,6.638263000048744,6.738670896924738
2017-07-15,6.613296546511881,6.740386751634418
2017-08-01,6.635936872882846,6.73126419226331
2017-08-15,6.6019454883193776,6.726288454889494
2017-09-01,6.617904918014925,6.717691219819535
2017-09-15,6.579364834389938,6.710844944243903
2017-10-01,6.571979460215723,6.700960386272553
2017-10-15,6.698403416153799,6.708831039316058
2017-11-01,6.588560319819493,6.711642296569674
2017-11-15,6.5968559726308165,6.729792304244028
2017-12-01,6.66844318172644,6.733138989151593
2017-12-15,6.667565375484248,6.746142628820267
2018-01-01,6.634503616026713,6.793398039925528
2018-01-15,6.667517666091672,6.733451860868217
2018-02-01,6.6649977390414215,6.753683690801384
2018-02-15,6.654089976970547,6.717750303619431
2018-03-01,6.64768824314714,6.735917475924561
2018-03-15,6.637124385204231,6.703561440821989
2018-04-01,6.625519477846792,6.689987454735453
2018-04-15,6.619936885314041,6.665763286031526
2018-05-01,6.613240897846361,6.6779209718187635
2018-05-15,6.620132858649259,6.684282006142507
2018-06-01,6.621963355424937,6.678394254959284
2018-06-15,6.6291429863140285,6.693929633217189
2018-07-01,6.6329277937646305,6.697714440667791
2018-07-15,6.624569017755475,6.69238226240041
2018-08-01,6.552219850099193,6.686515476616472
2018-08-15,6.615010084585146,6.683849687622107
2018-09-01,6.61440822419771,6.679018664498173
2018-09-15,6.623072924813738,6.687468087052061
2018-10-01,6.6271712543631365,6.692713863657936
2018-10-15,6.627558448366056,6.692168888666519
2018-11-01,6.625638109899444,6.6905378374704165
2018-11-15,6.628151667380087,6.69153143983644
2018-12-01,6.635309977675683,6.699595868752542
2018-12-15,6.6318422135796835,6.695801192539341
2019-01-01,6.630685246548976,6.693082555814008
2019-01-15,6.627761300456787,6.693099850728996
2019-02-01,6.627159197022407,6.692571462208575
2019-02-15,6.6167917109748355,6.680529095912827
2019-03-01,6.603043946271333,6.667509450724559
2019-03-15,6.590587029485908,6.654462786874487
2019-04-01,6.5828194258391255,6.646914586295526
2019-04-15,6.577454808521302,6.641623438772466
2019-05-01,6.563777781943802,6.629659486627841
2019-05-15,6.565364921629401,6.630052596320832
2019-06-01,6.563368698521016,6.628206218016323
2019-06-15,6.560334943093867,6.62539853644093
2019-07-01,,6.638285027847643
2019-07-15,,
2019-08-01,,6.663570276675353
2019-08-15,,6.654302151366751
2019-09-01,,6.640288078433971
2019-09-15,,6.632482985797308
2019-10-01,,6.623647077140293
2019-10-15,,6.602632666494492
2019-11-01,,6.577633782360149
2019-11-15,,6.5815348357162815
2019-12-01,,6.5973111441995576
2019-12-15,,6.576537734978925
2020-01-01,,6.581270989480428
2020-01-15,,6.569050750613709
2020-02-01,,6.564022491575047
2020-02-15,,6.560668443687492
